date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-11-29,1.0,Cleveland Cavaliers,Boston Celtics,1,0-2,-4,two point shot,False,1,False,True
2014-11-29,1.45,Cleveland Cavaliers,Boston Celtics,1,0-2,-4,two point shot,False,4,False,True
2014-11-29,3.3,Cleveland Cavaliers,Boston Celtics,1,2-7,-7,two point jumper,False,1,False,True
2014-11-29,5.2,Cleveland Cavaliers,Boston Celtics,1,2-14,-14,two point shot,False,1,False,True
2014-11-29,27.3666666667,Cleveland Cavaliers,Boston Celtics,3,45-65,-22,two point shot,False,1,False,True
2014-11-29,29.7333333333,Cleveland Cavaliers,Boston Celtics,3,49-67,-20,two point jumper,False,18,True,True
2014-11-29,31.9833333333,Cleveland Cavaliers,Boston Celtics,3,51-70,-21,two point shot,False,5,True,True
2014-10-30,12.4,Cleveland Cavaliers,Brooklyn Nets,2,26-27,-1,tip shot,True,0,False,True
2014-10-30,13.45,Cleveland Cavaliers,Brooklyn Nets,2,28-29,-1,two point shot,True,1,True,True
2014-10-30,13.45,Cleveland Cavaliers,Brooklyn Nets,2,28-30,1,free throw,True,15,True,True
2014-10-30,14.7666666667,Cleveland Cavaliers,Brooklyn Nets,2,32-30,-4,two point jumper,True,12,False,True
2014-10-30,15.3833333333,Cleveland Cavaliers,Brooklyn Nets,2,32-32,-2,hook shot,True,13,False,True
2014-12-10,2.68333333333,Cleveland Cavaliers,New York Knicks,1,4-4,-2,two point shot,True,13,False,False
2014-12-10,5.16666666667,Cleveland Cavaliers,New York Knicks,1,7-11,2,two point shot,True,8,False,False
2014-12-10,8.1,Cleveland Cavaliers,New York Knicks,1,9-20,10,free throw,True,15,False,False
2014-12-10,8.1,Cleveland Cavaliers,New York Knicks,1,9-21,11,free throw,True,15,True,False
2014-12-10,8.73333333333,Cleveland Cavaliers,New York Knicks,1,9-23,12,two point shot,True,1,True,False
2014-12-10,21.7833333333,Cleveland Cavaliers,New York Knicks,2,40-42,0,two point shot,True,15,False,False
2014-12-10,25.5666666667,Cleveland Cavaliers,New York Knicks,3,49-51,0,two point shot,True,10,False,False
2014-12-10,31.2833333333,Cleveland Cavaliers,New York Knicks,3,60-68,6,two point jumper,True,6,False,False
2014-11-08,14.5,Cleveland Cavaliers,Philadelphia 76ers,2,28-21,5,two point jumper,False,13,False,False
2014-11-08,34.1,Cleveland Cavaliers,Philadelphia 76ers,3,57-70,-15,two point jumper,False,4,True,False
2014-11-08,36.3166666667,Cleveland Cavaliers,Philadelphia 76ers,4,63-77,-16,two point shot,False,11,True,False
2014-12-07,2.4,Cleveland Cavaliers,Los Angeles Clippers,1,4-4,-2,two point shot,True,7,True,True
2014-12-07,3.9,Cleveland Cavaliers,Los Angeles Clippers,1,4-8,2,two point jumper,True,9,True,True
2014-12-07,4.21666666667,Cleveland Cavaliers,Los Angeles Clippers,1,6-10,2,two point shot,True,1,True,True
2014-12-07,8.21666666667,Cleveland Cavaliers,Los Angeles Clippers,1,20-19,-2,free throw,True,15,True,True
2014-12-07,8.21666666667,Cleveland Cavaliers,Los Angeles Clippers,1,20-20,-1,free throw,True,15,True,True
2014-12-07,17.8166666667,Cleveland Cavaliers,Los Angeles Clippers,2,32-39,5,two point shot,True,1,False,True
2014-12-07,18.95,Cleveland Cavaliers,Los Angeles Clippers,2,37-41,2,two point shot,True,12,True,True
2014-12-07,20.95,Cleveland Cavaliers,Los Angeles Clippers,2,44-44,-2,two point jumper,True,14,False,True
2014-12-07,22.1,Cleveland Cavaliers,Los Angeles Clippers,2,44-48,2,two point shot,True,8,True,True
2014-12-07,22.4833333333,Cleveland Cavaliers,Los Angeles Clippers,2,44-48,2,layup,True,0,False,True
2014-12-07,24.3833333333,Cleveland Cavaliers,Los Angeles Clippers,3,49-52,1,two point shot,True,9,True,True
2014-12-07,25.8666666667,Cleveland Cavaliers,Los Angeles Clippers,3,49-52,1,two point shot,True,13,False,True
2014-12-07,26.5166666667,Cleveland Cavaliers,Los Angeles Clippers,3,49-52,1,two point jumper,True,6,False,True
2014-12-07,29.6666666667,Cleveland Cavaliers,Los Angeles Clippers,3,51-58,5,dunk,True,0,True,True
2014-12-07,32.35,Cleveland Cavaliers,Los Angeles Clippers,3,52-60,6,two point shot,True,1,True,True
2014-11-11,1.7,Cleveland Cavaliers,Chicago Bulls,1,2-0,0,layup,False,0,True,False
2014-11-11,2.2,Cleveland Cavaliers,Chicago Bulls,1,3-0,2,free throw,False,15,True,False
2014-11-11,2.2,Cleveland Cavaliers,Chicago Bulls,1,4-0,3,free throw,False,15,True,False
2014-11-11,5.16666666667,Cleveland Cavaliers,Chicago Bulls,1,9-8,-1,layup,False,0,True,False
2014-11-11,5.16666666667,Cleveland Cavaliers,Chicago Bulls,1,10-8,1,free throw,False,15,True,False
2014-11-11,8.33333333333,Cleveland Cavaliers,Chicago Bulls,1,12-16,-6,two point jumper,False,10,False,False
2014-11-11,9.26666666667,Cleveland Cavaliers,Chicago Bulls,1,12-16,-6,layup,False,0,False,False
2014-11-11,31.5666666667,Cleveland Cavaliers,Chicago Bulls,3,50-55,-7,two point jumper,False,13,True,False
2014-11-11,32.7,Cleveland Cavaliers,Chicago Bulls,3,53-59,-7,free throw,False,15,True,False
2014-11-11,32.7,Cleveland Cavaliers,Chicago Bulls,3,54-59,-6,free throw,False,15,True,False
2014-11-30,4.13333333333,Cleveland Cavaliers,Chicago Bulls,1,6-13,5,two point shot,True,1,True,True
2014-11-30,5.16666666667,Cleveland Cavaliers,Chicago Bulls,1,6-15,7,two point shot,True,1,True,True
2014-11-30,18.9166666667,Cleveland Cavaliers,Chicago Bulls,2,40-42,0,layup,True,0,True,True
2014-11-30,20.7833333333,Cleveland Cavaliers,Chicago Bulls,2,46-46,-2,two point shot,True,1,True,True
2014-11-30,21.8666666667,Cleveland Cavaliers,Chicago Bulls,2,48-48,-2,two point shot,True,15,False,True
2014-11-30,23.85,Cleveland Cavaliers,Chicago Bulls,2,51-55,3,free throw,True,15,True,True
2014-11-30,23.85,Cleveland Cavaliers,Chicago Bulls,2,51-56,4,free throw,True,15,True,True
2014-11-30,24.2166666667,Cleveland Cavaliers,Chicago Bulls,3,51-58,5,two point shot,True,11,True,True
2014-11-30,26.65,Cleveland Cavaliers,Chicago Bulls,3,53-66,11,two point shot,True,11,True,True
2014-11-30,28.4833333333,Cleveland Cavaliers,Chicago Bulls,3,56-69,11,two point shot,True,14,False,True
2014-11-30,41.5666666667,Cleveland Cavaliers,Chicago Bulls,4,79-84,3,two point jumper,True,15,True,True
2014-11-30,42.7833333333,Cleveland Cavaliers,Chicago Bulls,4,82-86,3,free throw,True,15,True,True
2014-11-30,42.7833333333,Cleveland Cavaliers,Chicago Bulls,4,82-87,4,free throw,True,15,True,True
2014-11-30,43.3166666667,Cleveland Cavaliers,Chicago Bulls,4,84-87,1,tip shot,True,0,False,True
2014-11-30,44.4333333333,Cleveland Cavaliers,Chicago Bulls,4,88-89,-1,two point jumper,True,1,True,True
2014-11-30,47.6833333333,Cleveland Cavaliers,Chicago Bulls,4,93-95,0,hook shot,True,11,False,True
2014-12-21,1.51666666667,Cleveland Cavaliers,Chicago Bulls,1,0-2,-4,two point jumper,False,1,False,True
2014-12-21,4.35,Cleveland Cavaliers,Chicago Bulls,1,6-11,-7,two point jumper,False,20,True,True
2014-12-21,4.85,Cleveland Cavaliers,Chicago Bulls,1,8-14,-8,dunk,False,0,True,True
2014-12-21,4.85,Cleveland Cavaliers,Chicago Bulls,1,8-14,-7,free throw,False,15,False,True
2014-12-21,5.38333333333,Cleveland Cavaliers,Chicago Bulls,1,10-16,-8,two point jumper,False,15,True,True
2014-12-21,6.73333333333,Cleveland Cavaliers,Chicago Bulls,1,13-18,-7,tip shot,False,0,False,True
2014-12-21,15.5,Cleveland Cavaliers,Chicago Bulls,2,30-41,-13,two point jumper,False,14,False,True
2014-12-21,15.8333333333,Cleveland Cavaliers,Chicago Bulls,2,32-41,-11,two point jumper,False,14,True,True
2014-12-21,17.85,Cleveland Cavaliers,Chicago Bulls,2,37-43,-8,two point jumper,False,4,False,True
2014-12-21,21.7666666667,Cleveland Cavaliers,Chicago Bulls,2,41-58,-19,two point jumper,False,1,False,True
2014-12-21,27.0666666667,Cleveland Cavaliers,Chicago Bulls,3,50-62,-14,layup,False,0,True,True
2014-12-21,29.1,Cleveland Cavaliers,Chicago Bulls,3,52-66,-16,dunk,False,0,True,True
2014-12-21,29.1,Cleveland Cavaliers,Chicago Bulls,3,53-66,-14,free throw,False,15,True,True
2014-12-21,30.35,Cleveland Cavaliers,Chicago Bulls,3,57-68,-13,two point shot,False,1,True,True
2014-12-21,31.4833333333,Cleveland Cavaliers,Chicago Bulls,3,61-68,-9,two point jumper,False,21,True,True
2014-12-21,33.0,Cleveland Cavaliers,Chicago Bulls,3,65-73,-10,two point jumper,False,11,True,True
2014-12-21,34.8833333333,Cleveland Cavaliers,Chicago Bulls,3,65-78,-15,two point jumper,False,5,False,True
2014-11-01,7.2,Cleveland Cavaliers,Charlotte Bobcats,1,9-15,-8,two point shot,False,1,False,False
2014-11-01,8.25,Cleveland Cavaliers,Charlotte Bobcats,1,13-18,-7,two point shot,False,1,True,False
2014-11-01,9.91666666667,Cleveland Cavaliers,Charlotte Bobcats,1,18-24,-8,two point shot,False,4,True,False
2014-11-01,10.55,Cleveland Cavaliers,Charlotte Bobcats,1,18-26,-10,two point jumper,False,10,False,False
2014-11-01,14.0166666667,Cleveland Cavaliers,Charlotte Bobcats,2,27-34,-9,two point shot,False,5,False,False
2014-11-01,15.6333333333,Cleveland Cavaliers,Charlotte Bobcats,2,29-39,-12,hook shot,False,4,False,False
2014-11-01,17.2,Cleveland Cavaliers,Charlotte Bobcats,2,34-42,-9,free throw,False,15,False,False
2014-11-01,17.2,Cleveland Cavaliers,Charlotte Bobcats,2,35-42,-8,free throw,False,15,True,False
2014-11-04,9.75,Cleveland Cavaliers,Minnesota Timberwolves,1,23-27,2,two point shot,True,11,True,True
2014-11-04,11.0,Cleveland Cavaliers,Minnesota Timberwolves,1,23-28,4,free throw,True,15,True,True
2014-11-04,11.0,Cleveland Cavaliers,Minnesota Timberwolves,1,23-29,5,free throw,True,15,True,True
2014-11-04,11.5166666667,Cleveland Cavaliers,Minnesota Timberwolves,1,23-30,6,free throw,True,15,True,True
2014-11-04,11.5166666667,Cleveland Cavaliers,Minnesota Timberwolves,1,23-31,7,free throw,True,15,True,True
