date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-01-07,45.8666666667,Denver Nuggets,Boston Celtics,4,92-124,30,two point jumper,True,19,True,False
2014-12-03,42.9833333333,Denver Nuggets,Brooklyn Nets,4,107-81,24,dunk,False,0,True,False
2014-12-03,45.75,Denver Nuggets,Brooklyn Nets,4,111-83,26,two point shot,False,20,True,False
2014-12-03,47.1833333333,Denver Nuggets,Brooklyn Nets,4,111-85,24,two point jumper,False,19,False,False
2014-02-27,12.8166666667,Denver Nuggets,Brooklyn Nets,2,31-8,-26,three point jumper,True,25,False,True
2014-02-27,13.3666666667,Denver Nuggets,Brooklyn Nets,2,31-8,-25,layup,True,0,False,True
2014-02-27,29.5333333333,Denver Nuggets,Brooklyn Nets,3,72-44,-30,dunk,True,0,True,True
2014-02-27,29.75,Denver Nuggets,Brooklyn Nets,3,72-44,-30,two point jumper,True,21,False,True
2014-02-27,31.9166666667,Denver Nuggets,Brooklyn Nets,3,79-44,-38,three point jumper,True,26,False,True
2014-02-27,34.0833333333,Denver Nuggets,Brooklyn Nets,3,82-47,-37,layup,True,0,False,True
2014-02-27,38.45,Denver Nuggets,Brooklyn Nets,4,95-58,-40,three point jumper,True,25,False,True
2014-02-27,38.7666666667,Denver Nuggets,Brooklyn Nets,4,95-58,-39,layup,True,0,False,True
2014-02-27,39.8333333333,Denver Nuggets,Brooklyn Nets,4,97-64,-35,two point shot,True,4,True,True
2014-02-27,41.45,Denver Nuggets,Brooklyn Nets,4,101-71,-33,three point jumper,True,23,True,True
2014-02-27,41.45,Denver Nuggets,Brooklyn Nets,4,101-71,-31,free throw,True,15,False,True
2014-02-27,43.9833333333,Denver Nuggets,Brooklyn Nets,4,104-80,-25,free throw,True,15,True,True
2014-02-27,43.9833333333,Denver Nuggets,Brooklyn Nets,4,104-80,-25,free throw,True,15,False,True
2014-02-27,47.1833333333,Denver Nuggets,Brooklyn Nets,4,112-87,-28,three point jumper,True,26,False,True
2014-02-07,42.9166666667,Denver Nuggets,New York Knicks,4,83-104,-23,layup,False,0,True,True
2014-02-07,42.9166666667,Denver Nuggets,New York Knicks,4,83-104,-22,free throw,False,15,False,True
2014-02-07,47.55,Denver Nuggets,New York Knicks,4,88-117,-31,two point jumper,False,19,False,True
2014-12-07,21.8333333333,Denver Nuggets,Philadelphia 76ers,2,44-51,-9,layup,False,0,True,False
2014-12-07,30.3833333333,Denver Nuggets,Philadelphia 76ers,3,62-65,-5,two point jumper,False,9,False,False
2014-12-07,31.9833333333,Denver Nuggets,Philadelphia 76ers,3,65-69,-5,free throw,False,15,True,False
2014-12-07,31.9833333333,Denver Nuggets,Philadelphia 76ers,3,66-69,-4,free throw,False,15,True,False
2014-12-07,32.2166666667,Denver Nuggets,Philadelphia 76ers,3,67-69,-3,free throw,False,15,True,False
2014-12-07,32.2166666667,Denver Nuggets,Philadelphia 76ers,3,68-69,-2,free throw,False,15,True,False
2014-12-07,33.45,Denver Nuggets,Philadelphia 76ers,3,70-69,-1,two point jumper,False,1,False,False
2014-12-07,35.1833333333,Denver Nuggets,Philadelphia 76ers,3,75-73,1,free throw,False,15,True,False
2014-12-07,35.1833333333,Denver Nuggets,Philadelphia 76ers,3,75-73,1,free throw,False,15,False,False
2014-12-07,35.7166666667,Denver Nuggets,Philadelphia 76ers,3,75-75,-2,two point jumper,False,8,False,False
2014-01-01,32.1833333333,Denver Nuggets,Philadelphia 76ers,3,84-72,-14,layup,True,0,False,False
2014-01-01,33.75,Denver Nuggets,Philadelphia 76ers,3,86-78,-9,free throw,True,15,False,False
2014-01-01,33.75,Denver Nuggets,Philadelphia 76ers,3,86-79,-8,free throw,True,15,True,False
2014-01-01,36.8833333333,Denver Nuggets,Philadelphia 76ers,4,97-82,-16,free throw,True,15,True,False
2014-01-01,36.8833333333,Denver Nuggets,Philadelphia 76ers,4,97-83,-15,free throw,True,15,True,False
2014-01-31,38.5666666667,Denver Nuggets,Toronto Raptors,4,92-72,-22,two point jumper,True,17,False,True
2014-12-23,10.9333333333,Denver Nuggets,Golden State Warriors,1,30-20,-12,tip shot,True,0,False,False
2014-12-23,11.6,Denver Nuggets,Golden State Warriors,1,30-22,-10,layup,True,0,False,False
2014-12-23,15.1333333333,Denver Nuggets,Golden State Warriors,2,37-28,-11,two point jumper,True,20,True,False
2014-12-23,34.2666666667,Denver Nuggets,Golden State Warriors,3,62-64,0,two point jumper,True,22,True,False
2014-12-23,35.1666666667,Denver Nuggets,Golden State Warriors,3,64-64,-2,two point jumper,True,1,False,False
2014-12-23,37.3666666667,Denver Nuggets,Golden State Warriors,4,66-69,0,three point jumper,True,23,False,False
2014-12-21,13.0666666667,Denver Nuggets,Los Angeles Clippers,2,20-28,-9,free throw,False,15,True,True
2014-12-21,13.0666666667,Denver Nuggets,Los Angeles Clippers,2,21-28,-8,free throw,False,15,True,True
