date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-10-30,1.21666666667,Boston Celtics,Toronto Raptors,1,4-0,2,layup,False,0,True,False
2014-10-30,10.0,Boston Celtics,Toronto Raptors,1,20-18,0,two point shot,False,1,True,False
2014-10-30,15.4666666667,Boston Celtics,Toronto Raptors,2,28-28,-3,three point jumper,False,23,False,False
2014-10-30,16.75,Boston Celtics,Toronto Raptors,2,28-30,-4,two point jumper,False,21,False,False
2014-10-30,23.6,Boston Celtics,Toronto Raptors,2,37-46,-11,unknown,False,6,False,False
2014-10-30,25.95,Boston Celtics,Toronto Raptors,3,40-54,-16,two point jumper,False,20,False,False
2014-10-30,26.65,Boston Celtics,Toronto Raptors,3,42-56,-16,two point shot,False,4,True,False
2014-10-30,27.9333333333,Boston Celtics,Toronto Raptors,3,46-60,-16,two point shot,False,1,True,False
2014-10-30,31.6333333333,Boston Celtics,Toronto Raptors,3,53-65,-14,unknown,False,8,False,False
2014-10-30,32.7833333333,Boston Celtics,Toronto Raptors,3,57-65,-11,three point jumper,False,27,False,False
2014-10-30,43.2,Boston Celtics,Toronto Raptors,4,78-82,-6,two point jumper,False,23,False,False
2014-10-30,46.9333333333,Boston Celtics,Toronto Raptors,4,83-90,-9,unknown,False,4,False,False
2014-10-30,47.3666666667,Boston Celtics,Toronto Raptors,4,85-90,-8,unknown,False,25,False,False
2014-11-01,0.7,Boston Celtics,Milwaukee Bucks,1,0-0,-2,two point jumper,True,16,False,True
2014-11-01,1.21666666667,Boston Celtics,Milwaukee Bucks,1,2-0,-4,two point jumper,True,22,False,True
2014-11-01,4.85,Boston Celtics,Milwaukee Bucks,1,4-8,2,two point shot,True,16,True,True
2014-11-01,9.25,Boston Celtics,Milwaukee Bucks,1,10-20,8,two point jumper,True,19,False,True
2014-11-01,9.61666666667,Boston Celtics,Milwaukee Bucks,1,12-24,10,two point shot,True,5,True,True
2014-11-01,16.95,Boston Celtics,Milwaukee Bucks,2,35-45,8,two point jumper,True,21,True,True
2014-11-01,19.0333333333,Boston Celtics,Milwaukee Bucks,2,37-51,11,three point jumper,True,25,False,True
2014-11-01,20.5166666667,Boston Celtics,Milwaukee Bucks,2,39-54,12,three point jumper,True,26,False,True
2014-11-01,21.3166666667,Boston Celtics,Milwaukee Bucks,2,41-58,15,layup,True,0,True,True
2014-11-01,24.2166666667,Boston Celtics,Milwaukee Bucks,3,47-63,13,three point jumper,True,23,False,True
2014-11-01,27.4,Boston Celtics,Milwaukee Bucks,3,50-68,16,two point jumper,True,21,False,True
2014-11-03,1.81666666667,Boston Celtics,Detroit Pistons,1,2-2,-2,two point jumper,False,21,False,False
2014-11-03,3.5,Boston Celtics,Detroit Pistons,1,4-4,-2,two point jumper,False,18,False,False
2014-11-03,3.93333333333,Boston Celtics,Detroit Pistons,1,6-4,0,layup,False,0,True,False
2014-11-03,4.45,Boston Celtics,Detroit Pistons,1,6-6,-2,two point jumper,False,21,False,False
2014-11-03,16.45,Boston Celtics,Detroit Pistons,2,23-31,-10,two point jumper,False,18,False,False
2014-11-03,19.45,Boston Celtics,Detroit Pistons,2,30-37,-9,layup,False,0,False,False
2014-11-03,19.4833333333,Boston Celtics,Detroit Pistons,2,30-37,-9,layup,False,0,False,False
2014-11-03,25.8166666667,Boston Celtics,Detroit Pistons,3,37-50,-16,three point jumper,False,26,False,False
2014-11-03,28.25,Boston Celtics,Detroit Pistons,3,44-56,-14,two point jumper,False,1,True,False
2014-11-03,29.1666666667,Boston Celtics,Detroit Pistons,3,48-56,-10,layup,False,0,True,False
2014-11-03,36.9666666667,Boston Celtics,Detroit Pistons,4,63-63,-3,three point jumper,False,24,True,False
2014-11-03,41.35,Boston Celtics,Detroit Pistons,4,67-73,-8,two point jumper,False,18,True,False
2014-11-03,43.3833333333,Boston Celtics,Detroit Pistons,4,67-77,-12,two point jumper,False,18,False,False
2014-11-03,45.7666666667,Boston Celtics,Detroit Pistons,4,77-79,-4,two point jumper,False,20,True,False
2014-11-04,1.2,Boston Celtics,Memphis Grizzlies,1,2-0,0,two point shot,False,20,True,False
2014-11-04,3.65,Boston Celtics,Memphis Grizzlies,1,4-6,-4,two point jumper,False,22,False,False
2014-11-04,19.2,Boston Celtics,Memphis Grizzlies,2,41-40,-2,three point jumper,False,23,False,False
2014-11-04,19.35,Boston Celtics,Memphis Grizzlies,2,43-40,1,two point jumper,False,17,True,False
2014-11-04,22.0833333333,Boston Celtics,Memphis Grizzlies,2,49-42,5,two point jumper,False,6,True,False
2014-11-04,24.3833333333,Boston Celtics,Memphis Grizzlies,3,50-46,2,two point shot,False,22,False,False
2014-11-04,24.55,Boston Celtics,Memphis Grizzlies,3,52-46,4,layup,False,0,True,False
