date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-02-21,47.4833333333,Dallas Mavericks,Philadelphia 76ers,4,124-112,10,two point shot,False,3,True,True
2014-11-05,46.25,Dallas Mavericks,Los Angeles Lakers,4,100-120,18,two point jumper,True,14,False,True
2014-12-21,47.5666666667,Dallas Mavericks,Phoenix Suns,4,108-121,-15,layup,False,0,True,False
2014-12-21,47.5666666667,Dallas Mavericks,Phoenix Suns,4,108-121,-14,free throw,False,15,False,False
2014-12-09,14.0,Dallas Mavericks,Sacramento Kings,2,29-34,-7,two point shot,False,8,True,True
2014-12-09,14.9333333333,Dallas Mavericks,Sacramento Kings,2,30-36,-7,free throw,False,15,True,True
2014-12-09,14.9333333333,Dallas Mavericks,Sacramento Kings,2,31-36,-6,free throw,False,15,True,True
2014-12-09,15.4666666667,Dallas Mavericks,Sacramento Kings,2,33-37,-6,two point shot,False,2,True,True
2014-12-09,15.4666666667,Dallas Mavericks,Sacramento Kings,2,34-37,-4,free throw,False,15,True,True
2014-12-09,15.95,Dallas Mavericks,Sacramento Kings,2,34-38,-6,tip shot,False,0,False,True
2014-12-09,23.6666666667,Dallas Mavericks,Sacramento Kings,2,47-55,-10,layup,False,0,False,True
2014-12-09,24.0,Dallas Mavericks,Sacramento Kings,2,47-57,-13,three point jumper,False,53,False,True
2014-12-14,44.0666666667,Dallas Mavericks,Milwaukee Bucks,4,84-99,13,layup,True,0,False,False
2014-11-08,14.3666666667,Dallas Mavericks,Minnesota Timberwolves,2,31-30,-1,layup,False,0,True,False
2014-11-08,14.3666666667,Dallas Mavericks,Minnesota Timberwolves,2,32-30,1,free throw,False,15,True,False
2014-11-08,16.35,Dallas Mavericks,Minnesota Timberwolves,2,38-35,1,layup,False,0,True,False
2014-12-03,11.1666666667,Dallas Mavericks,Charlotte Bobcats,1,18-22,2,two point shot,True,1,True,True
2014-12-03,13.3333333333,Dallas Mavericks,Charlotte Bobcats,2,20-26,4,layup,True,0,True,True
2014-12-03,13.3333333333,Dallas Mavericks,Charlotte Bobcats,2,20-27,6,free throw,True,15,True,True
2014-12-07,36.0,Dallas Mavericks,Portland Trail Blazers,3,79-76,2,free throw,False,15,True,True
2014-12-07,36.0,Dallas Mavericks,Portland Trail Blazers,3,79-76,2,free throw,False,15,False,True
2014-12-07,38.9333333333,Dallas Mavericks,Portland Trail Blazers,4,82-78,2,two point jumper,False,4,False,True
2014-12-07,39.8333333333,Dallas Mavericks,Portland Trail Blazers,4,87-78,7,layup,False,0,True,True
2014-12-07,41.95,Dallas Mavericks,Portland Trail Blazers,4,93-86,5,layup,False,0,True,True
