date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-12-16,9.96666666667,Philadelphia 76ers,Brooklyn Nets,1,19-30,-13,dunk,False,0,True,True
2014-12-16,12.0,Philadelphia 76ers,Brooklyn Nets,1,22-32,-12,layup,False,0,False,True
2014-12-16,12.3833333333,Philadelphia 76ers,Brooklyn Nets,2,22-32,-12,hook shot,False,7,False,True
2014-12-16,32.4,Philadelphia 76ers,Brooklyn Nets,3,62-88,-28,layup,False,0,True,True
2014-12-16,34.1833333333,Philadelphia 76ers,Brooklyn Nets,3,67-93,-28,two point jumper,False,20,False,True
2014-12-16,34.6,Philadelphia 76ers,Brooklyn Nets,3,69-93,-26,dunk,False,0,True,True
2014-12-16,45.0166666667,Philadelphia 76ers,Brooklyn Nets,4,87-127,-41,free throw,False,15,True,True
2014-12-16,45.0166666667,Philadelphia 76ers,Brooklyn Nets,4,88-127,-40,free throw,False,15,True,True
2014-12-16,46.0166666667,Philadelphia 76ers,Brooklyn Nets,4,89-129,-41,free throw,False,15,True,True
2014-12-16,46.0166666667,Philadelphia 76ers,Brooklyn Nets,4,89-129,-41,free throw,False,15,False,True
2014-12-20,12.9,Philadelphia 76ers,Brooklyn Nets,2,32-33,-1,layup,True,0,True,True
2014-12-20,17.7,Philadelphia 76ers,Brooklyn Nets,2,46-44,-4,two point shot,True,1,True,True
2014-01-11,8.85,Philadelphia 76ers,New York Knicks,1,13-14,-1,two point jumper,True,1,False,True
2014-11-02,23.1166666667,Philadelphia 76ers,Chicago Bulls,2,64-47,-19,two point shot,True,1,True,True
2014-11-04,37.0666666667,Philadelphia 76ers,Golden State Warriors,4,99-65,-36,two point jumper,True,10,False,True
2014-11-04,38.05,Philadelphia 76ers,Golden State Warriors,4,102-69,-35,layup,True,0,True,True
2014-11-04,39.75,Philadelphia 76ers,Golden State Warriors,4,102-72,-31,free throw,True,15,True,True
2014-11-04,39.75,Philadelphia 76ers,Golden State Warriors,4,102-72,-31,free throw,True,15,False,True
2014-11-04,39.75,Philadelphia 76ers,Golden State Warriors,4,102-73,-30,free throw,True,15,True,True
2014-11-04,46.6666666667,Philadelphia 76ers,Golden State Warriors,4,110-88,-24,two point jumper,True,3,False,True
2014-11-04,46.8833333333,Philadelphia 76ers,Golden State Warriors,4,110-88,-24,two point jumper,True,1,False,True
2014-11-09,23.3,Philadelphia 76ers,Cleveland Cavaliers,2,46-53,-9,two point jumper,False,17,False,False
2014-11-09,32.8166666667,Philadelphia 76ers,Cleveland Cavaliers,3,77-73,2,two point jumper,False,18,False,False
