date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-11-16,13.95,Los Angeles Clippers,Brooklyn Nets,2,32-31,-3,two point jumper,True,18,True,True
2014-11-16,29.4833333333,Los Angeles Clippers,Brooklyn Nets,3,65-56,-11,layup,True,0,True,True
2014-11-16,30.6,Los Angeles Clippers,Brooklyn Nets,3,67-62,-8,three point jumper,True,25,True,True
2014-11-16,36.1833333333,Los Angeles Clippers,Brooklyn Nets,4,75-79,1,three point jumper,True,25,True,True
2014-02-24,14.1333333333,Philadelphia 76ers,Milwaukee Bucks,2,39-29,-12,two point jumper,True,10,False,False
2014-02-24,14.95,Philadelphia 76ers,Milwaukee Bucks,2,42-31,-13,two point jumper,True,16,True,False
2014-02-24,15.4666666667,Philadelphia 76ers,Milwaukee Bucks,2,45-33,-14,two point jumper,True,15,True,False
2014-02-24,16.7333333333,Philadelphia 76ers,Milwaukee Bucks,2,52-33,-22,three point jumper,True,25,False,False
2014-02-24,45.4166666667,Philadelphia 76ers,Milwaukee Bucks,4,126-98,-31,three point jumper,True,27,True,False
2014-02-24,47.2333333333,Philadelphia 76ers,Milwaukee Bucks,4,129-108,-23,layup,True,0,True,False
2014-02-26,6.35,Philadelphia 76ers,Orlando Magic,1,9-13,1,three point jumper,True,25,False,True
2014-02-26,6.88333333333,Philadelphia 76ers,Orlando Magic,1,11-13,0,two point jumper,True,1,False,True
2014-02-26,8.23333333333,Philadelphia 76ers,Orlando Magic,1,13-13,-3,three point jumper,True,26,False,True
2014-02-26,10.3333333333,Philadelphia 76ers,Orlando Magic,1,17-16,-4,three point jumper,True,26,False,True
2014-02-26,10.9666666667,Philadelphia 76ers,Orlando Magic,1,19-16,-4,free throw,True,15,False,True
2014-02-26,10.9666666667,Philadelphia 76ers,Orlando Magic,1,19-17,-3,free throw,True,15,True,True
2014-02-26,14.3,Philadelphia 76ers,Orlando Magic,2,23-28,3,dunk,True,0,True,True
2014-02-26,15.1333333333,Philadelphia 76ers,Orlando Magic,2,26-28,-1,three point jumper,True,23,False,True
2014-02-26,23.9333333333,Philadelphia 76ers,Orlando Magic,2,40-44,2,two point jumper,True,16,False,True
2014-02-26,35.0,Philadelphia 76ers,Orlando Magic,3,67-65,-4,dunk,True,0,True,True
