date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-12-28,0.8,Cleveland Cavaliers,Boston Celtics,1,0-0,-2,two point jumper,False,20,False,False
2014-12-28,3.83333333333,Cleveland Cavaliers,Boston Celtics,1,7-6,-1,two point jumper,False,1,False,False
2014-12-28,25.0833333333,Cleveland Cavaliers,Boston Celtics,3,44-61,-19,two point jumper,False,15,False,False
2014-12-28,26.1166666667,Cleveland Cavaliers,Boston Celtics,3,44-64,-23,three point jumper,False,25,False,False
2014-10-30,11.0,Cleveland Cavaliers,Brooklyn Nets,1,26-22,-6,two point shot,True,7,True,True
2014-10-30,11.5,Cleveland Cavaliers,Brooklyn Nets,1,26-25,-4,three point jumper,True,25,True,True
2014-10-30,12.6333333333,Cleveland Cavaliers,Brooklyn Nets,2,26-27,-2,three point jumper,True,25,False,True
2014-10-30,16.4166666667,Cleveland Cavaliers,Brooklyn Nets,2,32-37,2,three point jumper,True,25,True,True
2014-10-30,18.85,Cleveland Cavaliers,Brooklyn Nets,2,40-41,-1,two point shot,True,16,True,True
2014-10-30,36.0,Cleveland Cavaliers,Brooklyn Nets,3,70-79,6,three point jumper,True,35,False,True
2014-01-04,0.366666666667,Cleveland Cavaliers,Brooklyn Nets,1,0-0,-3,three point jumper,False,26,False,False
2014-01-04,4.41666666667,Cleveland Cavaliers,Brooklyn Nets,1,6-6,-2,two point shot,False,1,True,False
2014-01-04,7.0,Cleveland Cavaliers,Brooklyn Nets,1,11-10,-2,three point jumper,False,23,True,False
2014-01-04,8.03333333333,Cleveland Cavaliers,Brooklyn Nets,1,13-14,-3,two point jumper,False,19,False,False
2014-01-04,14.7,Cleveland Cavaliers,Brooklyn Nets,2,21-27,-9,three point jumper,False,23,False,False
2014-01-04,24.5,Cleveland Cavaliers,Brooklyn Nets,3,40-51,-13,two point shot,False,1,True,False
2014-01-04,24.9666666667,Cleveland Cavaliers,Brooklyn Nets,3,40-51,-12,free throw,False,15,False,False
2014-01-04,24.9666666667,Cleveland Cavaliers,Brooklyn Nets,3,41-51,-11,free throw,False,15,True,False
2014-01-04,25.95,Cleveland Cavaliers,Brooklyn Nets,3,45-54,-11,layup,False,0,True,False
2014-01-04,26.7666666667,Cleveland Cavaliers,Brooklyn Nets,3,45-54,-12,three point jumper,False,23,False,False
2014-01-04,27.05,Cleveland Cavaliers,Brooklyn Nets,3,45-54,-11,layup,False,0,False,False
2014-01-04,27.3166666667,Cleveland Cavaliers,Brooklyn Nets,3,45-54,-11,two point shot,False,11,False,False
