date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-01-02,1.5,Chicago Bulls,Boston Celtics,1,0-4,2,two point shot,True,12,True,True
2014-01-02,2.96666666667,Chicago Bulls,Boston Celtics,1,2-8,4,two point jumper,True,16,True,True
2014-01-02,4.41666666667,Chicago Bulls,Boston Celtics,1,6-10,2,two point jumper,True,16,False,True
2014-01-02,6.7,Chicago Bulls,Boston Celtics,1,10-14,2,layup,True,0,True,True
2014-01-02,11.25,Chicago Bulls,Boston Celtics,1,21-22,-1,layup,True,0,True,True
2014-01-02,19.8166666667,Chicago Bulls,Boston Celtics,2,36-39,1,two point jumper,True,19,True,True
2014-01-02,21.4333333333,Chicago Bulls,Boston Celtics,2,38-44,4,two point jumper,True,18,True,True
2014-01-02,21.8666666667,Chicago Bulls,Boston Celtics,2,40-46,4,two point jumper,True,16,True,True
2014-01-02,28.1,Chicago Bulls,Boston Celtics,3,51-56,3,two point jumper,True,17,False,True
2014-01-02,30.45,Chicago Bulls,Boston Celtics,3,53-61,6,two point jumper,True,20,False,True
2014-01-02,35.9833333333,Chicago Bulls,Boston Celtics,3,62-68,4,layup,True,0,False,True
2014-01-02,46.3833333333,Chicago Bulls,Boston Celtics,4,78-92,12,layup,True,0,True,True
2014-12-25,1.56666666667,Chicago Bulls,Brooklyn Nets,1,1-2,-2,free throw,False,15,True,True
2014-12-25,1.56666666667,Chicago Bulls,Brooklyn Nets,1,2-2,-1,free throw,False,15,True,True
2014-12-25,2.51666666667,Chicago Bulls,Brooklyn Nets,1,4-5,-3,two point jumper,False,16,True,True
2014-12-25,6.7,Chicago Bulls,Brooklyn Nets,1,10-15,-7,layup,False,0,True,True
2014-12-25,7.35,Chicago Bulls,Brooklyn Nets,1,10-16,-8,two point jumper,False,13,False,True
2014-12-25,10.5333333333,Chicago Bulls,Brooklyn Nets,1,20-18,0,layup,False,0,True,True
2014-12-25,11.5,Chicago Bulls,Brooklyn Nets,1,20-21,-3,two point jumper,False,18,False,True
2014-12-25,23.85,Chicago Bulls,Brooklyn Nets,2,39-38,-1,two point jumper,False,14,False,True
2014-12-25,30.0333333333,Chicago Bulls,Brooklyn Nets,3,54-50,2,layup,False,0,True,True
2014-12-25,32.2,Chicago Bulls,Brooklyn Nets,3,63-52,9,layup,False,0,True,True
2014-12-25,33.5333333333,Chicago Bulls,Brooklyn Nets,3,68-54,12,layup,False,0,True,True
2014-02-13,6.56666666667,Chicago Bulls,Brooklyn Nets,1,11-14,1,layup,True,0,True,True
2014-02-13,7.31666666667,Chicago Bulls,Brooklyn Nets,1,11-16,3,two point jumper,True,1,True,True
