date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-11-19,2.13333333333,Houston Rockets,Boston Celtics,1,1-7,3,three point jumper,True,27,False,False
2014-11-19,2.38333333333,Houston Rockets,Boston Celtics,1,1-9,6,layup,True,0,True,False
2014-11-19,2.38333333333,Houston Rockets,Boston Celtics,1,1-9,7,free throw,True,15,False,False
2014-11-19,4.73333333333,Houston Rockets,Boston Celtics,1,1-16,13,two point shot,True,1,True,False
2014-11-19,5.6,Houston Rockets,Boston Celtics,1,3-18,12,three point jumper,True,24,False,False
2014-11-19,24.75,Houston Rockets,Boston Celtics,3,44-69,24,free throw,True,15,True,False
2014-11-19,24.75,Houston Rockets,Boston Celtics,3,44-70,25,free throw,True,15,True,False
2014-11-19,25.5833333333,Houston Rockets,Boston Celtics,3,47-73,23,three point jumper,True,23,True,False
2014-11-19,27.9333333333,Houston Rockets,Boston Celtics,3,47-76,27,two point shot,True,14,True,False
2014-11-19,30.0333333333,Houston Rockets,Boston Celtics,3,49-82,31,layup,True,0,False,False
2014-01-13,1.88333333333,Houston Rockets,Boston Celtics,1,2-2,-2,two point jumper,False,3,False,False
2014-01-13,4.73333333333,Houston Rockets,Boston Celtics,1,6-11,-7,two point jumper,False,16,False,False
2014-01-13,13.5166666667,Houston Rockets,Boston Celtics,2,22-27,-6,free throw,False,15,True,False
2014-01-13,13.5166666667,Houston Rockets,Boston Celtics,2,23-27,-5,free throw,False,15,True,False
2014-01-13,14.0833333333,Houston Rockets,Boston Celtics,2,25-27,-4,two point shot,False,1,True,False
2014-01-13,16.2,Houston Rockets,Boston Celtics,2,32-31,-1,two point shot,False,1,True,False
2014-01-13,17.8166666667,Houston Rockets,Boston Celtics,2,35-33,-1,three point jumper,False,25,True,False
2014-01-13,25.95,Houston Rockets,Boston Celtics,3,60-45,12,three point jumper,False,23,True,False
2014-01-13,27.3333333333,Houston Rockets,Boston Celtics,3,62-45,15,layup,False,0,False,False
2014-01-13,33.0666666667,Houston Rockets,Boston Celtics,3,77-59,16,unknown,False,5,False,False
