date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-01-28,37.1333333333,New York Knicks,Boston Celtics,4,62-91,27,layup,True,0,True,False
2014-12-05,45.4833333333,New York Knicks,Brooklyn Nets,4,107-78,27,layup,False,0,False,False
2014-12-05,46.4833333333,New York Knicks,Brooklyn Nets,4,110-81,28,free throw,False,15,True,False
2014-12-05,46.4833333333,New York Knicks,Brooklyn Nets,4,111-81,29,free throw,False,15,True,False
2014-01-20,45.5166666667,New York Knicks,Brooklyn Nets,4,97-75,-24,layup,True,0,False,True
2014-01-20,47.4833333333,New York Knicks,Brooklyn Nets,4,102-79,-24,free throw,True,15,False,True
2014-01-20,47.4833333333,New York Knicks,Brooklyn Nets,4,102-80,-23,free throw,True,15,True,True
2014-11-10,42.1,New York Knicks,San Antonio Spurs,4,109-74,-37,layup,True,0,True,True
2014-11-10,42.6333333333,New York Knicks,San Antonio Spurs,4,111-74,-39,two point jumper,True,5,False,True
2014-11-16,44.9333333333,New York Knicks,Atlanta Hawks,4,103-83,-22,hook shot,True,4,False,True
2014-11-16,45.7333333333,New York Knicks,Atlanta Hawks,4,103-88,-17,layup,True,0,True,True
2014-12-06,43.5333333333,New York Knicks,Orlando Magic,4,75-111,34,two point shot,True,4,True,False
2014-12-06,45.5166666667,New York Knicks,Orlando Magic,4,77-117,38,hook shot,True,4,False,False
2014-12-25,47.3,New York Knicks,Oklahoma City Thunder,4,120-93,-28,free throw,True,15,True,True
2014-12-25,47.3,New York Knicks,Oklahoma City Thunder,4,120-93,-28,free throw,True,15,False,True
2014-01-24,13.2666666667,New York Knicks,Charlotte Bobcats,2,23-32,7,layup,True,0,False,False
2014-01-24,44.85,New York Knicks,Charlotte Bobcats,4,82-119,35,tip shot,True,0,False,False
2014-01-24,46.1166666667,New York Knicks,Charlotte Bobcats,4,84-123,37,two point shot,True,2,True,False
2014-01-26,12.9333333333,New York Knicks,Los Angeles Lakers,2,25-25,-2,hook shot,True,5,False,True
2014-01-26,15.8,New York Knicks,Los Angeles Lakers,2,32-28,-6,layup,True,0,True,True
2014-01-30,14.0666666667,New York Knicks,Cleveland Cavaliers,2,23-40,15,layup,True,0,False,False
2014-01-30,14.3833333333,New York Knicks,Cleveland Cavaliers,2,23-41,17,free throw,True,15,True,False
2014-01-30,14.3833333333,New York Knicks,Cleveland Cavaliers,2,23-42,18,free throw,True,15,True,False
2014-02-07,45.4,New York Knicks,Denver Nuggets,4,85-112,25,two point shot,True,5,True,False
2014-02-24,20.7666666667,New York Knicks,Dallas Mavericks,2,51-49,-4,two point shot,True,1,True,False
