date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-12-11,14.1166666667,Los Angeles Clippers,Boston Celtics,2,22-28,-8,layup,False,0,True,True
2014-12-11,34.35,Los Angeles Clippers,Boston Celtics,3,60-63,-6,three point jumper,False,26,False,True
2014-12-11,36.3833333333,Los Angeles Clippers,Boston Celtics,4,67-64,2,free throw,False,15,True,True
2014-12-11,36.3833333333,Los Angeles Clippers,Boston Celtics,4,68-64,3,free throw,False,15,True,True
2014-12-11,40.6666666667,Los Angeles Clippers,Boston Celtics,4,75-71,2,two point jumper,False,20,True,True
2014-12-11,41.1333333333,Los Angeles Clippers,Boston Celtics,4,75-71,3,free throw,False,15,False,True
2014-12-11,41.1333333333,Los Angeles Clippers,Boston Celtics,4,75-71,3,free throw,False,15,False,True
2014-12-11,41.2833333333,Los Angeles Clippers,Boston Celtics,4,76-71,4,free throw,False,15,True,True
2014-12-11,41.2833333333,Los Angeles Clippers,Boston Celtics,4,77-71,5,free throw,False,15,True,True
2014-12-11,41.8833333333,Los Angeles Clippers,Boston Celtics,4,79-71,6,two point shot,False,13,True,True
2014-12-11,42.35,Los Angeles Clippers,Boston Celtics,4,79-73,4,two point jumper,False,9,False,True
2014-12-11,46.35,Los Angeles Clippers,Boston Celtics,4,91-83,6,two point jumper,False,19,False,True
2014-12-11,47.7333333333,Los Angeles Clippers,Boston Celtics,4,96-88,6,layup,False,0,False,True
2014-01-08,1.9,Los Angeles Clippers,Boston Celtics,1,4-3,-2,free throw,True,15,True,True
2014-01-08,1.9,Los Angeles Clippers,Boston Celtics,1,4-4,-1,free throw,True,15,True,True
2014-01-08,4.6,Los Angeles Clippers,Boston Celtics,1,10-10,-2,layup,True,0,True,True
2014-01-08,7.66666666667,Los Angeles Clippers,Boston Celtics,1,10-24,11,three point jumper,True,23,True,True
2014-01-08,22.05,Los Angeles Clippers,Boston Celtics,2,46-53,5,two point jumper,True,14,False,True
2014-01-08,25.7,Los Angeles Clippers,Boston Celtics,3,57-64,5,layup,True,0,True,True
2014-01-08,25.7,Los Angeles Clippers,Boston Celtics,3,57-65,7,free throw,True,15,True,True
2014-01-08,28.8833333333,Los Angeles Clippers,Boston Celtics,3,68-69,-1,two point jumper,True,12,False,True
2014-01-08,31.2333333333,Los Angeles Clippers,Boston Celtics,3,72-74,-1,three point jumper,True,24,True,True
2014-01-08,31.6333333333,Los Angeles Clippers,Boston Celtics,3,72-74,0,layup,True,0,False,True
2014-01-08,31.7,Los Angeles Clippers,Boston Celtics,3,72-74,0,layup,True,0,False,True
2014-01-08,34.65,Los Angeles Clippers,Boston Celtics,3,79-84,4,free throw,True,15,True,True
2014-01-08,34.65,Los Angeles Clippers,Boston Celtics,3,79-85,5,free throw,True,15,True,True
2014-01-08,45.7333333333,Los Angeles Clippers,Boston Celtics,4,94-106,9,three point jumper,True,25,False,True
2014-11-16,12.0,Los Angeles Clippers,Brooklyn Nets,1,26-29,0,three point jumper,True,23,False,True
2014-11-16,13.1333333333,Los Angeles Clippers,Brooklyn Nets,2,28-29,-1,layup,True,0,False,True
2014-11-16,15.3,Los Angeles Clippers,Brooklyn Nets,2,37-35,-4,two point jumper,True,14,True,True
2014-11-16,37.25,Los Angeles Clippers,Brooklyn Nets,4,77-81,1,three point jumper,True,24,False,True
2014-11-16,38.7166666667,Los Angeles Clippers,Brooklyn Nets,4,81-86,3,two point jumper,True,15,True,True
2014-12-12,11.9833333333,Los Angeles Clippers,Brooklyn Nets,1,25-20,3,two point jumper,False,21,False,True
2014-12-12,12.6833333333,Los Angeles Clippers,Brooklyn Nets,2,25-20,3,two point jumper,False,21,False,True
2014-12-12,16.8833333333,Los Angeles Clippers,Brooklyn Nets,2,33-35,-4,two point jumper,False,19,False,True
2014-12-12,17.5333333333,Los Angeles Clippers,Brooklyn Nets,2,33-35,-5,three point jumper,False,26,False,True
2014-12-12,37.2,Los Angeles Clippers,Brooklyn Nets,4,63-86,-25,two point jumper,False,18,False,True
2014-12-12,39.5,Los Angeles Clippers,Brooklyn Nets,4,69-86,-19,layup,False,0,True,True
2014-12-12,41.2,Los Angeles Clippers,Brooklyn Nets,4,72-91,-20,free throw,False,15,True,True
2014-12-12,41.2,Los Angeles Clippers,Brooklyn Nets,4,73-91,-19,free throw,False,15,True,True
2014-12-12,44.1166666667,Los Angeles Clippers,Brooklyn Nets,4,80-100,-21,free throw,False,15,True,True
2014-12-12,44.1166666667,Los Angeles Clippers,Brooklyn Nets,4,81-100,-20,free throw,False,15,True,True
2014-12-12,46.0,Los Angeles Clippers,Brooklyn Nets,4,88-100,-14,layup,False,0,True,True
2014-11-27,12.0,Los Angeles Clippers,New York Knicks,1,27-29,1,free throw,True,15,True,True
2014-11-27,12.0,Los Angeles Clippers,New York Knicks,1,27-29,1,free throw,True,15,False,True
2014-11-27,14.2166666667,Los Angeles Clippers,New York Knicks,2,27-35,6,layup,True,0,True,True
2014-11-27,33.5333333333,Los Angeles Clippers,New York Knicks,3,64-71,4,three point jumper,True,25,False,True
2014-11-27,34.5166666667,Los Angeles Clippers,New York Knicks,3,68-74,4,two point jumper,True,18,True,True
2014-11-27,38.15,Los Angeles Clippers,New York Knicks,4,70-78,6,layup,True,0,True,True
2014-11-27,40.0666666667,Los Angeles Clippers,New York Knicks,4,70-83,11,layup,True,0,True,True
2014-11-27,47.5833333333,Los Angeles Clippers,New York Knicks,4,80-93,11,two point jumper,True,20,False,True
2014-01-17,4.78333333333,Los Angeles Clippers,New York Knicks,1,9-10,-4,three point jumper,False,25,False,False
2014-01-17,5.1,Los Angeles Clippers,New York Knicks,1,9-12,-5,two point jumper,False,20,False,False
2014-01-17,6.98333333333,Los Angeles Clippers,New York Knicks,1,11-17,-8,layup,False,0,True,False
2014-01-17,6.98333333333,Los Angeles Clippers,New York Knicks,1,12-17,-6,free throw,False,15,True,False
2014-01-17,8.05,Los Angeles Clippers,New York Knicks,1,12-17,-6,free throw,False,15,False,False
2014-01-17,8.05,Los Angeles Clippers,New York Knicks,1,13-17,-5,free throw,False,15,True,False
2014-01-17,9.51666666667,Los Angeles Clippers,New York Knicks,1,13-17,-7,three point jumper,False,26,False,False
2014-01-17,21.9,Los Angeles Clippers,New York Knicks,2,47-47,-1,free throw,False,15,True,False
2014-01-17,21.9,Los Angeles Clippers,New York Knicks,2,48-47,0,free throw,False,15,True,False
2014-01-17,22.2166666667,Los Angeles Clippers,New York Knicks,2,50-48,0,two point shot,False,14,True,False
2014-01-17,22.7333333333,Los Angeles Clippers,New York Knicks,2,50-48,-1,three point jumper,False,25,False,False
2014-01-17,32.7333333333,Los Angeles Clippers,New York Knicks,3,64-65,-2,free throw,False,15,True,False
2014-01-17,32.7333333333,Los Angeles Clippers,New York Knicks,3,65-65,-1,free throw,False,15,True,False
2014-01-17,34.15,Los Angeles Clippers,New York Knicks,3,69-65,3,free throw,False,15,True,False
2014-01-17,34.15,Los Angeles Clippers,New York Knicks,3,70-65,4,free throw,False,15,True,False
2014-01-17,34.6833333333,Los Angeles Clippers,New York Knicks,3,70-65,3,two point jumper,False,13,False,False
2014-01-17,41.2,Los Angeles Clippers,New York Knicks,4,93-75,16,two point jumper,False,18,False,False
2014-01-17,47.3333333333,Los Angeles Clippers,New York Knicks,4,106-92,11,three point jumper,False,24,False,False
2014-12-09,14.1333333333,Los Angeles Clippers,Philadelphia 76ers,2,27-19,7,free throw,False,15,True,True
2014-12-09,14.1333333333,Los Angeles Clippers,Philadelphia 76ers,2,28-19,8,free throw,False,15,True,True
2014-12-09,16.45,Los Angeles Clippers,Philadelphia 76ers,2,33-21,10,two point jumper,False,12,False,True
2014-02-09,9.75,Los Angeles Clippers,Philadelphia 76ers,1,13-36,21,two point jumper,True,19,True,False
2014-02-09,10.2666666667,Los Angeles Clippers,Philadelphia 76ers,1,13-38,23,two point jumper,True,1,True,False
2014-02-09,12.0,Los Angeles Clippers,Philadelphia 76ers,2,15-47,31,free throw,True,15,True,False
2014-02-09,13.0166666667,Los Angeles Clippers,Philadelphia 76ers,2,15-52,34,three point jumper,True,24,True,False
2014-02-09,32.4666666667,Los Angeles Clippers,Philadelphia 76ers,3,42-89,45,two point shot,True,1,False,False
2014-02-09,35.75,Los Angeles Clippers,Philadelphia 76ers,3,51-100,47,two point jumper,True,21,True,False
2014-02-09,36.7666666667,Los Angeles Clippers,Philadelphia 76ers,4,53-100,45,layup,True,0,False,False
2014-02-09,39.45,Los Angeles Clippers,Philadelphia 76ers,4,62-106,42,layup,True,0,False,False
2014-02-09,39.9333333333,Los Angeles Clippers,Philadelphia 76ers,4,62-106,42,layup,True,0,False,False
2014-02-09,41.9166666667,Los Angeles Clippers,Philadelphia 76ers,4,62-112,48,dunk,True,0,True,False
2014-02-09,47.0,Los Angeles Clippers,Philadelphia 76ers,4,76-121,42,three point jumper,True,25,False,False
2014-01-25,3.3,Los Angeles Clippers,Toronto Raptors,1,6-8,-4,layup,False,0,True,True
2014-01-25,4.78333333333,Los Angeles Clippers,Toronto Raptors,1,7-15,-10,two point jumper,False,18,False,True
2014-01-25,7.85,Los Angeles Clippers,Toronto Raptors,1,17-26,-11,two point jumper,False,4,False,True
2014-01-25,8.48333333333,Los Angeles Clippers,Toronto Raptors,1,22-29,-9,layup,False,0,True,True
2014-01-25,17.2333333333,Los Angeles Clippers,Toronto Raptors,2,52-44,5,three point jumper,False,23,True,True
2014-01-25,20.6,Los Angeles Clippers,Toronto Raptors,2,62-56,3,three point jumper,False,24,True,True
2014-01-25,22.4,Los Angeles Clippers,Toronto Raptors,2,68-61,4,three point jumper,False,26,False,True
2014-01-25,27.6166666667,Los Angeles Clippers,Toronto Raptors,3,77-68,7,two point jumper,False,16,False,True
2014-01-25,42.3166666667,Los Angeles Clippers,Toronto Raptors,4,111-107,2,two point shot,False,11,True,True
2014-01-25,44.9666666667,Los Angeles Clippers,Toronto Raptors,4,117-108,7,two point jumper,False,18,False,True
2014-02-07,0.65,Los Angeles Clippers,Toronto Raptors,1,0-1,-2,three point jumper,True,24,False,True
2014-02-07,2.56666666667,Los Angeles Clippers,Toronto Raptors,1,5-5,-2,layup,True,0,False,True
2014-02-07,18.7333333333,Los Angeles Clippers,Toronto Raptors,2,37-45,5,three point jumper,True,23,False,True
2014-02-07,18.9833333333,Los Angeles Clippers,Toronto Raptors,2,39-48,6,three point jumper,True,25,True,True
2014-02-07,19.35,Los Angeles Clippers,Toronto Raptors,2,41-48,4,three point jumper,True,25,False,True
2014-02-07,23.2333333333,Los Angeles Clippers,Toronto Raptors,2,47-65,15,three point jumper,True,26,True,True
