date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-02-09,9.65,Dallas Mavericks,Boston Celtics,1,14-13,-1,two point shot,False,1,False,False
2014-01-24,8.96666666667,Dallas Mavericks,Brooklyn Nets,1,12-14,-4,two point shot,False,1,True,False
2014-01-24,15.1333333333,Dallas Mavericks,Brooklyn Nets,2,26-26,-2,layup,False,0,False,False
2014-01-24,27.8666666667,Dallas Mavericks,Brooklyn Nets,3,54-59,-7,layup,False,0,True,False
2014-01-24,29.2833333333,Dallas Mavericks,Brooklyn Nets,3,54-61,-9,hook shot,False,1,False,False
2014-01-05,24.4,Dallas Mavericks,New York Knicks,3,52-37,-17,two point shot,True,7,True,False
2014-01-05,25.5833333333,Dallas Mavericks,New York Knicks,3,54-39,-17,layup,True,0,True,False
2014-01-05,26.8166666667,Dallas Mavericks,New York Knicks,3,58-41,-19,layup,True,0,True,False
2014-01-05,29.4833333333,Dallas Mavericks,New York Knicks,3,61-48,-15,two point shot,True,8,True,False
2014-01-05,38.6833333333,Dallas Mavericks,New York Knicks,4,72-62,-12,two point shot,True,1,False,False
2014-01-05,41.7833333333,Dallas Mavericks,New York Knicks,4,80-69,-13,layup,True,0,True,False
2014-01-05,41.7833333333,Dallas Mavericks,New York Knicks,4,80-70,-11,free throw,True,15,True,False
2014-02-24,10.85,Dallas Mavericks,New York Knicks,1,28-17,10,free throw,False,15,True,True
2014-02-24,10.85,Dallas Mavericks,New York Knicks,1,28-17,10,free throw,False,15,False,True
2014-11-18,8.4,Dallas Mavericks,Philadelphia 76ers,1,16-12,-6,tip shot,True,0,False,True
2014-02-21,6.75,Dallas Mavericks,Philadelphia 76ers,1,20-10,8,two point jumper,False,15,False,True
2014-02-21,7.6,Dallas Mavericks,Philadelphia 76ers,1,24-10,12,layup,False,0,True,True
2014-02-21,8.21666666667,Dallas Mavericks,Philadelphia 76ers,1,25-10,14,free throw,False,15,True,True
2014-02-21,8.21666666667,Dallas Mavericks,Philadelphia 76ers,1,26-10,15,free throw,False,15,True,True
2014-02-21,9.93333333333,Dallas Mavericks,Philadelphia 76ers,1,32-12,18,layup,False,0,True,True
2014-02-21,10.3,Dallas Mavericks,Philadelphia 76ers,1,33-15,17,free throw,False,15,True,True
2014-02-21,10.3,Dallas Mavericks,Philadelphia 76ers,1,34-15,18,free throw,False,15,True,True
2014-02-21,13.2166666667,Dallas Mavericks,Philadelphia 76ers,2,46-27,17,layup,False,0,True,True
2014-02-21,30.0333333333,Dallas Mavericks,Philadelphia 76ers,3,84-73,9,two point shot,False,1,True,True
2014-02-21,30.45,Dallas Mavericks,Philadelphia 76ers,3,86-73,11,layup,False,0,True,True
2014-02-21,31.0333333333,Dallas Mavericks,Philadelphia 76ers,3,86-75,9,layup,False,0,False,True
2014-02-21,32.5666666667,Dallas Mavericks,Philadelphia 76ers,3,91-78,11,two point shot,False,1,True,True
2014-02-21,47.25,Dallas Mavericks,Philadelphia 76ers,4,122-110,10,two point jumper,False,1,True,True
2014-12-20,2.38333333333,Dallas Mavericks,Toronto Raptors,1,6-7,-1,layup,True,0,True,False
2014-12-20,4.6,Dallas Mavericks,Toronto Raptors,1,8-16,6,two point shot,True,1,True,False
2014-12-20,38.8166666667,Dallas Mavericks,Toronto Raptors,4,89-81,-10,layup,True,0,False,False
2014-01-22,9.01666666667,Dallas Mavericks,Toronto Raptors,1,26-12,12,two point shot,False,1,True,False
2014-01-22,10.1833333333,Dallas Mavericks,Toronto Raptors,1,32-13,17,two point shot,False,1,True,False
2014-01-22,11.4166666667,Dallas Mavericks,Toronto Raptors,1,34-13,19,two point shot,False,6,True,False
2014-01-22,13.0166666667,Dallas Mavericks,Toronto Raptors,2,34-18,14,two point shot,False,1,False,False
2014-01-22,34.7333333333,Dallas Mavericks,Toronto Raptors,3,71-65,4,layup,False,0,True,False
2014-11-27,16.1333333333,Dallas Mavericks,Golden State Warriors,2,30-40,8,two point shot,True,1,True,False
2014-11-27,31.2833333333,Dallas Mavericks,Golden State Warriors,3,61-69,7,free throw,True,15,True,False
2014-11-27,31.2833333333,Dallas Mavericks,Golden State Warriors,3,61-69,7,free throw,True,15,False,False
2014-11-27,33.0166666667,Dallas Mavericks,Golden State Warriors,3,64-73,7,two point shot,True,8,True,False
2014-11-27,34.7333333333,Dallas Mavericks,Golden State Warriors,3,69-75,4,two point shot,True,1,True,False
2014-11-27,37.2,Dallas Mavericks,Golden State Warriors,4,76-84,6,two point shot,True,3,True,False
2014-11-27,42.7,Dallas Mavericks,Golden State Warriors,4,82-99,15,two point shot,True,1,True,False
2014-11-27,43.5,Dallas Mavericks,Golden State Warriors,4,85-99,12,two point jumper,True,13,False,False
2014-12-11,4.2,Dallas Mavericks,Golden State Warriors,1,7-10,-5,two point jumper,False,17,False,False
2014-12-11,15.0,Dallas Mavericks,Golden State Warriors,2,29-21,6,two point shot,False,11,False,False
2014-12-11,26.95,Dallas Mavericks,Golden State Warriors,3,61-46,13,two point shot,False,1,False,False
2014-12-11,28.3166666667,Dallas Mavericks,Golden State Warriors,3,61-51,8,two point jumper,False,12,False,False
2014-12-11,39.0833333333,Dallas Mavericks,Golden State Warriors,4,80-70,8,layup,False,0,True,False
2014-12-11,39.7,Dallas Mavericks,Golden State Warriors,4,82-72,8,two point shot,False,1,True,False
2014-01-03,3.15,Dallas Mavericks,Los Angeles Clippers,1,3-6,1,layup,True,0,True,False
2014-01-03,4.6,Dallas Mavericks,Los Angeles Clippers,1,11-14,1,layup,True,0,True,False
2014-01-03,5.56666666667,Dallas Mavericks,Los Angeles Clippers,1,11-18,5,two point shot,True,1,True,False
2014-01-03,5.85,Dallas Mavericks,Los Angeles Clippers,1,11-18,5,two point jumper,True,15,False,False
2014-01-03,8.73333333333,Dallas Mavericks,Los Angeles Clippers,1,18-29,9,two point jumper,True,11,False,False
2014-01-15,8.26666666667,Dallas Mavericks,Los Angeles Clippers,1,22-26,-6,two point shot,False,5,True,False
2014-01-15,10.0,Dallas Mavericks,Los Angeles Clippers,1,26-28,-4,layup,False,0,True,False
2014-01-15,10.0,Dallas Mavericks,Los Angeles Clippers,1,26-28,-3,free throw,False,15,False,False
2014-01-15,20.6,Dallas Mavericks,Los Angeles Clippers,2,54-62,-10,two point jumper,False,9,True,False
2014-01-15,21.1166666667,Dallas Mavericks,Los Angeles Clippers,2,56-65,-11,two point shot,False,7,True,False
2014-01-15,22.85,Dallas Mavericks,Los Angeles Clippers,2,58-68,-12,two point jumper,False,8,False,False
2014-11-05,7.73333333333,Dallas Mavericks,Los Angeles Lakers,1,14-20,4,two point jumper,True,12,False,True
2014-11-05,9.7,Dallas Mavericks,Los Angeles Lakers,1,18-29,9,two point shot,True,3,False,True
2014-11-05,9.8,Dallas Mavericks,Los Angeles Lakers,1,18-29,9,two point jumper,True,6,False,True
2014-11-05,10.1666666667,Dallas Mavericks,Los Angeles Lakers,1,20-31,9,two point shot,True,3,True,True
2014-11-05,11.1166666667,Dallas Mavericks,Los Angeles Lakers,1,20-33,11,two point shot,True,1,True,True
2014-11-05,11.9666666667,Dallas Mavericks,Los Angeles Lakers,1,22-35,12,free throw,True,15,False,True
2014-11-05,11.9666666667,Dallas Mavericks,Los Angeles Lakers,1,22-35,12,free throw,True,15,False,True
2014-11-05,12.2666666667,Dallas Mavericks,Los Angeles Lakers,2,22-37,13,two point shot,True,1,True,True
2014-11-05,14.4,Dallas Mavericks,Los Angeles Lakers,2,27-39,10,two point shot,True,1,True,True
2014-11-05,16.7,Dallas Mavericks,Los Angeles Lakers,2,31-47,14,two point jumper,True,4,True,True
2014-11-05,39.65,Dallas Mavericks,Los Angeles Lakers,4,86-107,19,two point shot,True,1,False,True
2014-01-07,1.2,Dallas Mavericks,Los Angeles Lakers,1,0-4,2,layup,True,0,True,False
2014-01-07,1.56666666667,Dallas Mavericks,Los Angeles Lakers,1,2-4,0,two point shot,True,12,False,False
2014-01-07,1.65,Dallas Mavericks,Los Angeles Lakers,1,2-6,2,two point shot,True,1,True,False
2014-01-07,4.0,Dallas Mavericks,Los Angeles Lakers,1,11-10,-3,layup,True,0,True,False
2014-01-07,4.0,Dallas Mavericks,Los Angeles Lakers,1,11-10,-2,free throw,True,15,False,False
2014-01-07,4.56666666667,Dallas Mavericks,Los Angeles Lakers,1,11-12,-1,two point shot,True,1,True,False
2014-01-07,16.8833333333,Dallas Mavericks,Los Angeles Lakers,2,43-46,1,two point shot,True,13,False,False
2014-01-07,27.0666666667,Dallas Mavericks,Los Angeles Lakers,3,59-66,5,layup,True,0,True,False
2014-01-07,27.45,Dallas Mavericks,Los Angeles Lakers,3,60-68,6,layup,True,0,True,False
2014-01-07,44.4333333333,Dallas Mavericks,Los Angeles Lakers,4,95-107,10,two point shot,True,8,True,False
2014-01-07,45.8166666667,Dallas Mavericks,Los Angeles Lakers,4,95-108,12,free throw,True,15,True,False
2014-01-07,45.8166666667,Dallas Mavericks,Los Angeles Lakers,4,95-108,12,free throw,True,15,False,False
2014-12-21,2.45,Dallas Mavericks,Phoenix Suns,1,2-4,-4,two point shot,False,9,False,False
2014-12-21,3.15,Dallas Mavericks,Phoenix Suns,1,6-7,-3,layup,False,0,True,False
2014-12-21,33.9666666667,Dallas Mavericks,Phoenix Suns,3,78-83,-7,two point jumper,False,5,True,False
2014-12-21,38.5833333333,Dallas Mavericks,Phoenix Suns,4,91-100,-11,two point jumper,False,5,True,False
2014-01-17,6.31666666667,Dallas Mavericks,Phoenix Suns,1,25-16,7,two point jumper,False,13,True,True
2014-01-17,6.98333333333,Dallas Mavericks,Phoenix Suns,1,25-18,5,two point jumper,False,11,False,True
2014-12-09,1.25,Dallas Mavericks,Sacramento Kings,1,4-2,0,layup,False,0,True,True
2014-12-09,2.65,Dallas Mavericks,Sacramento Kings,1,8-7,-1,two point shot,False,9,True,True
2014-01-31,7.16666666667,Dallas Mavericks,Sacramento Kings,1,12-16,3,free throw,True,15,False,True
2014-01-31,7.16666666667,Dallas Mavericks,Sacramento Kings,1,12-17,4,free throw,True,15,True,True
2014-01-31,31.45,Dallas Mavericks,Sacramento Kings,3,74-61,-14,free throw,True,15,False,True
2014-01-31,31.45,Dallas Mavericks,Sacramento Kings,3,74-62,-13,free throw,True,15,True,True
2014-01-31,32.55,Dallas Mavericks,Sacramento Kings,3,78-66,-14,layup,True,0,True,True
2014-01-31,33.1,Dallas Mavericks,Sacramento Kings,3,78-67,-12,free throw,True,15,True,True
2014-01-31,33.1,Dallas Mavericks,Sacramento Kings,3,78-68,-11,free throw,True,15,True,True
2014-01-31,34.1666666667,Dallas Mavericks,Sacramento Kings,3,78-70,-10,layup,True,0,False,True
2014-12-28,6.7,Dallas Mavericks,Chicago Bulls,1,10-9,-1,layup,False,0,True,False
2014-12-28,6.7,Dallas Mavericks,Chicago Bulls,1,10-9,0,free throw,False,15,False,False
2014-12-28,10.3666666667,Dallas Mavericks,Chicago Bulls,1,23-19,2,two point shot,False,13,True,False
2014-12-28,35.1166666667,Dallas Mavericks,Chicago Bulls,3,84-54,28,two point jumper,False,10,False,False
