date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-11-23,4.06666666667,Atlanta Hawks,Boston Celtics,1,11-9,-4,two point shot,True,6,True,False
2014-11-23,23.9166666667,Atlanta Hawks,Boston Celtics,2,49-53,2,two point shot,True,1,True,False
2014-11-23,25.2666666667,Atlanta Hawks,Boston Celtics,3,53-53,-3,three point jumper,True,25,False,False
2014-11-23,29.7833333333,Atlanta Hawks,Boston Celtics,3,59-59,-1,free throw,True,15,False,False
2014-11-23,29.7833333333,Atlanta Hawks,Boston Celtics,3,59-60,0,free throw,True,15,True,False
2014-11-23,32.1666666667,Atlanta Hawks,Boston Celtics,3,60-68,5,three point jumper,True,25,False,False
2014-11-23,41.3833333333,Atlanta Hawks,Boston Celtics,4,77-81,1,three point jumper,True,26,False,False
2014-11-23,45.75,Atlanta Hawks,Boston Celtics,4,86-85,-4,three point jumper,True,25,False,False
2014-02-26,2.81666666667,Atlanta Hawks,Boston Celtics,1,11-2,7,layup,False,0,True,False
2014-02-26,3.43333333333,Atlanta Hawks,Boston Celtics,1,13-2,9,two point shot,False,8,True,False
2014-02-26,5.95,Atlanta Hawks,Boston Celtics,1,18-6,9,three point jumper,False,25,True,False
2014-02-26,14.25,Atlanta Hawks,Boston Celtics,2,29-33,-7,three point jumper,False,25,False,False
2014-02-26,14.5,Atlanta Hawks,Boston Celtics,2,30-33,-4,free throw,False,15,True,False
2014-02-26,14.5,Atlanta Hawks,Boston Celtics,2,31-33,-3,free throw,False,15,True,False
2014-02-26,15.4666666667,Atlanta Hawks,Boston Celtics,2,35-36,-3,layup,False,0,True,False
2014-02-26,15.4666666667,Atlanta Hawks,Boston Celtics,2,36-36,-1,free throw,False,15,True,False
2014-02-26,16.85,Atlanta Hawks,Boston Celtics,2,41-38,0,three point jumper,False,23,True,False
2014-02-26,18.6666666667,Atlanta Hawks,Boston Celtics,2,46-44,0,two point shot,False,1,True,False
2014-02-26,25.1333333333,Atlanta Hawks,Boston Celtics,3,58-61,-5,two point shot,False,1,True,False
2014-02-26,25.1333333333,Atlanta Hawks,Boston Celtics,3,59-61,-3,free throw,False,15,True,False
2014-02-26,29.1,Atlanta Hawks,Boston Celtics,3,64-65,-3,layup,False,0,False,False
2014-02-26,43.2,Atlanta Hawks,Boston Celtics,4,94-98,-5,free throw,False,15,True,False
2014-02-26,43.2,Atlanta Hawks,Boston Celtics,4,94-98,-5,free throw,False,15,False,False
2014-02-26,46.1,Atlanta Hawks,Boston Celtics,4,100-109,-12,three point jumper,False,25,True,False
