date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-01-05,14.25,Oklahoma City Thunder,Boston Celtics,2,31-36,3,two point jumper,True,1,False,False
2014-01-05,15.3,Oklahoma City Thunder,Boston Celtics,2,36-43,4,three point jumper,True,25,True,False
2014-01-05,38.5666666667,Oklahoma City Thunder,Boston Celtics,4,81-100,18,free throw,True,15,True,False
2014-01-05,38.5666666667,Oklahoma City Thunder,Boston Celtics,4,81-101,19,free throw,True,15,True,False
2014-01-05,39.3166666667,Oklahoma City Thunder,Boston Celtics,4,81-101,17,three point jumper,True,28,False,False
2014-01-05,42.1333333333,Oklahoma City Thunder,Boston Celtics,4,90-111,18,three point jumper,True,23,True,False
2014-01-24,11.5,Oklahoma City Thunder,Boston Celtics,1,27-26,-2,three point jumper,False,23,False,False
2014-01-24,16.5333333333,Oklahoma City Thunder,Boston Celtics,2,39-34,3,two point shot,False,12,True,False
2014-01-24,38.4333333333,Oklahoma City Thunder,Boston Celtics,4,82-65,14,three point jumper,False,25,True,False
2014-01-24,38.9666666667,Oklahoma City Thunder,Boston Celtics,4,84-65,17,two point jumper,False,23,True,False
2014-01-02,13.3333333333,Oklahoma City Thunder,Brooklyn Nets,2,29-31,-1,three point jumper,True,24,True,False
2014-01-02,29.5333333333,Oklahoma City Thunder,Brooklyn Nets,3,55-64,6,three point jumper,True,26,False,False
2014-01-02,32.5333333333,Oklahoma City Thunder,Brooklyn Nets,3,59-70,8,three point jumper,True,22,False,False
2014-01-02,33.7666666667,Oklahoma City Thunder,Brooklyn Nets,3,59-72,11,two point shot,True,3,True,False
2014-01-02,34.7333333333,Oklahoma City Thunder,Brooklyn Nets,3,61-74,11,two point jumper,True,18,True,False
2014-01-02,41.6,Oklahoma City Thunder,Brooklyn Nets,4,81-89,6,layup,True,0,False,False
2014-01-31,11.5666666667,Oklahoma City Thunder,Brooklyn Nets,1,30-16,11,three point jumper,False,27,False,False
2014-01-31,14.6333333333,Oklahoma City Thunder,Brooklyn Nets,2,34-21,10,three point jumper,False,28,False,False
2014-12-25,18.1333333333,Oklahoma City Thunder,New York Knicks,2,48-35,12,free throw,False,15,False,False
2014-12-25,18.1333333333,Oklahoma City Thunder,New York Knicks,2,49-35,13,free throw,False,15,True,False
2014-12-25,42.0666666667,Oklahoma City Thunder,New York Knicks,4,106-78,25,unknown,False,25,True,False
2014-02-09,10.35,Oklahoma City Thunder,New York Knicks,1,26-25,-4,three point jumper,True,25,True,True
2014-02-09,15.2666666667,Oklahoma City Thunder,New York Knicks,2,35-39,1,three point jumper,True,25,True,True
2014-02-09,15.75,Oklahoma City Thunder,New York Knicks,2,35-39,1,three point jumper,True,25,False,True
2014-02-09,33.2833333333,Oklahoma City Thunder,New York Knicks,3,69-81,9,three point jumper,True,26,False,True
2014-02-09,36.9333333333,Oklahoma City Thunder,New York Knicks,4,78-86,6,two point jumper,True,1,False,True
2014-02-09,40.85,Oklahoma City Thunder,New York Knicks,4,86-97,9,two point jumper,True,1,True,True
2014-02-09,47.1333333333,Oklahoma City Thunder,New York Knicks,4,96-108,11,free throw,True,15,False,True
2014-02-09,47.1333333333,Oklahoma City Thunder,New York Knicks,4,96-109,12,free throw,True,15,True,True
2014-02-09,47.1333333333,Oklahoma City Thunder,New York Knicks,4,96-110,13,free throw,True,15,True,True
2014-01-25,18.2,Oklahoma City Thunder,Philadelphia 76ers,2,38-34,1,three point jumper,False,23,False,False
2014-01-25,18.2833333333,Oklahoma City Thunder,Philadelphia 76ers,2,40-34,4,two point jumper,False,6,True,False
2014-01-25,35.1333333333,Oklahoma City Thunder,Philadelphia 76ers,3,81-71,7,three point jumper,False,23,False,False
2014-01-25,36.8666666667,Oklahoma City Thunder,Philadelphia 76ers,4,85-73,9,three point jumper,False,23,False,False
2014-01-25,46.6166666667,Oklahoma City Thunder,Philadelphia 76ers,4,100-89,9,two point jumper,False,1,False,False
2014-12-22,17.3833333333,Oklahoma City Thunder,Toronto Raptors,2,38-40,-1,three point jumper,True,24,True,True
2014-12-22,18.0666666667,Oklahoma City Thunder,Toronto Raptors,2,38-41,2,free throw,True,15,True,True
2014-12-22,18.0666666667,Oklahoma City Thunder,Toronto Raptors,2,38-42,3,free throw,True,15,True,True
2014-12-22,18.0666666667,Oklahoma City Thunder,Toronto Raptors,2,38-43,4,free throw,True,15,True,True
2014-12-22,39.3,Oklahoma City Thunder,Toronto Raptors,4,82-87,2,three point jumper,True,23,False,True
2014-11-29,16.9833333333,Oklahoma City Thunder,Golden State Warriors,2,39-38,-3,two point jumper,True,1,False,True
2014-11-29,17.0333333333,Oklahoma City Thunder,Golden State Warriors,2,39-38,-3,layup,True,0,False,True
2014-01-17,12.3166666667,Oklahoma City Thunder,Golden State Warriors,2,32-41,7,layup,True,0,True,True
2014-01-17,12.9333333333,Oklahoma City Thunder,Golden State Warriors,2,34-41,4,three point jumper,True,23,False,True
2014-01-17,14.5833333333,Oklahoma City Thunder,Golden State Warriors,2,37-45,6,two point shot,True,21,True,True
2014-01-17,32.9666666667,Oklahoma City Thunder,Golden State Warriors,3,82-88,5,free throw,True,15,True,True
2014-01-17,32.9666666667,Oklahoma City Thunder,Golden State Warriors,3,82-89,6,free throw,True,15,True,True
2014-01-17,34.85,Oklahoma City Thunder,Golden State Warriors,3,86-97,10,free throw,True,15,True,True
2014-01-17,34.85,Oklahoma City Thunder,Golden State Warriors,3,86-97,10,free throw,True,15,False,True
2014-01-17,36.3,Oklahoma City Thunder,Golden State Warriors,4,91-101,7,three point jumper,True,23,False,True
2014-01-17,39.25,Oklahoma City Thunder,Golden State Warriors,4,99-106,5,two point jumper,True,14,False,True
2014-11-13,35.4166666667,Oklahoma City Thunder,Los Angeles Clippers,3,76-79,-6,three point jumper,False,28,False,False
2014-11-13,38.3833333333,Oklahoma City Thunder,Los Angeles Clippers,4,78-91,-15,two point jumper,False,18,False,False
2014-11-21,16.7333333333,Oklahoma City Thunder,Los Angeles Clippers,2,26-38,11,free throw,True,15,True,False
2014-11-21,16.7333333333,Oklahoma City Thunder,Los Angeles Clippers,2,26-39,12,free throw,True,15,True,False
2014-11-21,41.2833333333,Oklahoma City Thunder,Los Angeles Clippers,4,81-95,12,layup,True,0,True,False
2014-02-23,17.7333333333,Oklahoma City Thunder,Los Angeles Clippers,2,45-45,-3,three point jumper,True,25,True,False
2014-02-23,34.4666666667,Oklahoma City Thunder,Los Angeles Clippers,3,95-85,-13,three point jumper,True,23,True,False
2014-02-23,35.3166666667,Oklahoma City Thunder,Los Angeles Clippers,3,97-88,-12,three point jumper,True,26,True,False
2014-02-23,36.7166666667,Oklahoma City Thunder,Los Angeles Clippers,4,99-96,-6,three point jumper,True,27,True,False
2014-02-23,41.5333333333,Oklahoma City Thunder,Los Angeles Clippers,4,107-107,-3,three point jumper,True,23,True,False
2014-02-23,47.65,Oklahoma City Thunder,Los Angeles Clippers,4,123-117,-8,two point jumper,True,23,False,False
2014-02-23,47.7166666667,Oklahoma City Thunder,Los Angeles Clippers,4,123-117,-9,three point jumper,True,26,False,False
2014-02-23,47.9333333333,Oklahoma City Thunder,Los Angeles Clippers,4,125-117,-11,three point jumper,True,25,False,False
2014-12-13,14.6166666667,Oklahoma City Thunder,Los Angeles Lakers,2,33-44,9,two point jumper,True,11,False,False
2014-12-13,16.0333333333,Oklahoma City Thunder,Los Angeles Lakers,2,38-46,5,three point jumper,True,24,False,False
2014-12-13,23.4,Oklahoma City Thunder,Los Angeles Lakers,2,49-64,13,two point jumper,True,17,False,False
2014-12-13,36.95,Oklahoma City Thunder,Los Angeles Lakers,4,74-99,22,three point jumper,True,23,True,False
2014-12-13,39.6333333333,Oklahoma City Thunder,Los Angeles Lakers,4,78-105,24,three point jumper,True,25,False,False
2014-02-13,9.45,Oklahoma City Thunder,Los Angeles Lakers,1,13-22,-12,three point jumper,False,25,False,True
2014-02-13,12.45,Oklahoma City Thunder,Los Angeles Lakers,2,19-24,-7,two point shot,False,18,True,True
2014-02-13,14.5666666667,Oklahoma City Thunder,Los Angeles Lakers,2,24-28,-6,two point shot,False,19,True,True
2014-02-13,15.0,Oklahoma City Thunder,Los Angeles Lakers,2,24-30,-9,three point jumper,False,29,False,True
2014-02-13,15.8,Oklahoma City Thunder,Los Angeles Lakers,2,24-31,-10,three point jumper,False,28,False,True
2014-02-13,35.3166666667,Oklahoma City Thunder,Los Angeles Lakers,3,70-82,-15,three point jumper,False,26,True,True
2014-02-13,35.9833333333,Oklahoma City Thunder,Los Angeles Lakers,3,72-82,-13,three point jumper,False,38,False,True
2014-02-13,39.8,Oklahoma City Thunder,Los Angeles Lakers,4,82-85,-6,three point jumper,False,26,False,True
2014-02-13,41.2166666667,Oklahoma City Thunder,Los Angeles Lakers,4,87-87,-3,three point jumper,False,24,True,True
2014-02-13,47.7333333333,Oklahoma City Thunder,Los Angeles Lakers,4,104-102,1,free throw,False,15,True,True
2014-02-13,47.7333333333,Oklahoma City Thunder,Los Angeles Lakers,4,105-102,2,free throw,False,15,True,True
2014-11-03,10.7333333333,Oklahoma City Thunder,Phoenix Suns,1,19-16,-4,free throw,True,15,True,False
2014-11-03,10.7333333333,Oklahoma City Thunder,Phoenix Suns,1,19-17,-3,free throw,True,15,True,False
2014-11-03,13.2,Oklahoma City Thunder,Phoenix Suns,2,24-27,1,two point jumper,True,20,True,False
2014-11-03,16.2833333333,Oklahoma City Thunder,Phoenix Suns,2,29-29,-3,three point jumper,True,23,False,False
2014-11-03,43.4166666667,Oklahoma City Thunder,Phoenix Suns,4,81-84,1,layup,True,0,True,False
2014-11-03,45.7,Oklahoma City Thunder,Phoenix Suns,4,87-94,5,two point jumper,True,10,True,False
2014-11-03,45.7,Oklahoma City Thunder,Phoenix Suns,4,87-95,7,free throw,True,15,True,False
2014-12-03,14.7166666667,Oklahoma City Thunder,Sacramento Kings,2,23-33,-13,three point jumper,False,24,False,True
2014-12-03,19.35,Oklahoma City Thunder,Sacramento Kings,2,34-40,-9,three point jumper,False,23,False,True
2014-12-03,40.45,Oklahoma City Thunder,Sacramento Kings,4,84-78,4,two point shot,False,17,True,True
2014-12-03,40.8833333333,Oklahoma City Thunder,Sacramento Kings,4,84-78,3,three point jumper,False,23,False,True
2014-01-19,7.85,Oklahoma City Thunder,Sacramento Kings,1,20-16,-6,two point jumper,True,16,False,False
2014-01-19,9.83333333333,Oklahoma City Thunder,Sacramento Kings,1,24-20,-6,two point shot,True,1,False,False
2014-01-19,23.5166666667,Oklahoma City Thunder,Sacramento Kings,2,49-55,4,two point shot,True,25,False,False
2014-01-19,23.6,Oklahoma City Thunder,Sacramento Kings,2,49-57,6,layup,True,0,True,False
2014-01-19,36.8666666667,Oklahoma City Thunder,Sacramento Kings,4,74-92,16,two point jumper,True,22,False,False
2014-01-19,37.8,Oklahoma City Thunder,Sacramento Kings,4,74-92,15,three point jumper,True,24,False,False
2014-01-19,39.15,Oklahoma City Thunder,Sacramento Kings,4,74-96,20,two point jumper,True,23,False,False
2014-01-19,40.4166666667,Oklahoma City Thunder,Sacramento Kings,4,75-98,20,three point jumper,True,25,False,False
2014-01-19,42.3166666667,Oklahoma City Thunder,Sacramento Kings,4,81-100,17,layup,True,0,True,False
2014-12-19,13.75,Oklahoma City Thunder,Chicago Bulls,2,26-37,9,layup,True,0,False,False
2014-12-19,36.6333333333,Oklahoma City Thunder,Chicago Bulls,4,72-87,12,three point jumper,True,23,False,False
2014-12-19,37.1166666667,Oklahoma City Thunder,Chicago Bulls,4,75-87,10,two point jumper,True,9,False,False
2014-02-26,12.9333333333,Oklahoma City Thunder,Cleveland Cavaliers,2,28-27,-4,three point jumper,True,23,False,False
2014-02-26,15.5666666667,Oklahoma City Thunder,Cleveland Cavaliers,2,33-31,-5,three point jumper,True,25,False,False
2014-02-26,39.0666666667,Oklahoma City Thunder,Cleveland Cavaliers,4,81-84,0,three point jumper,True,22,True,False
2014-11-08,21.2666666667,Oklahoma City Thunder,Detroit Pistons,2,50-41,6,three point jumper,False,26,False,True
2014-11-08,21.4833333333,Oklahoma City Thunder,Detroit Pistons,2,50-41,7,two point jumper,False,20,False,True
2014-12-08,16.3833333333,Oklahoma City Thunder,Indiana Pacers,2,24-40,14,two point jumper,True,23,False,False
2014-11-16,15.8166666667,Oklahoma City Thunder,Milwaukee Bucks,2,25-23,-1,three point jumper,False,23,False,True
2014-11-16,44.1666666667,Oklahoma City Thunder,Milwaukee Bucks,4,81-74,4,three point jumper,False,28,False,True
2014-01-11,10.8833333333,Oklahoma City Thunder,Milwaukee Bucks,1,8-14,4,two point shot,True,8,False,False
2014-01-11,13.25,Oklahoma City Thunder,Milwaukee Bucks,2,13-14,-2,three point jumper,True,23,False,False
2014-01-11,15.0833333333,Oklahoma City Thunder,Milwaukee Bucks,2,15-22,4,three point jumper,True,25,True,False
2014-01-11,15.6166666667,Oklahoma City Thunder,Milwaukee Bucks,2,17-22,3,two point jumper,True,5,False,False
2014-01-11,15.6833333333,Oklahoma City Thunder,Milwaukee Bucks,2,17-24,5,two point jumper,True,1,True,False
2014-01-11,38.3333333333,Oklahoma City Thunder,Milwaukee Bucks,4,69-81,10,two point jumper,True,5,False,False
2014-01-11,39.8,Oklahoma City Thunder,Milwaukee Bucks,4,75-85,8,two point jumper,True,19,True,False
2014-01-11,40.7333333333,Oklahoma City Thunder,Milwaukee Bucks,4,78-88,7,three point jumper,True,25,True,False
2014-01-11,41.5666666667,Oklahoma City Thunder,Milwaukee Bucks,4,81-88,4,three point jumper,True,23,False,False
2014-11-06,38.4,Oklahoma City Thunder,Dallas Mavericks,4,77-87,7,three point jumper,True,25,False,False
2014-11-06,40.0666666667,Oklahoma City Thunder,Dallas Mavericks,4,80-92,10,two point shot,True,15,True,False
2014-11-06,40.0666666667,Oklahoma City Thunder,Dallas Mavericks,4,80-93,12,free throw,True,15,True,False
2014-11-06,45.2,Oklahoma City Thunder,Dallas Mavericks,4,91-102,9,two point shot,True,16,False,False
2014-11-06,45.4333333333,Oklahoma City Thunder,Dallas Mavericks,4,91-104,11,two point jumper,True,23,True,False
2014-12-29,14.05,Oklahoma City Thunder,Houston Rockets,2,17-28,9,two point jumper,True,1,False,False
2014-12-29,18.8833333333,Oklahoma City Thunder,Houston Rockets,2,29-44,12,three point jumper,True,25,True,False
2014-12-29,37.95,Oklahoma City Thunder,Houston Rockets,4,73-90,14,three point jumper,True,23,False,False
2014-01-16,9.58333333333,Oklahoma City Thunder,Houston Rockets,1,25-23,0,two point jumper,False,16,False,False
2014-01-16,12.7166666667,Oklahoma City Thunder,Houston Rockets,2,38-34,1,three point jumper,False,25,False,False
2014-01-16,13.1333333333,Oklahoma City Thunder,Houston Rockets,2,40-34,4,two point jumper,False,12,False,False
2014-01-16,16.4166666667,Oklahoma City Thunder,Houston Rockets,2,43-43,-2,layup,False,0,False,False
2014-01-16,33.9833333333,Oklahoma City Thunder,Houston Rockets,3,75-81,-9,three point jumper,False,23,True,False
2014-12-11,15.95,Oklahoma City Thunder,Memphis Grizzlies,2,36-32,1,three point jumper,False,23,True,True
2014-12-11,17.2,Oklahoma City Thunder,Memphis Grizzlies,2,36-34,1,free throw,False,15,True,True
2014-12-11,17.2,Oklahoma City Thunder,Memphis Grizzlies,2,37-34,2,free throw,False,15,False,True
2014-12-11,37.2,Oklahoma City Thunder,Memphis Grizzlies,4,90-75,12,three point jumper,False,25,False,True
2014-01-14,8.91666666667,Oklahoma City Thunder,Memphis Grizzlies,1,10-18,-10,unknown,False,6,False,False
2014-01-14,14.25,Oklahoma City Thunder,Memphis Grizzlies,2,22-24,-4,two point shot,False,25,False,False
2014-01-14,32.4833333333,Oklahoma City Thunder,Memphis Grizzlies,3,59-62,-6,three point jumper,False,25,False,False
2014-01-14,37.2666666667,Oklahoma City Thunder,Memphis Grizzlies,4,67-74,-10,three point jumper,False,25,False,False
2014-01-14,42.0,Oklahoma City Thunder,Memphis Grizzlies,4,78-81,-6,three point jumper,False,24,True,False
2014-02-03,10.65,Oklahoma City Thunder,Memphis Grizzlies,1,16-16,-3,three point jumper,True,25,False,True
2014-02-03,14.4666666667,Oklahoma City Thunder,Memphis Grizzlies,2,24-24,-2,two point jumper,True,19,False,True
2014-02-03,16.6333333333,Oklahoma City Thunder,Memphis Grizzlies,2,28-31,0,three point jumper,True,23,True,True
2014-02-28,13.65,Oklahoma City Thunder,Memphis Grizzlies,2,24-32,7,free throw,True,15,True,True
2014-02-28,13.65,Oklahoma City Thunder,Memphis Grizzlies,2,24-33,8,free throw,True,15,True,True
2014-02-28,15.75,Oklahoma City Thunder,Memphis Grizzlies,2,26-36,7,three point jumper,True,24,True,True
2014-02-28,19.1,Oklahoma City Thunder,Memphis Grizzlies,2,36-43,4,three point jumper,True,25,True,True
2014-02-28,37.2666666667,Oklahoma City Thunder,Memphis Grizzlies,4,73-89,14,two point jumper,True,9,False,True
2014-02-28,37.8833333333,Oklahoma City Thunder,Memphis Grizzlies,4,73-89,13,three point jumper,True,25,False,True
2014-12-06,39.65,Oklahoma City Thunder,New Orleans Pelicans,4,88-76,9,three point jumper,False,23,True,False
2014-12-06,39.65,Oklahoma City Thunder,New Orleans Pelicans,4,89-76,12,free throw,False,15,True,False
2014-12-06,40.25,Oklahoma City Thunder,New Orleans Pelicans,4,89-78,8,three point jumper,False,25,False,False
2014-11-27,36.7,Oklahoma City Thunder,San Antonio Spurs,4,63-70,5,two point jumper,True,24,True,True
2014-12-21,15.0833333333,Oklahoma City Thunder,San Antonio Spurs,2,31-26,2,three point jumper,False,25,True,True
2014-12-21,16.5666666667,Oklahoma City Thunder,San Antonio Spurs,2,36-29,5,two point jumper,False,18,True,True
2014-12-21,16.6666666667,Oklahoma City Thunder,San Antonio Spurs,2,36-29,5,two point shot,False,1,False,True
2014-01-22,11.4,Oklahoma City Thunder,San Antonio Spurs,1,28-22,3,three point jumper,False,25,True,True
2014-01-22,12.6166666667,Oklahoma City Thunder,San Antonio Spurs,2,33-26,4,three point jumper,False,27,True,True
2014-01-22,15.75,Oklahoma City Thunder,San Antonio Spurs,2,38-35,0,three point jumper,False,25,False,True
2014-01-22,37.75,Oklahoma City Thunder,San Antonio Spurs,4,83-80,0,three point jumper,False,25,True,True
2014-12-10,15.2,Oklahoma City Thunder,Atlanta Hawks,2,30-29,-2,three point jumper,False,23,False,False
2014-12-10,39.75,Oklahoma City Thunder,Atlanta Hawks,4,83-75,5,three point jumper,False,24,False,False
2014-01-27,12.8,Oklahoma City Thunder,Atlanta Hawks,2,34-28,-8,layup,True,0,False,True
2014-01-27,13.45,Oklahoma City Thunder,Atlanta Hawks,2,37-28,-11,two point jumper,True,18,False,True
2014-01-27,17.7,Oklahoma City Thunder,Atlanta Hawks,2,46-39,-9,two point shot,True,17,True,True
2014-01-27,19.35,Oklahoma City Thunder,Atlanta Hawks,2,51-41,-12,two point shot,True,25,False,True
2014-01-27,38.3333333333,Oklahoma City Thunder,Atlanta Hawks,4,91-83,-11,three point jumper,True,23,False,True
2014-01-27,39.65,Oklahoma City Thunder,Atlanta Hawks,4,96-91,-8,three point jumper,True,25,True,True
2014-01-27,42.7333333333,Oklahoma City Thunder,Atlanta Hawks,4,103-99,-7,three point jumper,True,25,True,True
2014-12-27,17.1666666667,Oklahoma City Thunder,Charlotte Bobcats,2,28-28,-2,two point jumper,False,10,False,True
2014-12-27,34.05,Oklahoma City Thunder,Charlotte Bobcats,3,59-55,1,three point jumper,False,27,False,True
2014-12-27,35.9833333333,Oklahoma City Thunder,Charlotte Bobcats,3,62-60,-1,three point jumper,False,28,False,True
2014-12-27,39.5666666667,Oklahoma City Thunder,Charlotte Bobcats,4,71-64,4,three point jumper,False,24,True,True
2014-01-29,6.63333333333,Oklahoma City Thunder,Miami Heat,1,7-22,-18,three point jumper,False,25,True,False
2014-01-29,11.4833333333,Oklahoma City Thunder,Miami Heat,1,21-28,-10,unknown,False,26,True,False
2014-01-29,14.5,Oklahoma City Thunder,Miami Heat,2,31-36,-8,three point jumper,False,25,True,False
2014-01-29,15.6333333333,Oklahoma City Thunder,Miami Heat,2,33-36,-5,two point shot,False,9,False,False
2014-01-29,16.25,Oklahoma City Thunder,Miami Heat,2,33-38,-7,two point jumper,False,20,False,False
2014-01-29,36.0,Oklahoma City Thunder,Miami Heat,3,91-75,13,three point jumper,False,25,True,False
2014-01-29,39.6333333333,Oklahoma City Thunder,Miami Heat,4,101-76,22,three point jumper,False,25,True,False
2014-02-20,13.0,Oklahoma City Thunder,Miami Heat,2,36-19,-19,two point jumper,True,23,True,True
2014-02-20,16.3833333333,Oklahoma City Thunder,Miami Heat,2,41-26,-18,three point jumper,True,24,False,True
2014-02-20,36.25,Oklahoma City Thunder,Miami Heat,4,76-65,-14,three point jumper,True,25,False,True
2014-12-15,17.6333333333,Oklahoma City Thunder,Orlando Magic,2,36-42,5,free throw,True,15,True,False
2014-12-15,17.6333333333,Oklahoma City Thunder,Orlando Magic,2,36-43,6,free throw,True,15,True,False
2014-12-15,19.6333333333,Oklahoma City Thunder,Orlando Magic,2,41-45,1,three point jumper,True,24,False,False
2014-12-15,39.5666666667,Oklahoma City Thunder,Orlando Magic,4,78-91,10,three point jumper,True,24,False,False
2014-12-15,40.5666666667,Oklahoma City Thunder,Orlando Magic,4,78-94,13,three point jumper,True,25,True,False
2014-02-07,13.75,Oklahoma City Thunder,Orlando Magic,2,42-28,11,three point jumper,False,25,True,False
2014-02-07,15.0,Oklahoma City Thunder,Orlando Magic,2,47-30,14,three point jumper,False,25,True,False
2014-02-07,34.3833333333,Oklahoma City Thunder,Orlando Magic,3,84-76,5,three point jumper,False,23,False,False
2014-02-07,38.25,Oklahoma City Thunder,Orlando Magic,4,88-86,-1,three point jumper,False,27,False,False
2014-11-10,14.15,Oklahoma City Thunder,Washington Wizards,2,27-27,-3,three point jumper,True,23,False,True
