date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-02-09,12.5666666667,Dallas Mavericks,Boston Celtics,2,19-16,1,layup,False,0,False,False
2014-02-09,14.55,Dallas Mavericks,Boston Celtics,2,23-20,1,two point jumper,False,20,True,False
2014-02-09,15.6333333333,Dallas Mavericks,Boston Celtics,2,24-22,1,free throw,False,15,True,False
2014-02-09,15.6333333333,Dallas Mavericks,Boston Celtics,2,25-22,2,free throw,False,15,True,False
2014-02-09,35.0666666667,Dallas Mavericks,Boston Celtics,3,68-54,12,two point jumper,False,9,False,False
2014-02-09,35.4333333333,Dallas Mavericks,Boston Celtics,3,69-56,12,free throw,False,15,True,False
2014-02-09,35.4333333333,Dallas Mavericks,Boston Celtics,3,70-56,13,free throw,False,15,True,False
2014-02-09,37.65,Dallas Mavericks,Boston Celtics,4,78-58,18,two point shot,False,17,True,False
2014-02-09,42.0666666667,Dallas Mavericks,Boston Celtics,4,89-65,21,three point jumper,False,26,False,False
2014-02-09,44.05,Dallas Mavericks,Boston Celtics,4,96-76,18,two point shot,False,15,True,False
2014-02-09,45.0666666667,Dallas Mavericks,Boston Celtics,4,96-81,13,two point shot,False,12,False,False
2014-02-09,45.95,Dallas Mavericks,Boston Celtics,4,98-84,12,two point jumper,False,16,True,False
2014-01-24,11.9166666667,Dallas Mavericks,Brooklyn Nets,1,20-18,1,free throw,False,15,True,False
2014-01-24,11.9166666667,Dallas Mavericks,Brooklyn Nets,1,21-18,2,free throw,False,15,True,False
2014-01-24,13.6166666667,Dallas Mavericks,Brooklyn Nets,2,23-21,0,layup,False,0,True,False
2014-01-24,14.45,Dallas Mavericks,Brooklyn Nets,2,26-23,0,three point jumper,False,26,True,False
2014-01-24,15.45,Dallas Mavericks,Brooklyn Nets,2,28-29,-3,layup,False,0,True,False
2014-01-24,16.9166666667,Dallas Mavericks,Brooklyn Nets,2,30-33,-6,three point jumper,False,25,False,False
2014-01-24,36.0,Dallas Mavericks,Brooklyn Nets,3,70-78,-10,two point jumper,False,12,False,False
2014-01-24,36.8666666667,Dallas Mavericks,Brooklyn Nets,4,73-78,-6,free throw,False,15,True,False
2014-01-24,36.8666666667,Dallas Mavericks,Brooklyn Nets,4,74-78,-5,free throw,False,15,True,False
2014-01-24,37.55,Dallas Mavericks,Brooklyn Nets,4,77-80,-6,three point jumper,False,26,True,False
2014-02-24,11.15,Dallas Mavericks,New York Knicks,1,28-17,8,three point jumper,False,25,False,True
2014-02-24,39.6833333333,Dallas Mavericks,New York Knicks,4,93-90,2,free throw,False,15,True,True
2014-02-24,39.6833333333,Dallas Mavericks,New York Knicks,4,94-90,3,free throw,False,15,True,True
2014-02-24,40.3166666667,Dallas Mavericks,New York Knicks,4,94-90,2,two point jumper,False,7,False,True
2014-02-24,40.95,Dallas Mavericks,New York Knicks,4,96-93,1,layup,False,0,False,True
2014-02-21,21.35,Dallas Mavericks,Philadelphia 76ers,2,60-52,6,two point shot,False,4,True,True
2014-02-21,21.35,Dallas Mavericks,Philadelphia 76ers,2,61-52,8,free throw,False,15,True,True
2014-02-21,22.75,Dallas Mavericks,Philadelphia 76ers,2,67-56,9,layup,False,0,True,True
2014-02-21,23.9833333333,Dallas Mavericks,Philadelphia 76ers,2,69-62,4,three point jumper,False,46,False,True
2014-02-21,34.4833333333,Dallas Mavericks,Philadelphia 76ers,3,96-84,11,free throw,False,15,True,True
2014-02-21,34.4833333333,Dallas Mavericks,Philadelphia 76ers,3,96-84,11,free throw,False,15,False,True
2014-02-21,34.9333333333,Dallas Mavericks,Philadelphia 76ers,3,98-86,10,two point shot,False,7,True,True
