date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-11-19,10.8666666667,Houston Rockets,Boston Celtics,1,18-37,17,layup,True,0,True,False
2014-11-19,37.7166666667,Houston Rockets,Boston Celtics,4,61-92,28,three point jumper,True,25,False,False
2014-11-19,38.5666666667,Houston Rockets,Boston Celtics,4,64-94,28,two point jumper,True,6,True,False
2014-11-19,38.5666666667,Houston Rockets,Boston Celtics,4,64-95,30,free throw,True,15,True,False
2014-11-19,41.4833333333,Houston Rockets,Boston Celtics,4,70-97,24,three point jumper,True,25,False,False
2014-11-19,42.75,Houston Rockets,Boston Celtics,4,71-99,26,hook shot,True,1,False,False
2014-11-19,43.1,Houston Rockets,Boston Celtics,4,72-99,24,three point jumper,True,26,False,False
2014-11-19,46.1333333333,Houston Rockets,Boston Celtics,4,76-105,26,three point jumper,True,25,False,False
2014-11-29,41.9833333333,Houston Rockets,Brooklyn Nets,4,77-103,23,three point jumper,True,23,False,False
2014-11-29,44.5666666667,Houston Rockets,Brooklyn Nets,4,85-109,22,two point shot,True,1,False,False
2014-11-29,45.1666666667,Houston Rockets,Brooklyn Nets,4,87-111,22,layup,True,0,True,False
2014-11-29,46.1333333333,Houston Rockets,Brooklyn Nets,4,89-111,20,two point jumper,True,17,False,False
2014-11-29,47.5833333333,Houston Rockets,Brooklyn Nets,4,95-114,16,three point jumper,True,25,True,False
2014-12-06,13.55,Houston Rockets,Golden State Warriors,2,17-32,14,free throw,True,15,True,False
2014-12-06,13.55,Houston Rockets,Golden State Warriors,2,17-33,15,free throw,True,15,True,False
2014-12-06,14.75,Houston Rockets,Golden State Warriors,2,19-33,13,free throw,True,15,False,False
2014-12-06,14.75,Houston Rockets,Golden State Warriors,2,19-34,14,free throw,True,15,True,False
2014-12-06,16.0,Houston Rockets,Golden State Warriors,2,19-38,17,dunk,True,0,True,False
2014-12-06,16.4833333333,Houston Rockets,Golden State Warriors,2,21-38,14,three point jumper,True,25,False,False
2014-12-06,36.0,Houston Rockets,Golden State Warriors,3,66-87,18,three point jumper,True,54,False,False
2014-12-06,36.4333333333,Houston Rockets,Golden State Warriors,4,67-89,20,two point shot,True,1,True,False
2014-12-06,37.7666666667,Houston Rockets,Golden State Warriors,4,70-89,17,two point shot,True,1,False,False
2014-12-06,45.7333333333,Houston Rockets,Golden State Warriors,4,83-100,15,two point jumper,True,14,True,False
2014-12-06,46.4833333333,Houston Rockets,Golden State Warriors,4,83-100,14,three point jumper,True,25,False,False
2014-12-13,21.5833333333,Houston Rockets,Golden State Warriors,2,58-46,11,free throw,False,15,True,True
2014-12-13,21.5833333333,Houston Rockets,Golden State Warriors,2,58-46,11,free throw,False,15,False,True
2014-12-13,22.8333333333,Houston Rockets,Golden State Warriors,2,58-47,9,two point jumper,False,20,False,True
2014-12-13,41.1666666667,Houston Rockets,Golden State Warriors,4,89-89,-1,free throw,False,15,False,True
2014-12-13,41.1666666667,Houston Rockets,Golden State Warriors,4,90-89,0,free throw,False,15,True,True
