date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-11-08,12.25,Orlando Magic,Boston Celtics,2,17-24,5,layup,True,0,False,False
2014-11-08,12.5666666667,Orlando Magic,Boston Celtics,2,19-26,5,layup,True,0,True,False
2014-11-08,12.5666666667,Orlando Magic,Boston Celtics,2,19-27,7,free throw,True,15,True,False
2014-11-08,22.75,Orlando Magic,Boston Celtics,2,42-46,2,two point jumper,True,1,False,False
2014-11-08,23.8333333333,Orlando Magic,Boston Celtics,2,43-49,4,two point jumper,True,18,False,False
2014-11-08,32.1,Orlando Magic,Boston Celtics,3,61-58,-5,two point shot,True,1,True,False
2014-11-08,33.0,Orlando Magic,Boston Celtics,3,63-62,-3,layup,True,0,True,False
2014-11-08,36.6833333333,Orlando Magic,Boston Celtics,4,71-68,-6,three point jumper,True,27,False,False
2014-11-11,10.7166666667,Orlando Magic,Boston Celtics,1,23-28,-7,two point shot,False,6,True,False
2014-11-11,14.1833333333,Orlando Magic,Boston Celtics,2,29-35,-8,layup,False,0,True,False
2014-11-11,14.1833333333,Orlando Magic,Boston Celtics,2,30-35,-6,free throw,False,15,True,False
2014-11-11,14.6333333333,Orlando Magic,Boston Celtics,2,30-35,-8,three point jumper,False,25,False,False
2014-11-11,34.0333333333,Orlando Magic,Boston Celtics,3,70-82,-14,layup,False,0,False,False
2014-11-11,37.0166666667,Orlando Magic,Boston Celtics,4,76-89,-15,two point shot,False,8,True,False
2014-11-11,43.4166666667,Orlando Magic,Boston Celtics,4,93-107,-15,free throw,False,15,True,False
2014-11-11,43.4166666667,Orlando Magic,Boston Celtics,4,94-107,-14,free throw,False,15,True,False
2014-11-11,47.2333333333,Orlando Magic,Boston Celtics,4,103-120,-19,two point shot,False,7,True,False
2014-01-19,8.48333333333,Orlando Magic,Boston Celtics,1,20-11,-12,three point jumper,True,24,False,True
2014-01-19,11.5166666667,Orlando Magic,Boston Celtics,1,24-16,-10,two point shot,True,1,False,True
2014-01-19,12.3,Orlando Magic,Boston Celtics,2,26-21,-8,three point jumper,True,23,True,True
2014-01-19,15.0,Orlando Magic,Boston Celtics,2,29-27,-4,layup,True,0,False,True
2014-01-19,35.2,Orlando Magic,Boston Celtics,3,64-63,-4,three point jumper,True,25,False,True
2014-02-02,12.3833333333,Orlando Magic,Boston Celtics,2,19-27,-11,three point jumper,False,25,False,False
2014-02-02,39.4333333333,Orlando Magic,Boston Celtics,4,70-75,-7,two point shot,False,1,True,False
2014-02-02,41.0333333333,Orlando Magic,Boston Celtics,4,74-77,-5,two point jumper,False,17,False,False
