date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-01-03,3.93333333333,New Orleans Pelicans,Boston Celtics,1,4-4,-2,two point shot,False,12,False,True
2014-01-03,5.28333333333,New Orleans Pelicans,Boston Celtics,1,6-6,-2,two point jumper,False,22,True,True
2014-01-03,26.0833333333,New Orleans Pelicans,Boston Celtics,3,53-47,4,two point jumper,False,13,True,True
2014-01-03,26.5833333333,New Orleans Pelicans,Boston Celtics,3,54-47,6,free throw,False,15,True,True
2014-01-03,26.5833333333,New Orleans Pelicans,Boston Celtics,3,55-47,7,free throw,False,15,True,True
2014-01-03,27.6166666667,New Orleans Pelicans,Boston Celtics,3,55-49,4,layup,False,0,False,True
2014-01-03,30.95,New Orleans Pelicans,Boston Celtics,3,58-55,2,free throw,False,15,True,True
2014-01-03,30.95,New Orleans Pelicans,Boston Celtics,3,59-55,3,free throw,False,15,True,True
2014-01-03,31.45,New Orleans Pelicans,Boston Celtics,3,59-57,0,two point shot,False,8,False,True
2014-01-03,31.4833333333,New Orleans Pelicans,Boston Celtics,3,59-57,0,tip shot,False,0,False,True
2014-01-03,34.1833333333,New Orleans Pelicans,Boston Celtics,3,65-68,-4,free throw,False,15,True,True
2014-01-03,34.1833333333,New Orleans Pelicans,Boston Celtics,3,66-68,-3,free throw,False,15,True,True
2014-01-03,44.9333333333,New Orleans Pelicans,Boston Celtics,4,87-88,-3,two point shot,False,20,True,True
2014-02-09,6.1,New Orleans Pelicans,Brooklyn Nets,1,4-15,-12,free throw,False,15,False,False
2014-02-09,6.1,New Orleans Pelicans,Brooklyn Nets,1,4-15,-12,free throw,False,15,False,False
2014-02-09,7.28333333333,New Orleans Pelicans,Brooklyn Nets,1,8-19,-13,layup,False,0,True,False
2014-02-09,9.51666666667,New Orleans Pelicans,Brooklyn Nets,1,12-24,-14,two point jumper,False,19,False,False
2014-02-09,21.0333333333,New Orleans Pelicans,Brooklyn Nets,2,23-49,-29,three point jumper,False,26,False,False
2014-02-09,22.7666666667,New Orleans Pelicans,Brooklyn Nets,2,27-51,-26,two point jumper,False,9,False,False
2014-02-09,23.2833333333,New Orleans Pelicans,Brooklyn Nets,2,27-51,-25,free throw,False,15,False,False
2014-02-09,23.2833333333,New Orleans Pelicans,Brooklyn Nets,2,28-51,-24,free throw,False,15,True,False
2014-02-09,24.25,New Orleans Pelicans,Brooklyn Nets,3,28-51,-26,three point jumper,False,25,False,False
2014-02-09,24.8166666667,New Orleans Pelicans,Brooklyn Nets,3,28-51,-25,two point jumper,False,14,False,False
2014-02-09,26.3833333333,New Orleans Pelicans,Brooklyn Nets,3,34-54,-22,two point shot,False,19,True,False
2014-02-09,27.1833333333,New Orleans Pelicans,Brooklyn Nets,3,36-56,-22,two point jumper,False,21,True,False
2014-02-09,28.8833333333,New Orleans Pelicans,Brooklyn Nets,3,38-56,-20,two point jumper,False,5,False,False
2014-12-01,3.0,New Orleans Pelicans,New York Knicks,1,4-5,-3,two point shot,False,1,True,False
2014-12-01,4.35,New Orleans Pelicans,New York Knicks,1,4-7,-5,two point jumper,False,21,False,False
2014-12-01,7.13333333333,New Orleans Pelicans,New York Knicks,1,9-11,-5,three point jumper,False,23,False,False
2014-12-01,11.0166666667,New Orleans Pelicans,New York Knicks,1,16-20,-6,two point jumper,False,20,False,False
2014-12-01,23.4666666667,New Orleans Pelicans,New York Knicks,2,42-46,-6,layup,False,0,True,False
2014-12-01,31.2166666667,New Orleans Pelicans,New York Knicks,3,65-63,-1,three point jumper,False,25,True,False
2014-12-01,32.2333333333,New Orleans Pelicans,New York Knicks,3,65-64,0,free throw,False,15,False,False
2014-12-01,32.2333333333,New Orleans Pelicans,New York Knicks,3,66-64,1,free throw,False,15,True,False
2014-12-01,43.7333333333,New Orleans Pelicans,New York Knicks,4,92-93,-3,two point jumper,False,1,False,False
2014-12-01,44.85,New Orleans Pelicans,New York Knicks,4,96-93,0,three point jumper,False,25,False,False
2014-12-01,47.0333333333,New Orleans Pelicans,New York Knicks,4,102-96,4,two point shot,False,1,True,False
2014-02-19,1.4,New Orleans Pelicans,New York Knicks,1,3-4,-1,layup,True,0,True,False
2014-02-19,2.25,New Orleans Pelicans,New York Knicks,1,5-6,-1,two point jumper,True,1,False,False
2014-02-19,4.6,New Orleans Pelicans,New York Knicks,1,12-10,-4,layup,True,0,True,False
2014-02-19,5.98333333333,New Orleans Pelicans,New York Knicks,1,15-10,-8,three point jumper,True,26,False,False
2014-02-19,6.16666666667,New Orleans Pelicans,New York Knicks,1,15-11,-5,free throw,True,15,True,False
2014-02-19,6.16666666667,New Orleans Pelicans,New York Knicks,1,15-12,-4,free throw,True,15,True,False
2014-02-19,6.6,New Orleans Pelicans,New York Knicks,1,15-13,-3,free throw,True,15,True,False
2014-02-19,6.6,New Orleans Pelicans,New York Knicks,1,15-14,-2,free throw,True,15,True,False
2014-02-19,7.28333333333,New Orleans Pelicans,New York Knicks,1,17-17,-3,three point jumper,True,26,True,False
2014-02-19,11.2166666667,New Orleans Pelicans,New York Knicks,1,23-24,-2,three point jumper,True,26,False,False
2014-02-19,18.35,New Orleans Pelicans,New York Knicks,2,39-39,-2,two point jumper,True,20,False,False
2014-02-19,18.85,New Orleans Pelicans,New York Knicks,2,41-42,-2,three point jumper,True,23,True,False
2014-02-19,19.7333333333,New Orleans Pelicans,New York Knicks,2,43-45,-1,three point jumper,True,27,True,False
2014-02-19,23.2833333333,New Orleans Pelicans,New York Knicks,2,52-47,-8,three point jumper,True,24,False,False
2014-02-19,24.3833333333,New Orleans Pelicans,New York Knicks,3,53-47,-7,free throw,True,15,False,False
2014-02-19,24.3833333333,New Orleans Pelicans,New York Knicks,3,53-48,-6,free throw,True,15,True,False
2014-02-19,28.0,New Orleans Pelicans,New York Knicks,3,59-57,-4,two point jumper,True,20,True,False
2014-02-19,30.5333333333,New Orleans Pelicans,New York Knicks,3,67-61,-8,layup,True,0,True,False
2014-02-19,31.1666666667,New Orleans Pelicans,New York Knicks,3,67-62,-6,free throw,True,15,True,False
2014-02-19,31.1666666667,New Orleans Pelicans,New York Knicks,3,67-63,-5,free throw,True,15,True,False
2014-02-19,31.7,New Orleans Pelicans,New York Knicks,3,70-65,-7,two point shot,True,17,True,False
2014-02-19,32.2166666667,New Orleans Pelicans,New York Knicks,3,70-67,-5,two point jumper,True,6,True,False
2014-02-19,34.7833333333,New Orleans Pelicans,New York Knicks,3,76-68,-11,three point jumper,True,25,False,False
2014-02-19,46.35,New Orleans Pelicans,New York Knicks,4,92-91,-4,three point jumper,True,27,False,False
2014-02-19,47.75,New Orleans Pelicans,New York Knicks,4,98-91,-10,three point jumper,True,23,False,False
2014-11-16,1.88333333333,New Orleans Pelicans,Philadelphia 76ers,1,4-5,-2,three point jumper,True,24,False,False
2014-11-16,2.2,New Orleans Pelicans,Philadelphia 76ers,1,6-8,-1,three point jumper,True,26,True,False
2014-11-16,3.4,New Orleans Pelicans,Philadelphia 76ers,1,10-13,1,two point jumper,True,18,True,False
2014-11-16,3.65,New Orleans Pelicans,Philadelphia 76ers,1,10-13,0,three point jumper,True,25,False,False
2014-11-16,5.81666666667,New Orleans Pelicans,Philadelphia 76ers,1,15-17,-1,three point jumper,True,27,True,False
2014-11-16,18.6666666667,New Orleans Pelicans,Philadelphia 76ers,2,31-56,23,two point shot,True,16,True,False
2014-11-16,18.6666666667,New Orleans Pelicans,Philadelphia 76ers,2,31-57,25,free throw,True,15,True,False
2014-11-16,19.5666666667,New Orleans Pelicans,Philadelphia 76ers,2,31-59,25,three point jumper,True,25,False,False
2014-11-16,21.9833333333,New Orleans Pelicans,Philadelphia 76ers,2,40-62,21,free throw,True,15,True,False
2014-11-16,21.9833333333,New Orleans Pelicans,Philadelphia 76ers,2,40-62,21,free throw,True,15,False,False
2014-11-16,22.7666666667,New Orleans Pelicans,Philadelphia 76ers,2,42-66,22,layup,True,0,True,False
2014-11-16,25.95,New Orleans Pelicans,Philadelphia 76ers,3,47-71,21,three point jumper,True,25,False,False
2014-11-16,27.3166666667,New Orleans Pelicans,Philadelphia 76ers,3,51-78,25,layup,True,0,True,False
2014-11-16,28.3833333333,New Orleans Pelicans,Philadelphia 76ers,3,53-83,27,three point jumper,True,26,True,False
2014-11-16,30.8166666667,New Orleans Pelicans,Philadelphia 76ers,3,57-89,30,layup,True,0,False,False
2014-11-29,1.15,New Orleans Pelicans,Philadelphia 76ers,1,2-1,-1,two point shot,False,19,True,True
2014-11-29,2.7,New Orleans Pelicans,Philadelphia 76ers,1,4-3,-2,three point jumper,False,28,False,True
2014-11-29,6.56666666667,New Orleans Pelicans,Philadelphia 76ers,1,15-16,-4,three point jumper,False,24,True,True
2014-11-29,7.56666666667,New Orleans Pelicans,Philadelphia 76ers,1,17-18,-3,layup,False,0,True,True
2014-11-29,8.25,New Orleans Pelicans,Philadelphia 76ers,1,19-20,-3,two point shot,False,1,True,True
2014-11-29,9.68333333333,New Orleans Pelicans,Philadelphia 76ers,1,26-24,0,layup,False,0,True,True
2014-11-29,20.9833333333,New Orleans Pelicans,Philadelphia 76ers,2,55-45,8,two point shot,False,6,False,True
2014-11-29,26.1166666667,New Orleans Pelicans,Philadelphia 76ers,3,67-62,3,layup,False,0,True,True
2014-11-29,27.25,New Orleans Pelicans,Philadelphia 76ers,3,67-62,2,three point jumper,False,26,False,True
2014-11-29,32.8,New Orleans Pelicans,Philadelphia 76ers,3,81-70,8,three point jumper,False,25,True,True
2014-11-29,35.1,New Orleans Pelicans,Philadelphia 76ers,3,85-76,7,layup,False,0,True,True
2014-11-29,38.65,New Orleans Pelicans,Philadelphia 76ers,4,93-81,10,layup,False,0,True,True
2014-11-29,40.35,New Orleans Pelicans,Philadelphia 76ers,4,99-85,12,layup,False,0,True,True
2014-11-29,45.9333333333,New Orleans Pelicans,Philadelphia 76ers,4,113-100,10,three point jumper,False,23,False,True
2014-11-29,46.4,New Orleans Pelicans,Philadelphia 76ers,4,117-103,12,dunk,False,0,True,True
2014-11-29,47.1,New Orleans Pelicans,Philadelphia 76ers,4,118-105,12,free throw,False,15,True,True
2014-11-29,47.1,New Orleans Pelicans,Philadelphia 76ers,4,119-105,13,free throw,False,15,True,True
2014-02-10,0.7,New Orleans Pelicans,Toronto Raptors,1,2-0,0,two point shot,False,17,True,False
2014-02-10,3.5,New Orleans Pelicans,Toronto Raptors,1,7-9,-4,two point jumper,False,19,False,False
2014-02-10,5.6,New Orleans Pelicans,Toronto Raptors,1,9-12,-5,two point shot,False,1,False,False
2014-02-10,9.06666666667,New Orleans Pelicans,Toronto Raptors,1,16-25,-11,two point jumper,False,18,False,False
2014-02-10,9.41666666667,New Orleans Pelicans,Toronto Raptors,1,18-25,-9,two point shot,False,1,True,False
2014-02-10,22.8333333333,New Orleans Pelicans,Toronto Raptors,2,49-45,2,two point jumper,False,6,False,False
2014-02-10,25.5666666667,New Orleans Pelicans,Toronto Raptors,3,53-53,-2,two point shot,False,14,True,False
2014-02-10,26.8166666667,New Orleans Pelicans,Toronto Raptors,3,55-58,-5,two point jumper,False,18,True,False
2014-02-10,28.3166666667,New Orleans Pelicans,Toronto Raptors,3,56-66,-12,two point jumper,False,22,False,False
2014-02-10,30.3833333333,New Orleans Pelicans,Toronto Raptors,3,58-70,-14,layup,False,0,False,False
2014-02-10,46.4,New Orleans Pelicans,Toronto Raptors,4,96-104,-10,layup,False,0,True,False
2014-11-26,2.18333333333,New Orleans Pelicans,Golden State Warriors,1,2-5,2,free throw,True,15,True,False
2014-11-26,2.18333333333,New Orleans Pelicans,Golden State Warriors,1,2-5,2,free throw,True,15,False,False
2014-11-26,5.91666666667,New Orleans Pelicans,Golden State Warriors,1,13-13,-2,two point shot,True,1,True,False
2014-11-26,18.0,New Orleans Pelicans,Golden State Warriors,2,40-27,-16,three point jumper,True,26,False,False
2014-11-26,19.7333333333,New Orleans Pelicans,Golden State Warriors,2,47-35,-15,three point jumper,True,25,True,False
2014-11-26,21.4,New Orleans Pelicans,Golden State Warriors,2,49-40,-11,two point jumper,True,18,False,False
2014-11-26,23.1833333333,New Orleans Pelicans,Golden State Warriors,2,55-49,-8,two point shot,True,6,True,False
2014-11-26,27.75,New Orleans Pelicans,Golden State Warriors,3,59-55,-6,two point jumper,True,20,False,False
2014-11-26,30.45,New Orleans Pelicans,Golden State Warriors,3,65-65,-3,three point jumper,True,26,True,False
2014-11-26,30.85,New Orleans Pelicans,Golden State Warriors,3,65-65,-1,free throw,True,15,False,False
2014-11-26,30.85,New Orleans Pelicans,Golden State Warriors,3,65-66,0,free throw,True,15,True,False
2014-11-26,31.2833333333,New Orleans Pelicans,Golden State Warriors,3,65-68,1,two point shot,True,1,True,False
2014-11-26,32.9333333333,New Orleans Pelicans,Golden State Warriors,3,67-70,1,two point jumper,True,21,True,False
2014-11-26,46.1,New Orleans Pelicans,Golden State Warriors,4,102-99,-6,three point jumper,True,24,False,False
2014-11-26,47.9833333333,New Orleans Pelicans,Golden State Warriors,4,102-101,-4,three point jumper,True,23,False,False
2014-12-17,5.06666666667,New Orleans Pelicans,Golden State Warriors,1,6-14,-11,three point jumper,False,24,False,True
2014-12-17,7.31666666667,New Orleans Pelicans,Golden State Warriors,1,9-16,-10,three point jumper,False,28,False,True
2014-12-17,21.8166666667,New Orleans Pelicans,Golden State Warriors,2,35-51,-18,two point jumper,False,17,False,True
2014-12-17,23.6666666667,New Orleans Pelicans,Golden State Warriors,2,39-55,-18,layup,False,0,False,True
2014-12-17,26.4333333333,New Orleans Pelicans,Golden State Warriors,3,49-64,-18,three point jumper,False,23,True,True
2014-12-17,27.0,New Orleans Pelicans,Golden State Warriors,3,49-64,-17,layup,False,0,False,True
2014-12-17,29.9166666667,New Orleans Pelicans,Golden State Warriors,3,55-73,-19,free throw,False,15,True,True
2014-12-17,29.9166666667,New Orleans Pelicans,Golden State Warriors,3,56-73,-18,free throw,False,15,True,True
2014-12-17,30.3166666667,New Orleans Pelicans,Golden State Warriors,3,56-75,-21,layup,False,0,False,True
2014-12-17,32.5666666667,New Orleans Pelicans,Golden State Warriors,3,61-81,-22,two point jumper,False,3,False,True
2014-01-18,1.88333333333,New Orleans Pelicans,Golden State Warriors,1,2-7,3,layup,True,0,True,False
2014-01-18,3.2,New Orleans Pelicans,Golden State Warriors,1,5-7,-1,three point jumper,True,27,False,False
2014-01-18,21.05,New Orleans Pelicans,Golden State Warriors,2,44-50,4,two point jumper,True,20,False,False
2014-01-18,22.6666666667,New Orleans Pelicans,Golden State Warriors,2,48-52,2,two point jumper,True,16,False,False
2014-01-18,22.75,New Orleans Pelicans,Golden State Warriors,2,48-54,4,two point jumper,True,20,True,False
2014-01-18,24.7166666667,New Orleans Pelicans,Golden State Warriors,3,52-55,2,free throw,True,15,True,False
2014-01-18,24.7166666667,New Orleans Pelicans,Golden State Warriors,3,52-56,3,free throw,True,15,True,False
2014-01-18,25.3333333333,New Orleans Pelicans,Golden State Warriors,3,54-56,-1,three point jumper,True,25,False,False
2014-01-18,26.05,New Orleans Pelicans,Golden State Warriors,3,56-58,0,two point jumper,True,20,True,False
2014-01-18,28.0,New Orleans Pelicans,Golden State Warriors,3,58-58,-2,two point jumper,True,22,False,False
2014-01-18,31.7333333333,New Orleans Pelicans,Golden State Warriors,3,66-64,-5,three point jumper,True,27,False,False
2014-01-18,33.0333333333,New Orleans Pelicans,Golden State Warriors,3,71-64,-10,three point jumper,True,24,False,False
2014-01-18,34.1666666667,New Orleans Pelicans,Golden State Warriors,3,76-66,-12,two point jumper,True,8,False,False
2014-01-18,44.05,New Orleans Pelicans,Golden State Warriors,4,91-84,-9,two point shot,True,5,False,False
2014-01-18,47.3333333333,New Orleans Pelicans,Golden State Warriors,4,93-87,-9,three point jumper,True,27,False,False
2014-01-18,47.6833333333,New Orleans Pelicans,Golden State Warriors,4,95-87,-11,three point jumper,True,27,False,False
2014-12-18,2.7,New Orleans Pelicans,Los Angeles Clippers,1,5-7,-5,three point jumper,False,27,False,True
2014-12-18,3.86666666667,New Orleans Pelicans,Los Angeles Clippers,1,5-9,-6,layup,False,0,False,True
2014-12-18,4.41666666667,New Orleans Pelicans,Los Angeles Clippers,1,5-11,-8,two point jumper,False,7,False,True
2014-12-18,19.6666666667,New Orleans Pelicans,Los Angeles Clippers,2,37-43,-8,two point shot,False,18,True,True
2014-12-18,21.0333333333,New Orleans Pelicans,Los Angeles Clippers,2,40-47,-8,free throw,False,15,True,True
2014-12-18,21.0333333333,New Orleans Pelicans,Los Angeles Clippers,2,40-47,-8,free throw,False,15,False,True
2014-12-18,23.2,New Orleans Pelicans,Los Angeles Clippers,2,45-51,-8,two point jumper,False,8,True,True
2014-12-18,25.1166666667,New Orleans Pelicans,Los Angeles Clippers,3,49-55,-8,layup,False,0,True,True
2014-12-18,26.5,New Orleans Pelicans,Los Angeles Clippers,3,49-55,-8,two point jumper,False,4,False,True
2014-12-18,28.0333333333,New Orleans Pelicans,Los Angeles Clippers,3,51-60,-11,two point jumper,False,22,False,True
2014-12-18,42.1666666667,New Orleans Pelicans,Los Angeles Clippers,4,79-93,-16,two point jumper,False,20,True,True
2014-12-18,42.9166666667,New Orleans Pelicans,Los Angeles Clippers,4,79-96,-19,two point jumper,False,20,False,True
2014-02-24,1.8,New Orleans Pelicans,Los Angeles Clippers,1,4-5,-2,three point jumper,True,27,True,False
2014-02-24,6.48333333333,New Orleans Pelicans,Los Angeles Clippers,1,17-15,-5,three point jumper,True,25,False,False
2014-02-24,28.8833333333,New Orleans Pelicans,Los Angeles Clippers,3,76-60,-18,layup,True,0,True,False
2014-02-24,30.4833333333,New Orleans Pelicans,Los Angeles Clippers,3,81-65,-19,three point jumper,True,27,True,False
2014-02-24,42.35,New Orleans Pelicans,Los Angeles Clippers,4,105-92,-15,two point jumper,True,17,True,False
2014-02-24,43.1333333333,New Orleans Pelicans,Los Angeles Clippers,4,108-92,-19,three point jumper,True,25,False,False
2014-03-01,1.18333333333,New Orleans Pelicans,Los Angeles Clippers,1,0-2,-4,two point jumper,False,1,False,True
2014-03-01,1.7,New Orleans Pelicans,Los Angeles Clippers,1,0-2,-5,three point jumper,False,27,False,True
2014-03-01,6.16666666667,New Orleans Pelicans,Los Angeles Clippers,1,6-19,-15,two point jumper,False,1,False,True
2014-03-01,6.75,New Orleans Pelicans,Los Angeles Clippers,1,6-20,-16,layup,False,0,False,True
2014-03-01,8.51666666667,New Orleans Pelicans,Los Angeles Clippers,1,8-25,-19,two point jumper,False,5,False,True
2014-03-01,9.23333333333,New Orleans Pelicans,Los Angeles Clippers,1,8-25,-19,layup,False,0,False,True
2014-03-01,18.4166666667,New Orleans Pelicans,Los Angeles Clippers,2,22-43,-24,three point jumper,False,27,False,True
2014-03-01,18.5666666667,New Orleans Pelicans,Los Angeles Clippers,2,24-43,-21,two point shot,False,1,True,True
2014-03-01,19.5,New Orleans Pelicans,Los Angeles Clippers,2,26-45,-21,two point jumper,False,8,False,True
2014-03-01,29.35,New Orleans Pelicans,Los Angeles Clippers,3,44-66,-25,three point jumper,False,26,False,True
2014-03-01,41.2,New Orleans Pelicans,Los Angeles Clippers,4,63-86,-25,layup,False,0,False,True
2014-11-08,1.93333333333,New Orleans Pelicans,Los Angeles Lakers,1,2-5,1,two point jumper,True,10,False,True
2014-11-08,2.11666666667,New Orleans Pelicans,Los Angeles Lakers,1,2-5,1,two point jumper,True,7,False,True
2014-11-08,4.41666666667,New Orleans Pelicans,Los Angeles Lakers,1,10-11,-1,layup,True,0,True,True
2014-11-08,7.63333333333,New Orleans Pelicans,Los Angeles Lakers,1,19-23,1,three point jumper,True,23,True,True
2014-11-08,8.01666666667,New Orleans Pelicans,Los Angeles Lakers,1,19-24,4,free throw,True,15,True,True
2014-11-08,8.01666666667,New Orleans Pelicans,Los Angeles Lakers,1,19-25,5,free throw,True,15,True,True
2014-11-08,8.75,New Orleans Pelicans,Los Angeles Lakers,1,21-25,1,three point jumper,True,25,False,True
2014-11-08,15.4333333333,New Orleans Pelicans,Los Angeles Lakers,2,31-36,3,layup,True,0,False,True
2014-11-08,19.0,New Orleans Pelicans,Los Angeles Lakers,2,39-41,1,free throw,True,15,True,True
2014-11-08,19.0,New Orleans Pelicans,Los Angeles Lakers,2,39-41,1,free throw,True,15,False,True
2014-11-08,21.3666666667,New Orleans Pelicans,Los Angeles Lakers,2,44-49,3,two point shot,True,4,True,True
2014-11-08,23.8833333333,New Orleans Pelicans,Los Angeles Lakers,2,48-55,5,two point jumper,True,18,True,True
2014-11-08,24.8666666667,New Orleans Pelicans,Los Angeles Lakers,3,51-57,4,layup,True,0,True,True
2014-11-08,28.1666666667,New Orleans Pelicans,Los Angeles Lakers,3,59-59,-2,two point jumper,True,18,False,True
2014-11-08,45.05,New Orleans Pelicans,Los Angeles Lakers,4,81-87,5,free throw,True,15,True,True
2014-11-08,45.05,New Orleans Pelicans,Los Angeles Lakers,4,81-88,6,free throw,True,15,True,True
2014-11-08,46.05,New Orleans Pelicans,Los Angeles Lakers,4,81-88,5,layup,True,0,False,True
2014-11-12,2.25,New Orleans Pelicans,Los Angeles Lakers,1,2-4,-4,layup,False,0,False,True
