date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-01-29,1.58333333333,Philadelphia 76ers,Boston Celtics,1,4-4,-2,two point jumper,False,19,False,True
2014-01-29,3.05,Philadelphia 76ers,Boston Celtics,1,8-8,-2,two point jumper,False,4,True,True
2014-01-29,3.75,Philadelphia 76ers,Boston Celtics,1,10-8,0,two point shot,False,1,False,True
2014-01-29,6.0,Philadelphia 76ers,Boston Celtics,1,12-10,0,two point jumper,False,16,False,True
2014-01-29,8.28333333333,Philadelphia 76ers,Boston Celtics,1,18-14,1,three point jumper,False,23,False,True
2014-01-29,12.5,Philadelphia 76ers,Boston Celtics,2,23-26,-5,two point jumper,False,19,False,True
2014-01-29,17.35,Philadelphia 76ers,Boston Celtics,2,36-31,2,three point jumper,False,24,False,True
2014-01-29,18.0333333333,Philadelphia 76ers,Boston Celtics,2,39-32,6,free throw,False,15,True,True
2014-01-29,18.0333333333,Philadelphia 76ers,Boston Celtics,2,40-32,7,free throw,False,15,True,True
2014-01-29,22.5333333333,Philadelphia 76ers,Boston Celtics,2,50-43,5,two point shot,False,7,True,True
2014-01-29,26.3166666667,Philadelphia 76ers,Boston Celtics,3,61-52,6,three point jumper,False,24,False,True
2014-01-29,26.9666666667,Philadelphia 76ers,Boston Celtics,3,61-54,4,three point jumper,False,25,False,True
2014-01-29,29.7,Philadelphia 76ers,Boston Celtics,3,65-60,3,two point shot,False,1,True,True
2014-01-29,31.2,Philadelphia 76ers,Boston Celtics,3,68-62,3,three point jumper,False,25,False,True
2014-01-29,32.0166666667,Philadelphia 76ers,Boston Celtics,3,70-63,5,two point shot,False,8,True,True
2014-01-29,41.8166666667,Philadelphia 76ers,Boston Celtics,4,83-88,-6,free throw,False,15,False,True
2014-01-29,41.8166666667,Philadelphia 76ers,Boston Celtics,4,84-88,-5,free throw,False,15,True,True
2014-01-29,42.4166666667,Philadelphia 76ers,Boston Celtics,4,86-88,-4,layup,False,0,True,True
2014-01-29,44.55,Philadelphia 76ers,Boston Celtics,4,90-90,-2,two point shot,False,1,False,True
2014-01-29,47.4333333333,Philadelphia 76ers,Boston Celtics,4,93-94,-2,free throw,False,15,True,True
2014-01-29,47.4333333333,Philadelphia 76ers,Boston Celtics,4,93-94,-2,free throw,False,15,False,True
2014-01-29,48.0,Philadelphia 76ers,Boston Celtics,4,95-94,-1,two point shot,False,7,True,True
2014-02-05,1.15,Philadelphia 76ers,Boston Celtics,1,0-2,0,two point jumper,True,10,False,False
2014-02-05,16.3166666667,Philadelphia 76ers,Boston Celtics,2,39-30,-12,three point jumper,True,23,False,False
2014-02-05,24.2,Philadelphia 76ers,Boston Celtics,3,56-48,-9,free throw,True,15,True,False
2014-02-05,24.2,Philadelphia 76ers,Boston Celtics,3,56-49,-8,free throw,True,15,True,False
2014-02-05,24.7,Philadelphia 76ers,Boston Celtics,3,58-51,-9,two point jumper,True,1,True,False
2014-02-05,28.25,Philadelphia 76ers,Boston Celtics,3,64-59,-7,two point shot,True,1,True,False
2014-02-05,29.5666666667,Philadelphia 76ers,Boston Celtics,3,70-63,-9,layup,True,0,True,False
2014-02-05,31.6333333333,Philadelphia 76ers,Boston Celtics,3,78-71,-9,two point shot,True,10,True,False
2014-02-05,32.0833333333,Philadelphia 76ers,Boston Celtics,3,80-71,-11,layup,True,0,False,False
2014-02-05,32.5833333333,Philadelphia 76ers,Boston Celtics,3,83-71,-14,two point jumper,True,1,False,False
2014-02-05,42.3833333333,Philadelphia 76ers,Boston Celtics,4,103-95,-11,three point jumper,True,26,False,False
2014-02-05,46.1833333333,Philadelphia 76ers,Boston Celtics,4,109-105,-6,layup,True,0,True,False
2014-02-05,46.7666666667,Philadelphia 76ers,Boston Celtics,4,109-105,-6,two point jumper,True,1,False,False
2014-02-05,47.7833333333,Philadelphia 76ers,Boston Celtics,4,114-108,-8,two point jumper,True,13,False,False
2014-03-01,15.8833333333,Indiana Pacers,Boston Celtics,2,40-37,1,two point shot,False,6,True,False
