date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-01-05,37.6333333333,Dallas Mavericks,New York Knicks,4,70-62,-11,three point jumper,True,24,False,False
2014-11-05,7.81666666667,Dallas Mavericks,Los Angeles Lakers,1,14-22,6,two point shot,True,6,True,True
2014-11-05,9.66666666667,Dallas Mavericks,Los Angeles Lakers,1,18-29,9,unknown,True,11,False,True
2014-11-05,15.0166666667,Dallas Mavericks,Los Angeles Lakers,2,27-41,12,two point jumper,True,22,True,True
2014-11-05,17.35,Dallas Mavericks,Los Angeles Lakers,2,33-47,11,three point jumper,True,23,False,True
2014-11-05,34.7833333333,Dallas Mavericks,Los Angeles Lakers,3,74-94,18,layup,True,0,False,True
2014-11-05,37.05,Dallas Mavericks,Los Angeles Lakers,4,79-97,15,three point jumper,True,22,True,True
2014-11-05,37.3166666667,Dallas Mavericks,Los Angeles Lakers,4,79-99,18,two point shot,True,1,True,True
2014-11-05,39.1333333333,Dallas Mavericks,Los Angeles Lakers,4,86-107,18,three point jumper,True,24,False,True
2014-12-09,36.3833333333,Dallas Mavericks,Sacramento Kings,4,73-92,-21,hook shot,False,5,False,True
2014-12-09,37.55,Dallas Mavericks,Sacramento Kings,4,73-94,-24,three point jumper,False,25,False,True
2014-12-09,46.7666666667,Dallas Mavericks,Sacramento Kings,4,92-110,-20,two point jumper,False,5,False,True
2014-12-09,47.5666666667,Dallas Mavericks,Sacramento Kings,4,97-112,-17,two point jumper,False,11,False,True
2014-11-09,38.0,Dallas Mavericks,Milwaukee Bucks,4,72-67,3,layup,False,0,True,True
2014-11-09,38.8,Dallas Mavericks,Milwaukee Bucks,4,75-67,7,free throw,False,15,True,True
2014-11-09,38.8,Dallas Mavericks,Milwaukee Bucks,4,76-67,8,free throw,False,15,True,True
2014-11-09,39.3166666667,Dallas Mavericks,Milwaukee Bucks,4,76-67,7,two point jumper,False,6,False,True
2014-12-14,41.2833333333,Dallas Mavericks,Milwaukee Bucks,4,74-97,21,two point jumper,True,12,False,False
2014-12-14,44.7833333333,Dallas Mavericks,Milwaukee Bucks,4,84-102,15,three point jumper,True,24,True,False
2014-10-30,11.9833333333,Dallas Mavericks,Atlanta Hawks,1,28-32,3,free throw,True,15,True,True
2014-10-30,11.9833333333,Dallas Mavericks,Atlanta Hawks,1,28-33,4,free throw,True,15,True,True
2014-11-01,7.2,Dallas Mavericks,Houston Rockets,1,12-20,-10,two point shot,False,18,True,False
2014-11-01,13.3166666667,Dallas Mavericks,Houston Rockets,2,24-40,-18,two point shot,False,11,True,False
2014-11-01,15.1833333333,Dallas Mavericks,Houston Rockets,2,29-42,-15,layup,False,0,True,False
2014-11-01,34.0,Dallas Mavericks,Houston Rockets,3,72-81,-11,two point shot,False,11,True,False
2014-11-01,43.45,Dallas Mavericks,Houston Rockets,4,86-101,-18,three point jumper,False,25,False,False
2014-11-01,44.95,Dallas Mavericks,Houston Rockets,4,93-104,-14,three point jumper,False,27,True,False
2014-11-01,47.75,Dallas Mavericks,Houston Rockets,4,105-111,-8,layup,False,0,False,False
2014-11-02,10.3666666667,Dallas Mavericks,Memphis Grizzlies,1,13-28,12,three point jumper,True,25,False,False
2014-11-02,16.0666666667,Dallas Mavericks,Memphis Grizzlies,2,22-39,15,two point shot,True,16,False,False
2014-11-06,10.6166666667,Dallas Mavericks,Oklahoma City Thunder,1,29-28,-1,layup,False,0,False,True
2014-11-06,11.3,Dallas Mavericks,Oklahoma City Thunder,1,29-31,-4,two point jumper,False,3,False,True
2014-11-06,12.0,Dallas Mavericks,Oklahoma City Thunder,1,31-33,-5,three point jumper,False,42,False,True
2014-11-06,14.0666666667,Dallas Mavericks,Oklahoma City Thunder,2,35-37,-4,two point jumper,False,14,False,True
2014-11-08,13.9333333333,Dallas Mavericks,Minnesota Timberwolves,2,29-30,-3,two point shot,False,12,True,False
2014-11-08,15.05,Dallas Mavericks,Minnesota Timberwolves,2,34-32,1,free throw,False,15,True,False
2014-11-08,15.05,Dallas Mavericks,Minnesota Timberwolves,2,34-32,1,free throw,False,15,False,False
2014-11-08,15.65,Dallas Mavericks,Minnesota Timberwolves,2,36-33,1,layup,False,0,True,False
2014-11-08,18.35,Dallas Mavericks,Minnesota Timberwolves,2,42-39,0,three point jumper,False,25,False,False
2014-11-08,35.9833333333,Dallas Mavericks,Minnesota Timberwolves,3,79-85,-8,two point jumper,False,7,False,False
2014-11-08,38.1333333333,Dallas Mavericks,Minnesota Timberwolves,4,83-89,-8,layup,False,0,False,False
2014-11-08,39.1833333333,Dallas Mavericks,Minnesota Timberwolves,4,85-91,-8,two point jumper,False,19,False,False
2014-11-08,40.2833333333,Dallas Mavericks,Minnesota Timberwolves,4,91-95,-6,two point shot,False,7,True,False
2014-11-12,13.5666666667,Dallas Mavericks,Washington Wizards,2,36-38,0,two point shot,True,5,True,False
2014-11-12,14.4,Dallas Mavericks,Washington Wizards,2,36-41,4,free throw,True,15,True,False
2014-11-12,14.4,Dallas Mavericks,Washington Wizards,2,36-42,5,free throw,True,15,True,False
2014-11-12,37.3166666667,Dallas Mavericks,Washington Wizards,4,79-88,6,three point jumper,True,24,False,False
2014-11-15,10.0333333333,Dallas Mavericks,Miami Heat,1,25-27,-4,two point jumper,False,7,False,False
2014-11-16,11.0,Dallas Mavericks,Orlando Magic,1,29-22,5,layup,False,0,True,True
2014-11-16,14.15,Dallas Mavericks,Orlando Magic,2,35-26,7,layup,False,0,True,True
2014-11-16,17.3833333333,Dallas Mavericks,Orlando Magic,2,42-32,8,layup,False,0,True,True
