date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-12-21,11.6333333333,Washington Wizards,Boston Celtics,1,14-27,-15,two point jumper,False,23,False,False
2014-12-21,36.0,Washington Wizards,Boston Celtics,3,74-76,-5,three point jumper,False,25,False,False
2014-12-21,36.3166666667,Washington Wizards,Boston Celtics,4,74-76,-4,layup,False,0,False,False
2014-12-21,38.3833333333,Washington Wizards,Boston Celtics,4,80-84,-6,two point shot,False,1,True,False
2014-12-21,39.1833333333,Washington Wizards,Boston Celtics,4,80-86,-8,layup,False,0,False,False
2014-01-22,13.1333333333,Washington Wizards,Boston Celtics,2,34-25,-10,free throw,True,15,True,False
2014-01-22,13.1333333333,Washington Wizards,Boston Celtics,2,34-26,-9,free throw,True,15,True,False
2014-01-22,37.75,Washington Wizards,Boston Celtics,4,81-79,-4,two point shot,True,17,True,False
2014-12-18,11.5333333333,Washington Wizards,Brooklyn Nets,1,30-26,2,two point jumper,False,18,True,True
2014-12-18,11.9833333333,Washington Wizards,Brooklyn Nets,1,30-28,0,two point shot,False,21,False,True
2014-12-18,15.1833333333,Washington Wizards,Brooklyn Nets,2,37-33,2,two point jumper,False,19,False,True
2014-12-18,17.1,Washington Wizards,Brooklyn Nets,2,37-37,-2,two point jumper,False,19,False,True
2014-12-18,18.0666666667,Washington Wizards,Brooklyn Nets,2,41-40,-1,layup,False,0,False,True
2014-12-18,37.0666666667,Washington Wizards,Brooklyn Nets,4,88-79,6,three point jumper,False,23,True,True
2014-11-23,15.0,Washington Wizards,New York Knicks,2,33-35,0,two point shot,True,6,True,True
2014-11-23,15.3833333333,Washington Wizards,New York Knicks,2,35-35,-2,two point jumper,True,1,False,True
2014-11-23,15.7666666667,Washington Wizards,New York Knicks,2,35-37,0,two point shot,True,18,True,True
2014-12-16,36.8333333333,Washington Wizards,New York Knicks,4,77-78,-3,two point jumper,False,1,True,True
2014-01-20,11.6,Washington Wizards,Philadelphia 76ers,1,20-29,7,two point jumper,True,12,False,False
2014-01-20,41.3166666667,Washington Wizards,Philadelphia 76ers,4,78-98,18,two point jumper,True,8,False,False
2014-03-01,46.8,Washington Wizards,Philadelphia 76ers,4,120-99,19,two point jumper,False,1,False,True
2014-11-22,10.2666666667,Washington Wizards,Toronto Raptors,1,24-26,-5,three point jumper,False,23,False,False
2014-11-22,15.9666666667,Washington Wizards,Toronto Raptors,2,27-38,-13,layup,False,0,False,False
2014-11-22,35.1166666667,Washington Wizards,Toronto Raptors,3,70-64,4,two point jumper,False,20,True,False
2014-01-03,36.0,Washington Wizards,Toronto Raptors,3,84-61,-25,two point jumper,True,19,False,True
2014-01-03,46.6333333333,Washington Wizards,Toronto Raptors,4,99-84,-17,two point jumper,True,23,False,True
2014-01-03,47.1166666667,Washington Wizards,Toronto Raptors,4,99-86,-15,layup,True,0,True,True
2014-02-18,35.85,Washington Wizards,Toronto Raptors,3,84-68,-18,two point jumper,True,20,False,True
2014-02-18,36.4666666667,Washington Wizards,Toronto Raptors,4,84-70,-17,three point jumper,True,26,False,True
2014-02-27,62.65,Washington Wizards,Toronto Raptors,7,133-129,3,free throw,False,15,False,True
2014-02-27,62.65,Washington Wizards,Toronto Raptors,7,134-129,4,free throw,False,15,True,True
2014-01-05,11.4833333333,Washington Wizards,Golden State Warriors,1,28-32,3,free throw,True,15,True,True
2014-01-05,11.4833333333,Washington Wizards,Golden State Warriors,1,28-33,4,free throw,True,15,True,True
2014-01-05,13.1166666667,Washington Wizards,Golden State Warriors,2,28-38,8,layup,True,0,False,True
2014-01-05,14.5666666667,Washington Wizards,Golden State Warriors,2,30-40,8,layup,True,0,True,True
2014-01-05,46.05,Washington Wizards,Golden State Warriors,4,108-92,-19,three point jumper,True,26,True,True
2014-01-05,46.4,Washington Wizards,Golden State Warriors,4,110-92,-21,three point jumper,True,26,False,True
2014-01-05,46.85,Washington Wizards,Golden State Warriors,4,110-92,-21,three point jumper,True,27,False,True
2014-01-28,36.95,Washington Wizards,Golden State Warriors,4,69-65,2,two point shot,False,15,False,True
2014-01-28,40.2,Washington Wizards,Golden State Warriors,4,77-74,1,layup,False,0,True,True
2014-01-29,35.4833333333,Washington Wizards,Los Angeles Clippers,3,74-81,-9,two point jumper,False,1,False,False
2014-01-29,37.4333333333,Washington Wizards,Los Angeles Clippers,4,80-81,-3,layup,False,0,True,False
2014-01-29,38.7166666667,Washington Wizards,Los Angeles Clippers,4,82-85,-6,three point jumper,False,24,False,False
2014-01-29,47.9666666667,Washington Wizards,Los Angeles Clippers,4,103-110,-9,layup,False,0,True,False
2014-01-29,47.9666666667,Washington Wizards,Los Angeles Clippers,4,103-110,-8,free throw,False,15,False,False
2014-11-26,9.65,Washington Wizards,Los Angeles Lakers,1,24-27,1,two point jumper,True,21,False,True
2014-11-26,13.8166666667,Washington Wizards,Los Angeles Lakers,2,33-37,1,three point jumper,True,26,False,True
2014-11-26,23.2666666667,Washington Wizards,Los Angeles Lakers,2,52-59,5,layup,True,0,True,True
2014-01-24,11.8333333333,Washington Wizards,Phoenix Suns,1,29-29,-1,free throw,False,15,False,False
2014-01-24,11.8333333333,Washington Wizards,Phoenix Suns,1,30-29,0,free throw,False,15,True,False
2014-01-24,14.0,Washington Wizards,Phoenix Suns,2,32-36,-7,three point jumper,False,24,False,False
2014-01-24,14.8166666667,Washington Wizards,Phoenix Suns,2,34-36,-4,two point jumper,False,1,True,False
2014-01-24,35.15,Washington Wizards,Phoenix Suns,3,80-74,4,two point jumper,False,18,False,False
2014-01-24,35.8333333333,Washington Wizards,Phoenix Suns,3,82-76,4,two point jumper,False,12,False,False
2014-01-24,36.45,Washington Wizards,Phoenix Suns,4,82-76,4,two point jumper,False,22,False,False
2014-02-09,14.7166666667,Washington Wizards,Sacramento Kings,2,26-33,6,free throw,True,15,False,True
2014-02-09,14.7166666667,Washington Wizards,Sacramento Kings,2,26-34,7,free throw,True,15,True,True
2014-02-09,15.7166666667,Washington Wizards,Sacramento Kings,2,26-38,10,two point shot,True,1,True,True
2014-02-09,15.7166666667,Washington Wizards,Sacramento Kings,2,26-39,12,free throw,True,15,True,True
2014-02-09,35.95,Washington Wizards,Sacramento Kings,3,64-75,9,two point jumper,True,14,False,True
2014-02-09,36.3833333333,Washington Wizards,Sacramento Kings,4,64-75,9,layup,True,0,False,True
