date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-11-13,0.816666666667,Charlotte Bobcats,Boston Celtics,1,4-0,2,two point jumper,False,19,True,True
2014-11-13,5.91666666667,Charlotte Bobcats,Boston Celtics,1,18-8,8,two point shot,False,15,False,True
2014-11-13,7.35,Charlotte Bobcats,Boston Celtics,1,22-12,8,two point shot,False,14,True,True
2014-11-13,8.85,Charlotte Bobcats,Boston Celtics,1,22-12,9,free throw,False,15,False,True
2014-11-13,8.85,Charlotte Bobcats,Boston Celtics,1,22-12,9,free throw,False,15,False,True
2014-11-13,9.71666666667,Charlotte Bobcats,Boston Celtics,1,22-14,6,two point jumper,False,17,False,True
2014-11-13,18.8833333333,Charlotte Bobcats,Boston Celtics,2,43-33,8,two point jumper,False,20,False,True
2014-11-13,19.8833333333,Charlotte Bobcats,Boston Celtics,2,43-38,3,two point jumper,False,12,False,True
2014-11-13,20.7166666667,Charlotte Bobcats,Boston Celtics,2,44-39,4,free throw,False,15,True,True
2014-11-13,22.4666666667,Charlotte Bobcats,Boston Celtics,2,45-41,2,two point jumper,False,5,False,True
2014-11-13,25.0666666667,Charlotte Bobcats,Boston Celtics,3,55-45,8,two point jumper,False,19,True,True
2014-11-13,27.3666666667,Charlotte Bobcats,Boston Celtics,3,59-49,8,two point jumper,False,16,False,True
2014-11-13,27.8166666667,Charlotte Bobcats,Boston Celtics,3,61-50,9,two point shot,False,1,True,True
2014-11-13,31.4833333333,Charlotte Bobcats,Boston Celtics,3,65-58,5,two point jumper,False,20,True,True
2014-11-13,33.3,Charlotte Bobcats,Boston Celtics,3,65-61,2,two point jumper,False,12,False,True
2014-11-13,40.3833333333,Charlotte Bobcats,Boston Celtics,4,76-73,1,two point jumper,False,21,False,True
2014-11-13,47.8166666667,Charlotte Bobcats,Boston Celtics,4,88-83,4,free throw,False,15,True,True
2014-11-13,47.8166666667,Charlotte Bobcats,Boston Celtics,4,89-83,5,free throw,False,15,True,True
2014-11-25,1.25,Charlotte Bobcats,Boston Celtics,1,2-2,-2,layup,True,0,True,False
2014-11-25,1.25,Charlotte Bobcats,Boston Celtics,1,2-3,0,free throw,True,15,True,False
2014-11-25,2.2,Charlotte Bobcats,Boston Celtics,1,4-3,-3,two point jumper,True,20,False,False
2014-11-25,4.25,Charlotte Bobcats,Boston Celtics,1,4-9,3,layup,True,0,True,False
2014-11-25,6.98333333333,Charlotte Bobcats,Boston Celtics,1,5-11,4,two point jumper,True,16,False,False
2014-11-25,19.25,Charlotte Bobcats,Boston Celtics,2,35-29,-8,two point jumper,True,15,False,False
2014-11-25,19.6333333333,Charlotte Bobcats,Boston Celtics,2,35-30,-6,free throw,True,15,True,False
2014-11-25,19.6333333333,Charlotte Bobcats,Boston Celtics,2,35-31,-5,free throw,True,15,True,False
2014-11-25,21.15,Charlotte Bobcats,Boston Celtics,2,41-33,-10,layup,True,0,False,False
2014-11-25,21.75,Charlotte Bobcats,Boston Celtics,2,41-37,-6,layup,True,0,True,False
2014-11-25,23.1666666667,Charlotte Bobcats,Boston Celtics,2,44-37,-9,two point jumper,True,16,False,False
2014-11-25,24.0,Charlotte Bobcats,Boston Celtics,2,47-38,-12,three point jumper,True,47,False,False
2014-11-25,24.95,Charlotte Bobcats,Boston Celtics,3,49-40,-11,two point shot,True,1,True,False
2014-11-25,25.9666666667,Charlotte Bobcats,Boston Celtics,3,52-43,-10,free throw,True,15,True,False
2014-11-25,25.9666666667,Charlotte Bobcats,Boston Celtics,3,52-44,-9,free throw,True,15,True,False
2014-11-25,27.5666666667,Charlotte Bobcats,Boston Celtics,3,56-46,-13,three point jumper,True,27,False,False
2014-11-25,29.45,Charlotte Bobcats,Boston Celtics,3,56-50,-8,two point jumper,True,1,False,False
2014-11-25,30.6333333333,Charlotte Bobcats,Boston Celtics,3,58-54,-6,layup,True,0,True,False
2014-11-25,30.6333333333,Charlotte Bobcats,Boston Celtics,3,58-55,-4,free throw,True,15,True,False
2014-11-25,31.4833333333,Charlotte Bobcats,Boston Celtics,3,60-57,-5,two point jumper,True,7,True,False
2014-11-25,32.9,Charlotte Bobcats,Boston Celtics,3,64-59,-7,two point jumper,True,17,False,False
2014-11-25,40.75,Charlotte Bobcats,Boston Celtics,4,80-73,-9,two point jumper,True,16,True,False
2014-11-25,43.9833333333,Charlotte Bobcats,Boston Celtics,4,86-76,-12,two point jumper,True,18,False,False
2014-11-20,2.71666666667,Charlotte Bobcats,Brooklyn Nets,1,7-5,-4,two point jumper,True,18,False,True
2014-11-20,4.03333333333,Charlotte Bobcats,Brooklyn Nets,1,10-5,-7,layup,True,0,False,True
2014-11-20,7.5,Charlotte Bobcats,Brooklyn Nets,1,16-18,-1,three point jumper,True,23,True,True
2014-11-20,8.0,Charlotte Bobcats,Brooklyn Nets,1,18-18,-1,free throw,True,15,False,True
2014-11-20,8.0,Charlotte Bobcats,Brooklyn Nets,1,18-19,0,free throw,True,15,True,True
2014-11-20,18.2833333333,Charlotte Bobcats,Brooklyn Nets,2,39-40,-2,three point jumper,True,25,False,True
2014-11-20,20.5166666667,Charlotte Bobcats,Brooklyn Nets,2,41-43,1,free throw,True,15,True,True
2014-11-20,20.5166666667,Charlotte Bobcats,Brooklyn Nets,2,41-44,2,free throw,True,15,True,True
2014-11-20,21.7,Charlotte Bobcats,Brooklyn Nets,2,44-49,3,two point shot,True,16,True,True
2014-11-20,28.4166666667,Charlotte Bobcats,Brooklyn Nets,3,54-66,10,two point jumper,True,14,False,True
2014-11-20,29.8833333333,Charlotte Bobcats,Brooklyn Nets,3,57-68,9,two point jumper,True,17,False,True
2014-11-20,31.7333333333,Charlotte Bobcats,Brooklyn Nets,3,62-70,6,two point jumper,True,1,True,True
2014-11-20,32.0,Charlotte Bobcats,Brooklyn Nets,3,62-71,8,free throw,True,15,True,True
2014-11-20,32.2,Charlotte Bobcats,Brooklyn Nets,3,62-71,7,two point jumper,True,21,False,True
2014-11-20,41.0666666667,Charlotte Bobcats,Brooklyn Nets,4,78-87,7,two point jumper,True,18,False,True
2014-11-20,44.2666666667,Charlotte Bobcats,Brooklyn Nets,4,83-93,8,two point jumper,True,16,True,True
2014-11-20,46.1,Charlotte Bobcats,Brooklyn Nets,4,85-93,6,two point jumper,True,12,False,True
2014-02-12,3.75,Charlotte Bobcats,Brooklyn Nets,1,6-7,-3,two point jumper,False,17,True,True
2014-02-12,4.85,Charlotte Bobcats,Brooklyn Nets,1,9-7,-1,three point jumper,False,24,True,True
2014-02-12,6.95,Charlotte Bobcats,Brooklyn Nets,1,12-17,-7,two point shot,False,16,False,True
2014-02-12,17.0666666667,Charlotte Bobcats,Brooklyn Nets,2,33-38,-7,two point jumper,False,18,False,True
2014-02-12,19.85,Charlotte Bobcats,Brooklyn Nets,2,36-42,-8,two point jumper,False,15,False,True
2014-02-12,21.8333333333,Charlotte Bobcats,Brooklyn Nets,2,39-46,-9,two point jumper,False,17,False,True
2014-02-12,23.85,Charlotte Bobcats,Brooklyn Nets,2,42-50,-9,free throw,False,15,False,True
