date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-11-01,13.15,Milwaukee Bucks,Boston Celtics,2,20-35,-17,two point shot,False,1,True,False
2014-11-01,33.75,Milwaukee Bucks,Boston Celtics,3,64-80,-18,two point shot,False,1,True,False
2014-11-01,35.6166666667,Milwaukee Bucks,Boston Celtics,3,68-83,-18,three point jumper,False,25,False,False
2014-11-01,38.1333333333,Milwaukee Bucks,Boston Celtics,4,76-87,-12,free throw,False,15,False,False
2014-11-01,38.1333333333,Milwaukee Bucks,Boston Celtics,4,77-87,-11,free throw,False,15,True,False
2014-11-01,40.0333333333,Milwaukee Bucks,Boston Celtics,4,82-90,-10,two point shot,False,1,False,False
2014-11-30,10.7166666667,Milwaukee Bucks,Boston Celtics,1,27-19,-11,three point jumper,True,26,True,True
2014-11-30,12.5833333333,Milwaukee Bucks,Boston Celtics,2,27-21,-8,dunk,True,0,True,True
2014-11-30,18.95,Milwaukee Bucks,Boston Celtics,2,33-39,4,layup,True,0,False,True
2014-11-30,20.2166666667,Milwaukee Bucks,Boston Celtics,2,35-41,5,free throw,True,15,False,True
2014-11-30,20.2166666667,Milwaukee Bucks,Boston Celtics,2,35-41,5,free throw,True,15,False,True
2014-11-30,34.8333333333,Milwaukee Bucks,Boston Celtics,3,61-68,4,three point jumper,True,26,True,True
2014-11-30,35.3333333333,Milwaukee Bucks,Boston Celtics,3,61-70,7,dunk,True,0,True,True
2014-11-30,40.35,Milwaukee Bucks,Boston Celtics,4,63-78,12,three point jumper,True,27,False,True
2014-12-03,36.4,Milwaukee Bucks,Boston Celtics,4,65-69,-6,two point shot,False,1,True,False
2014-12-03,39.3,Milwaukee Bucks,Boston Celtics,4,71-79,-10,layup,False,0,True,False
2014-02-10,9.25,Milwaukee Bucks,Boston Celtics,1,17-18,-2,three point jumper,True,25,False,True
2014-02-10,10.9666666667,Milwaukee Bucks,Boston Celtics,1,24-22,-4,two point jumper,True,1,False,True
2014-02-10,13.2,Milwaukee Bucks,Boston Celtics,2,26-29,0,three point jumper,True,25,True,True
2014-02-10,14.9,Milwaukee Bucks,Boston Celtics,2,30-33,2,free throw,True,15,True,True
2014-02-10,14.9,Milwaukee Bucks,Boston Celtics,2,30-33,2,free throw,True,15,False,True
2014-02-10,36.3166666667,Milwaukee Bucks,Boston Celtics,4,70-68,-4,layup,True,0,False,True
2014-02-10,37.8166666667,Milwaukee Bucks,Boston Celtics,4,76-69,-9,two point jumper,True,21,False,True
2014-12-07,8.21666666667,Milwaukee Bucks,Brooklyn Nets,1,14-10,-7,three point jumper,True,24,False,False
2014-12-07,9.15,Milwaukee Bucks,Brooklyn Nets,1,14-12,-5,three point jumper,True,25,False,False
2014-12-07,11.9666666667,Milwaukee Bucks,Brooklyn Nets,1,20-18,-4,layup,True,0,True,False
2014-12-07,36.7166666667,Milwaukee Bucks,Brooklyn Nets,4,68-60,-9,free throw,True,15,True,False
2014-12-07,36.7166666667,Milwaukee Bucks,Brooklyn Nets,4,68-60,-9,free throw,True,15,False,False
2014-12-27,0.716666666667,Milwaukee Bucks,Brooklyn Nets,1,0-0,-3,three point jumper,False,27,False,True
2014-12-27,4.78333333333,Milwaukee Bucks,Brooklyn Nets,1,6-11,-7,two point shot,False,1,True,True
2014-12-27,19.6666666667,Milwaukee Bucks,Brooklyn Nets,2,27-44,-20,three point jumper,False,24,False,True
2014-12-27,25.45,Milwaukee Bucks,Brooklyn Nets,3,40-50,-11,free throw,False,15,True,True
2014-12-27,25.45,Milwaukee Bucks,Brooklyn Nets,3,40-50,-11,free throw,False,15,False,True
2014-12-27,27.7166666667,Milwaukee Bucks,Brooklyn Nets,3,45-57,-14,dunk,False,0,True,True
2014-12-27,29.85,Milwaukee Bucks,Brooklyn Nets,3,45-60,-18,three point jumper,False,25,False,True
2014-12-27,32.2,Milwaukee Bucks,Brooklyn Nets,3,51-62,-12,free throw,False,15,True,True
2014-12-27,32.2,Milwaukee Bucks,Brooklyn Nets,3,52-62,-11,free throw,False,15,True,True
2014-12-27,35.1,Milwaukee Bucks,Brooklyn Nets,3,56-74,-20,two point jumper,False,6,False,True
2014-12-27,35.2166666667,Milwaukee Bucks,Brooklyn Nets,3,58-74,-18,dunk,False,0,True,True
2014-12-27,42.2333333333,Milwaukee Bucks,Brooklyn Nets,4,79-92,-15,two point jumper,False,10,True,True
2014-12-27,43.8833333333,Milwaukee Bucks,Brooklyn Nets,4,81-95,-16,layup,False,0,False,True
2014-12-27,44.5333333333,Milwaukee Bucks,Brooklyn Nets,4,86-97,-14,three point jumper,False,26,True,True
2014-12-27,44.9666666667,Milwaukee Bucks,Brooklyn Nets,4,87-97,-11,free throw,False,15,True,True
2014-12-27,44.9666666667,Milwaukee Bucks,Brooklyn Nets,4,88-97,-10,free throw,False,15,True,True
2014-12-27,47.4166666667,Milwaukee Bucks,Brooklyn Nets,4,88-100,-15,three point jumper,False,24,False,True
2014-03-01,8.8,Milwaukee Bucks,Brooklyn Nets,1,23-22,-4,three point jumper,True,25,True,True
2014-03-01,11.1833333333,Milwaukee Bucks,Brooklyn Nets,1,27-26,-3,layup,True,0,False,True
2014-03-01,11.2166666667,Milwaukee Bucks,Brooklyn Nets,1,27-26,-3,tip shot,True,0,False,True
2014-03-01,14.0833333333,Milwaukee Bucks,Brooklyn Nets,2,37-34,-4,free throw,True,15,False,True
2014-03-01,14.0833333333,Milwaukee Bucks,Brooklyn Nets,2,37-35,-3,free throw,True,15,True,True
2014-03-01,14.0833333333,Milwaukee Bucks,Brooklyn Nets,2,37-36,-2,free throw,True,15,True,True
2014-03-01,15.5166666667,Milwaukee Bucks,Brooklyn Nets,2,40-38,-3,free throw,True,15,False,True
2014-03-01,15.5166666667,Milwaukee Bucks,Brooklyn Nets,2,40-38,-3,free throw,True,15,False,True
2014-03-01,36.6333333333,Milwaukee Bucks,Brooklyn Nets,4,79-72,-10,three point jumper,True,23,False,True
2014-03-01,37.1833333333,Milwaukee Bucks,Brooklyn Nets,4,81-72,-11,two point jumper,True,8,False,True
2014-03-01,41.8166666667,Milwaukee Bucks,Brooklyn Nets,4,89-83,-8,dunk,True,0,True,True
2014-03-01,42.95,Milwaukee Bucks,Brooklyn Nets,4,89-84,-6,free throw,True,15,True,True
2014-03-01,42.95,Milwaukee Bucks,Brooklyn Nets,4,89-85,-5,free throw,True,15,True,True
2014-03-01,44.9166666667,Milwaukee Bucks,Brooklyn Nets,4,97-90,-8,free throw,True,15,False,True
2014-03-01,44.9166666667,Milwaukee Bucks,Brooklyn Nets,4,97-91,-7,free throw,True,15,True,True
2014-03-01,47.9666666667,Milwaukee Bucks,Brooklyn Nets,4,107-98,-11,two point jumper,True,21,True,True
2014-10-30,10.8833333333,Milwaukee Bucks,New York Knicks,1,15-19,-5,free throw,False,15,False,False
2014-10-30,10.8833333333,Milwaukee Bucks,New York Knicks,1,16-19,-4,free throw,False,15,True,False
2014-12-18,16.45,Milwaukee Bucks,New York Knicks,2,35-29,-8,two point jumper,True,1,False,False
2014-12-18,19.8833333333,Milwaukee Bucks,New York Knicks,2,42-35,-9,dunk,True,0,True,False
2014-12-18,26.5,Milwaukee Bucks,New York Knicks,3,45-48,2,free throw,True,15,True,False
2014-12-18,26.5,Milwaukee Bucks,New York Knicks,3,45-49,3,free throw,True,15,True,False
2014-12-18,28.1333333333,Milwaukee Bucks,New York Knicks,3,50-50,-1,free throw,True,15,True,False
2014-12-18,28.1333333333,Milwaukee Bucks,New York Knicks,3,50-50,-1,free throw,True,15,False,False
2014-12-18,30.1666666667,Milwaukee Bucks,New York Knicks,3,57-58,-1,dunk,True,0,True,False
2014-12-18,30.1666666667,Milwaukee Bucks,New York Knicks,3,57-59,1,free throw,True,15,True,False
2014-12-18,57.6333333333,Milwaukee Bucks,New York Knicks,6,106-100,-7,free throw,True,15,True,False
2014-12-18,57.6333333333,Milwaukee Bucks,New York Knicks,6,106-101,-6,free throw,True,15,True,False
2014-02-03,10.5833333333,Milwaukee Bucks,New York Knicks,1,18-15,-5,layup,True,0,False,False
2014-02-03,12.0,Milwaukee Bucks,New York Knicks,1,19-18,-2,free throw,True,15,True,False
2014-02-03,12.0,Milwaukee Bucks,New York Knicks,1,19-18,-2,free throw,True,15,False,False
2014-02-03,13.0666666667,Milwaukee Bucks,New York Knicks,2,23-18,-7,two point jumper,True,17,False,False
2014-02-03,13.65,Milwaukee Bucks,New York Knicks,2,23-20,-5,two point jumper,True,12,True,False
2014-02-03,14.3833333333,Milwaukee Bucks,New York Knicks,2,26-22,-6,layup,True,0,True,False
2014-02-03,17.7833333333,Milwaukee Bucks,New York Knicks,2,31-29,-4,two point shot,True,1,False,False
2014-02-03,34.5,Milwaukee Bucks,New York Knicks,3,62-69,6,free throw,True,15,False,False
2014-02-03,34.5,Milwaukee Bucks,New York Knicks,3,62-70,7,free throw,True,15,True,False
2014-02-03,35.9833333333,Milwaukee Bucks,New York Knicks,3,69-74,4,free throw,True,15,False,False
2014-02-03,35.9833333333,Milwaukee Bucks,New York Knicks,3,69-75,5,free throw,True,15,True,False
2014-02-03,37.8666666667,Milwaukee Bucks,New York Knicks,4,71-76,4,free throw,True,15,True,False
2014-02-03,37.8666666667,Milwaukee Bucks,New York Knicks,4,71-77,5,free throw,True,15,True,False
2014-02-03,38.6166666667,Milwaukee Bucks,New York Knicks,4,71-81,8,dunk,True,0,True,False
2014-02-03,41.1,Milwaukee Bucks,New York Knicks,4,78-83,3,layup,True,0,False,False
2014-02-03,42.7833333333,Milwaukee Bucks,New York Knicks,4,82-85,1,layup,True,0,True,False
2014-02-03,44.7,Milwaukee Bucks,New York Knicks,4,87-89,0,two point shot,True,1,True,False
2014-12-21,0.633333333333,Milwaukee Bucks,Philadelphia 76ers,1,0-0,-2,layup,True,0,False,True
2014-12-21,4.0,Milwaukee Bucks,Philadelphia 76ers,1,6-8,0,layup,True,0,False,True
2014-12-21,5.16666666667,Milwaukee Bucks,Philadelphia 76ers,1,11-10,-3,two point jumper,True,20,False,True
2014-12-21,8.43333333333,Milwaukee Bucks,Philadelphia 76ers,1,16-18,1,free throw,True,15,True,True
2014-12-21,8.43333333333,Milwaukee Bucks,Philadelphia 76ers,1,16-19,2,free throw,True,15,True,True
2014-12-21,11.3333333333,Milwaukee Bucks,Philadelphia 76ers,1,21-25,2,layup,True,0,True,True
2014-12-21,21.3333333333,Milwaukee Bucks,Philadelphia 76ers,2,42-53,10,free throw,True,15,True,True
2014-12-21,21.3333333333,Milwaukee Bucks,Philadelphia 76ers,2,42-54,11,free throw,True,15,True,True
2014-12-21,29.95,Milwaukee Bucks,Philadelphia 76ers,3,65-75,8,dunk,True,0,True,True
2014-12-21,41.75,Milwaukee Bucks,Philadelphia 76ers,4,88-100,10,two point shot,True,1,True,True
2014-12-21,45.6,Milwaukee Bucks,Philadelphia 76ers,4,93-104,9,two point jumper,True,5,False,True
2014-12-21,47.15,Milwaukee Bucks,Philadelphia 76ers,4,99-107,7,free throw,True,15,True,True
2014-12-21,47.15,Milwaukee Bucks,Philadelphia 76ers,4,99-108,8,free throw,True,15,True,True
