date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-01-05,46.8833333333,Oklahoma City Thunder,Boston Celtics,4,96-119,21,two point jumper,True,12,True,False
2014-01-31,47.1666666667,Oklahoma City Thunder,Brooklyn Nets,4,120-93,25,two point jumper,False,1,True,False
2014-11-13,11.05,Oklahoma City Thunder,Los Angeles Clippers,1,26-21,3,two point jumper,False,1,False,False
2014-11-13,11.2,Oklahoma City Thunder,Los Angeles Clippers,1,28-23,3,layup,False,0,True,False
2014-11-13,13.9333333333,Oklahoma City Thunder,Los Angeles Clippers,2,35-30,3,tip shot,False,0,False,False
2014-11-13,15.8166666667,Oklahoma City Thunder,Los Angeles Clippers,2,40-31,7,layup,False,0,True,False
2014-11-13,15.8166666667,Oklahoma City Thunder,Los Angeles Clippers,2,40-31,8,free throw,False,15,False,False
2014-12-13,47.7333333333,Oklahoma City Thunder,Los Angeles Lakers,4,97-122,23,two point shot,True,1,True,False
2014-02-28,9.7,Oklahoma City Thunder,Memphis Grizzlies,1,18-23,4,free throw,True,15,False,True
2014-02-28,9.7,Oklahoma City Thunder,Memphis Grizzlies,1,18-23,4,free throw,True,15,False,True
2014-02-28,15.2166666667,Oklahoma City Thunder,Memphis Grizzlies,2,26-33,5,two point shot,True,12,False,True
2014-02-28,36.8,Oklahoma City Thunder,Memphis Grizzlies,4,73-89,14,layup,True,0,True,True
