date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-11-16,11.9666666667,Minnesota Timberwolves,Boston Celtics,1,24-33,7,layup,True,0,True,False
2014-11-16,13.6333333333,Minnesota Timberwolves,Boston Celtics,2,26-35,7,layup,True,0,True,False
2014-11-16,14.45,Minnesota Timberwolves,Boston Celtics,2,26-39,11,two point jumper,True,13,True,False
2014-11-16,15.6166666667,Minnesota Timberwolves,Boston Celtics,2,26-39,11,two point jumper,True,20,False,False
2014-11-16,16.1666666667,Minnesota Timberwolves,Boston Celtics,2,26-41,13,two point shot,True,7,False,False
2014-11-16,16.85,Minnesota Timberwolves,Boston Celtics,2,28-43,13,layup,True,0,False,False
2014-11-16,19.3833333333,Minnesota Timberwolves,Boston Celtics,2,38-50,9,three point jumper,True,25,True,False
2014-11-16,19.9833333333,Minnesota Timberwolves,Boston Celtics,2,40-50,7,three point jumper,True,25,False,False
2014-11-16,36.0,Minnesota Timberwolves,Boston Celtics,3,70-89,17,layup,True,0,False,False
2014-11-16,37.05,Minnesota Timberwolves,Boston Celtics,4,74-91,14,three point jumper,True,25,False,False
2014-11-16,38.95,Minnesota Timberwolves,Boston Celtics,4,78-93,13,layup,True,0,True,False
2014-11-16,40.8833333333,Minnesota Timberwolves,Boston Celtics,4,80-98,16,layup,True,0,True,False
2014-11-16,42.4833333333,Minnesota Timberwolves,Boston Celtics,4,80-98,15,three point jumper,True,26,False,False
2014-12-16,11.8166666667,Minnesota Timberwolves,Boston Celtics,1,21-27,-8,two point shot,False,3,True,True
2014-12-16,13.5833333333,Minnesota Timberwolves,Boston Celtics,2,23-29,-8,two point shot,False,17,False,True
2014-12-16,17.0666666667,Minnesota Timberwolves,Boston Celtics,2,31-38,-9,unknown,False,7,False,True
2014-12-16,19.85,Minnesota Timberwolves,Boston Celtics,2,41-42,-4,three point jumper,False,25,True,True
2014-12-16,22.7666666667,Minnesota Timberwolves,Boston Celtics,2,45-46,-3,layup,False,0,False,True
2014-12-16,39.15,Minnesota Timberwolves,Boston Celtics,4,75-78,-5,layup,False,0,True,True
2014-12-16,40.0,Minnesota Timberwolves,Boston Celtics,4,78-81,-6,three point jumper,False,26,True,True
2014-12-16,42.95,Minnesota Timberwolves,Boston Celtics,4,84-86,-4,layup,False,0,False,True
2014-12-16,44.0,Minnesota Timberwolves,Boston Celtics,4,89-90,-4,three point jumper,False,25,False,True
