date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-11-06,22.55,Utah Jazz,Boston Celtics,2,32-46,-17,three point jumper,False,25,False,False
2014-11-05,0.616666666667,Utah Jazz,Brooklyn Nets,1,0-0,-3,three point jumper,False,25,False,True
2014-11-05,3.81666666667,Utah Jazz,Brooklyn Nets,1,2-8,-9,three point jumper,False,23,False,True
2014-11-05,25.0166666667,Utah Jazz,Brooklyn Nets,3,41-56,-18,three point jumper,False,25,False,True
2014-11-05,28.1666666667,Utah Jazz,Brooklyn Nets,3,47-66,-22,three point jumper,False,25,False,True
2014-11-05,29.25,Utah Jazz,Brooklyn Nets,3,52-70,-21,three point jumper,False,24,True,True
2014-11-01,12.4,Utah Jazz,Phoenix Suns,2,25-29,-6,two point jumper,False,10,True,False
2014-11-01,16.6,Utah Jazz,Phoenix Suns,2,34-31,1,two point shot,False,1,True,False
2014-11-01,38.25,Utah Jazz,Phoenix Suns,4,64-68,-7,three point jumper,False,25,False,False
2014-11-08,2.45,Utah Jazz,Chicago Bulls,1,5-9,-7,three point jumper,False,25,False,False
2014-11-08,6.73333333333,Utah Jazz,Chicago Bulls,1,13-20,-9,two point jumper,False,15,True,False
2014-11-08,26.95,Utah Jazz,Chicago Bulls,3,44-59,-18,three point jumper,False,25,False,False
2014-11-02,7.35,Utah Jazz,Houston Rockets,1,9-14,2,three point jumper,True,25,False,True
2014-11-02,24.6166666667,Utah Jazz,Houston Rockets,3,42-56,11,three point jumper,True,25,False,True
2014-11-11,35.9166666667,Utah Jazz,Denver Nuggets,3,70-68,-5,three point jumper,True,25,False,True
2014-10-30,35.3,Utah Jazz,Oklahoma City Thunder,3,81-71,-13,three point jumper,True,25,False,True
2014-10-30,36.3166666667,Utah Jazz,Oklahoma City Thunder,4,81-73,-11,three point jumper,True,23,False,True
2014-10-30,38.95,Utah Jazz,Oklahoma City Thunder,4,86-80,-9,three point jumper,True,25,False,True
