date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-12-11,3.95,Los Angeles Clippers,Boston Celtics,1,8-9,-3,two point jumper,False,22,True,True
2014-12-11,6.1,Los Angeles Clippers,Boston Celtics,1,10-13,-5,layup,False,0,False,True
2014-12-11,19.95,Los Angeles Clippers,Boston Celtics,2,33-36,-5,two point jumper,False,20,False,True
2014-12-11,28.2833333333,Los Angeles Clippers,Boston Celtics,3,53-49,2,two point jumper,False,13,True,True
2014-12-11,30.35,Los Angeles Clippers,Boston Celtics,3,55-57,-5,three point jumper,False,23,False,True
2014-12-11,33.4833333333,Los Angeles Clippers,Boston Celtics,3,58-61,-6,three point jumper,False,23,False,True
2014-12-11,35.9833333333,Los Angeles Clippers,Boston Celtics,3,66-64,0,layup,False,0,False,True
2014-12-11,43.0,Los Angeles Clippers,Boston Celtics,4,82-75,6,free throw,False,15,True,True
2014-12-11,43.0,Los Angeles Clippers,Boston Celtics,4,83-75,7,free throw,False,15,True,True
2014-12-11,47.1833333333,Los Angeles Clippers,Boston Celtics,4,96-86,7,three point jumper,False,25,True,True
2014-01-08,2.63333333333,Los Angeles Clippers,Boston Celtics,1,6-4,-4,two point jumper,True,19,False,True
2014-01-08,3.95,Los Angeles Clippers,Boston Celtics,1,8-8,-2,layup,True,0,False,True
2014-01-08,5.38333333333,Los Angeles Clippers,Boston Celtics,1,10-15,2,three point jumper,True,25,True,True
2014-01-08,6.85,Los Angeles Clippers,Boston Celtics,1,10-19,7,two point shot,True,14,True,True
2014-01-08,17.5,Los Angeles Clippers,Boston Celtics,2,33-42,6,three point jumper,True,24,True,True
2014-01-08,17.9166666667,Los Angeles Clippers,Boston Celtics,2,35-45,7,three point jumper,True,25,True,True
2014-01-08,18.5333333333,Los Angeles Clippers,Boston Celtics,2,38-48,7,three point jumper,True,24,True,True
2014-01-08,19.7333333333,Los Angeles Clippers,Boston Celtics,2,42-49,4,three point jumper,True,25,False,True
2014-01-08,20.7166666667,Los Angeles Clippers,Boston Celtics,2,42-53,9,two point jumper,True,18,True,True
2014-01-08,21.6833333333,Los Angeles Clippers,Boston Celtics,2,46-53,4,three point jumper,True,25,False,True
2014-01-08,32.4,Los Angeles Clippers,Boston Celtics,3,72-79,5,two point shot,True,10,True,True
2014-01-08,47.7333333333,Los Angeles Clippers,Boston Celtics,4,105-109,3,free throw,True,15,False,True
2014-01-08,47.7333333333,Los Angeles Clippers,Boston Celtics,4,105-109,3,free throw,True,15,False,True
2014-11-16,0.816666666667,Los Angeles Clippers,Brooklyn Nets,1,2-0,-5,three point jumper,True,24,False,True
2014-11-16,8.0,Los Angeles Clippers,Brooklyn Nets,1,13-19,3,three point jumper,True,25,False,True
2014-11-16,18.6333333333,Los Angeles Clippers,Brooklyn Nets,2,44-40,-7,three point jumper,True,23,False,True
2014-11-16,25.0166666667,Los Angeles Clippers,Brooklyn Nets,3,55-54,-4,three point jumper,True,25,False,True
2014-11-16,25.7166666667,Los Angeles Clippers,Brooklyn Nets,3,57-54,-5,two point jumper,True,22,False,True
2014-11-16,28.2166666667,Los Angeles Clippers,Brooklyn Nets,3,65-54,-13,two point jumper,True,1,False,True
2014-12-12,8.53333333333,Los Angeles Clippers,Brooklyn Nets,1,23-10,10,three point jumper,False,23,True,True
2014-12-12,9.18333333333,Los Angeles Clippers,Brooklyn Nets,1,24-12,9,three point jumper,False,24,False,True
2014-12-12,10.1333333333,Los Angeles Clippers,Brooklyn Nets,1,24-12,10,two point jumper,False,16,False,True
2014-12-12,18.5333333333,Los Angeles Clippers,Brooklyn Nets,2,35-37,-4,two point jumper,False,17,False,True
2014-12-12,25.0,Los Angeles Clippers,Brooklyn Nets,3,46-56,-13,three point jumper,False,26,False,True
2014-12-12,26.95,Los Angeles Clippers,Brooklyn Nets,3,51-63,-15,three point jumper,False,25,False,True
2014-12-12,27.45,Los Angeles Clippers,Brooklyn Nets,3,51-65,-16,two point jumper,False,21,False,True
2014-12-12,34.3,Los Angeles Clippers,Brooklyn Nets,3,60-77,-18,free throw,False,15,False,True
2014-12-12,34.3,Los Angeles Clippers,Brooklyn Nets,3,61-77,-17,free throw,False,15,True,True
2014-11-27,1.75,Los Angeles Clippers,New York Knicks,1,4-4,-2,two point jumper,True,18,True,True
2014-11-27,3.13333333333,Los Angeles Clippers,New York Knicks,1,8-4,-7,three point jumper,True,24,False,True
2014-11-27,17.8166666667,Los Angeles Clippers,New York Knicks,2,32-40,5,three point jumper,True,26,False,True
2014-11-27,19.5666666667,Los Angeles Clippers,New York Knicks,2,38-40,-1,three point jumper,True,26,False,True
2014-11-27,21.0333333333,Los Angeles Clippers,New York Knicks,2,42-41,-4,three point jumper,True,23,False,True
2014-11-27,27.3333333333,Los Angeles Clippers,New York Knicks,3,50-54,2,layup,True,0,False,True
2014-11-27,28.6666666667,Los Angeles Clippers,New York Knicks,3,55-59,1,three point jumper,True,26,False,True
2014-11-27,42.5333333333,Los Angeles Clippers,New York Knicks,4,74-88,11,three point jumper,True,25,True,True
2014-01-17,3.58333333333,Los Angeles Clippers,New York Knicks,1,7-8,-3,two point jumper,False,19,False,False
2014-01-17,7.38333333333,Los Angeles Clippers,New York Knicks,1,12-17,-8,three point jumper,False,23,False,False
2014-01-17,40.5666666667,Los Angeles Clippers,New York Knicks,4,93-75,15,three point jumper,False,23,True,False
2014-01-17,44.6666666667,Los Angeles Clippers,New York Knicks,4,101-86,12,three point jumper,False,26,False,False
2014-12-09,0.5,Los Angeles Clippers,Philadelphia 76ers,1,0-0,-2,tip shot,False,0,False,True
2014-12-09,3.83333333333,Los Angeles Clippers,Philadelphia 76ers,1,7-6,-2,three point jumper,False,26,False,True
2014-12-09,4.95,Los Angeles Clippers,Philadelphia 76ers,1,9-8,-1,two point jumper,False,15,False,True
2014-12-09,12.4333333333,Los Angeles Clippers,Philadelphia 76ers,2,23-17,3,three point jumper,False,23,False,True
2014-12-09,16.85,Los Angeles Clippers,Philadelphia 76ers,2,33-23,8,two point jumper,False,20,False,True
2014-12-09,18.85,Los Angeles Clippers,Philadelphia 76ers,2,33-28,2,three point jumper,False,24,False,True
2014-12-09,21.5666666667,Los Angeles Clippers,Philadelphia 76ers,2,39-32,5,two point jumper,False,1,True,True
2014-12-09,22.2333333333,Los Angeles Clippers,Philadelphia 76ers,2,39-34,3,two point jumper,False,1,False,True
2014-12-09,25.3166666667,Los Angeles Clippers,Philadelphia 76ers,3,48-36,10,two point shot,False,19,True,True
2014-12-09,25.8333333333,Los Angeles Clippers,Philadelphia 76ers,3,51-36,12,three point jumper,False,23,True,True
2014-12-09,29.5,Los Angeles Clippers,Philadelphia 76ers,3,63-44,16,three point jumper,False,27,False,True
2014-12-09,30.35,Los Angeles Clippers,Philadelphia 76ers,3,63-47,13,three point jumper,False,23,False,True
2014-12-09,38.5666666667,Los Angeles Clippers,Philadelphia 76ers,4,78-64,11,three point jumper,False,24,False,True
2014-12-09,40.0333333333,Los Angeles Clippers,Philadelphia 76ers,4,80-71,6,three point jumper,False,23,False,True
2014-12-09,41.45,Los Angeles Clippers,Philadelphia 76ers,4,82-73,7,layup,False,0,True,True
2014-12-09,41.45,Los Angeles Clippers,Philadelphia 76ers,4,83-73,9,free throw,False,15,True,True
2014-02-09,11.5,Los Angeles Clippers,Philadelphia 76ers,1,15-43,25,three point jumper,True,24,True,False
2014-02-09,13.5666666667,Los Angeles Clippers,Philadelphia 76ers,2,15-52,34,three point jumper,True,25,False,False
2014-02-09,16.5666666667,Los Angeles Clippers,Philadelphia 76ers,2,19-58,37,two point jumper,True,21,True,False
2014-02-09,18.1333333333,Los Angeles Clippers,Philadelphia 76ers,2,21-58,35,two point jumper,True,22,False,False
