date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-11-13,11.9333333333,Charlotte Bobcats,Boston Celtics,1,27-18,7,dunk,False,0,True,True
2014-11-13,12.5166666667,Charlotte Bobcats,Boston Celtics,2,28-21,6,free throw,False,15,True,True
2014-11-13,12.5166666667,Charlotte Bobcats,Boston Celtics,2,29-21,7,free throw,False,15,True,True
2014-11-13,14.0,Charlotte Bobcats,Boston Celtics,2,29-23,4,layup,False,0,False,True
2014-11-13,14.45,Charlotte Bobcats,Boston Celtics,2,33-23,8,two point shot,False,1,True,True
2014-11-13,15.8833333333,Charlotte Bobcats,Boston Celtics,2,38-23,14,free throw,False,15,True,True
2014-11-13,15.8833333333,Charlotte Bobcats,Boston Celtics,2,39-23,15,free throw,False,15,True,True
2014-11-13,17.95,Charlotte Bobcats,Boston Celtics,2,43-31,10,layup,False,0,False,True
2014-11-13,18.1,Charlotte Bobcats,Boston Celtics,2,43-31,9,three point jumper,False,24,False,True
2014-11-13,19.4833333333,Charlotte Bobcats,Boston Celtics,2,43-35,6,dunk,False,0,False,True
2014-11-13,35.4166666667,Charlotte Bobcats,Boston Celtics,3,71-64,5,dunk,False,0,True,True
2014-11-13,37.8333333333,Charlotte Bobcats,Boston Celtics,4,75-66,7,two point jumper,False,19,True,True
2014-11-25,7.2,Charlotte Bobcats,Boston Celtics,1,5-11,3,three point jumper,True,25,False,False
2014-11-25,9.03333333333,Charlotte Bobcats,Boston Celtics,1,10-18,6,two point jumper,True,16,True,False
2014-11-25,33.95,Charlotte Bobcats,Boston Celtics,3,64-62,-5,three point jumper,True,24,True,False
2014-11-25,34.9333333333,Charlotte Bobcats,Boston Celtics,3,66-66,-2,dunk,True,0,True,False
2014-11-25,36.6333333333,Charlotte Bobcats,Boston Celtics,4,68-66,-4,two point jumper,True,14,False,False
2014-11-20,38.6833333333,Charlotte Bobcats,Brooklyn Nets,4,73-87,12,two point shot,True,1,False,True
2014-11-20,39.95,Charlotte Bobcats,Brooklyn Nets,4,76-87,9,two point jumper,True,11,False,True
2014-11-08,8.4,Charlotte Bobcats,New York Knicks,1,14-16,0,two point jumper,True,6,False,True
