date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-01-17,0.866666666667,Los Angeles Lakers,Boston Celtics,1,2-0,0,two point shot,False,7,True,True
2014-01-17,3.05,Los Angeles Lakers,Boston Celtics,1,6-4,0,two point jumper,False,14,False,True
2014-01-17,5.41666666667,Los Angeles Lakers,Boston Celtics,1,11-8,1,two point shot,False,1,False,True
2014-01-17,20.4333333333,Los Angeles Lakers,Boston Celtics,2,40-52,-14,hook shot,False,5,False,True
2014-02-21,10.35,Los Angeles Lakers,Boston Celtics,1,26-19,-9,two point shot,True,9,True,False
2014-02-21,10.8666666667,Los Angeles Lakers,Boston Celtics,1,28-19,-11,two point jumper,True,10,False,False
2014-02-21,12.8666666667,Los Angeles Lakers,Boston Celtics,2,30-24,-8,two point jumper,True,1,True,False
2014-02-21,30.2333333333,Los Angeles Lakers,Boston Celtics,3,61-57,-6,hook shot,True,6,False,False
2014-02-21,31.6,Los Angeles Lakers,Boston Celtics,3,65-58,-8,free throw,True,15,True,False
2014-02-21,31.6,Los Angeles Lakers,Boston Celtics,3,65-59,-7,free throw,True,15,True,False
2014-02-21,37.9,Los Angeles Lakers,Boston Celtics,4,76-69,-9,layup,True,0,False,False
2014-02-21,37.95,Los Angeles Lakers,Boston Celtics,4,76-71,-7,two point shot,True,1,True,False
2014-02-21,46.35,Los Angeles Lakers,Boston Celtics,4,87-97,8,two point shot,True,5,True,False
2014-11-27,18.95,Los Angeles Lakers,Brooklyn Nets,2,48-32,14,tip shot,False,0,False,True
2014-11-27,19.45,Los Angeles Lakers,Brooklyn Nets,2,48-34,12,two point jumper,False,18,False,True
2014-11-27,25.0666666667,Los Angeles Lakers,Brooklyn Nets,3,56-42,12,layup,False,0,False,True
2014-11-27,25.1166666667,Los Angeles Lakers,Brooklyn Nets,3,58-42,14,two point shot,False,1,True,True
2014-11-27,37.6833333333,Los Angeles Lakers,Brooklyn Nets,4,80-72,6,tip shot,False,0,False,True
2014-02-23,10.7166666667,Los Angeles Lakers,Brooklyn Nets,1,31-18,-15,two point jumper,True,1,False,False
2014-02-23,13.05,Los Angeles Lakers,Brooklyn Nets,2,33-25,-10,two point shot,True,11,True,False
2014-02-23,15.3166666667,Los Angeles Lakers,Brooklyn Nets,2,40-29,-13,layup,True,0,True,False
2014-02-23,15.8666666667,Los Angeles Lakers,Brooklyn Nets,2,40-29,-12,free throw,True,15,False,False
2014-02-23,15.8666666667,Los Angeles Lakers,Brooklyn Nets,2,40-30,-11,free throw,True,15,True,False
2014-02-23,18.7833333333,Los Angeles Lakers,Brooklyn Nets,2,49-39,-12,two point shot,True,6,True,False
2014-02-23,21.4833333333,Los Angeles Lakers,Brooklyn Nets,2,55-43,-14,layup,True,0,False,False
2014-02-23,23.15,Los Angeles Lakers,Brooklyn Nets,2,59-45,-16,layup,True,0,False,False
2014-02-23,38.3166666667,Los Angeles Lakers,Brooklyn Nets,4,89-81,-10,two point shot,True,1,True,False
2014-02-23,44.45,Los Angeles Lakers,Brooklyn Nets,4,97-90,-9,two point shot,True,2,True,False
2014-01-26,10.7666666667,Los Angeles Lakers,New York Knicks,1,23-22,-1,two point shot,False,5,True,False
2014-01-26,16.75,Los Angeles Lakers,New York Knicks,2,34-28,4,two point jumper,False,5,True,False
2014-01-26,17.6,Los Angeles Lakers,New York Knicks,2,35-30,4,free throw,False,15,True,False
2014-01-26,17.6,Los Angeles Lakers,New York Knicks,2,35-30,4,free throw,False,15,False,False
2014-01-26,39.3833333333,Los Angeles Lakers,New York Knicks,4,91-92,-3,hook shot,False,6,False,False
2014-12-29,0.383333333333,Los Angeles Lakers,Philadelphia 76ers,1,0-0,-2,layup,True,0,False,False
2014-12-29,1.61666666667,Los Angeles Lakers,Philadelphia 76ers,1,2-7,3,two point shot,True,1,True,False
2014-12-29,3.8,Los Angeles Lakers,Philadelphia 76ers,1,2-12,8,layup,True,0,False,False
2014-12-29,4.1,Los Angeles Lakers,Philadelphia 76ers,1,2-12,8,layup,True,0,False,False
2014-12-29,19.1,Los Angeles Lakers,Philadelphia 76ers,2,42-34,-9,free throw,True,15,False,False
2014-12-29,19.1,Los Angeles Lakers,Philadelphia 76ers,2,42-35,-8,free throw,True,15,True,False
2014-12-29,19.6333333333,Los Angeles Lakers,Philadelphia 76ers,2,43-37,-8,layup,True,0,True,False
2014-12-29,22.5,Los Angeles Lakers,Philadelphia 76ers,2,47-43,-5,free throw,True,15,True,False
2014-12-29,22.5,Los Angeles Lakers,Philadelphia 76ers,2,47-44,-4,free throw,True,15,True,False
2014-12-29,24.6166666667,Los Angeles Lakers,Philadelphia 76ers,3,52-54,0,layup,True,0,True,False
2014-12-29,24.8666666667,Los Angeles Lakers,Philadelphia 76ers,3,52-54,0,tip shot,True,0,False,False
2014-12-29,24.8666666667,Los Angeles Lakers,Philadelphia 76ers,3,52-55,2,free throw,True,15,True,False
2014-12-29,24.8666666667,Los Angeles Lakers,Philadelphia 76ers,3,52-56,3,free throw,True,15,True,False
2014-12-29,25.8833333333,Los Angeles Lakers,Philadelphia 76ers,3,54-57,2,free throw,True,15,True,False
2014-12-29,25.8833333333,Los Angeles Lakers,Philadelphia 76ers,3,54-57,2,free throw,True,15,False,False
2014-12-29,26.5166666667,Los Angeles Lakers,Philadelphia 76ers,3,57-59,0,two point shot,True,7,True,False
2014-12-29,29.3833333333,Los Angeles Lakers,Philadelphia 76ers,3,65-62,-5,two point jumper,True,16,False,False
2014-12-29,34.4166666667,Los Angeles Lakers,Philadelphia 76ers,3,82-72,-12,two point shot,True,1,True,False
2014-12-29,43.4166666667,Los Angeles Lakers,Philadelphia 76ers,4,96-97,-1,two point jumper,True,9,False,False
2014-12-29,46.4833333333,Los Angeles Lakers,Philadelphia 76ers,4,104-101,-5,layup,True,0,True,False
2014-12-29,46.4833333333,Los Angeles Lakers,Philadelphia 76ers,4,104-101,-4,free throw,True,15,False,False
2014-12-29,48.0,Los Angeles Lakers,Philadelphia 76ers,4,111-104,-10,three point jumper,True,57,False,False
2014-02-07,13.3666666667,Los Angeles Lakers,Philadelphia 76ers,2,32-39,-9,dunk,False,0,True,False
2014-02-07,14.2166666667,Los Angeles Lakers,Philadelphia 76ers,2,34-41,-9,layup,False,0,True,False
2014-02-07,16.7833333333,Los Angeles Lakers,Philadelphia 76ers,2,40-44,-6,two point jumper,False,17,False,False
2014-02-07,19.85,Los Angeles Lakers,Philadelphia 76ers,2,48-52,-6,two point shot,False,1,True,False
2014-02-07,19.85,Los Angeles Lakers,Philadelphia 76ers,2,48-52,-5,free throw,False,15,False,False
2014-02-07,36.45,Los Angeles Lakers,Philadelphia 76ers,4,89-85,2,layup,False,0,True,False
2014-02-07,38.7166666667,Los Angeles Lakers,Philadelphia 76ers,4,93-90,2,free throw,False,15,False,False
2014-02-07,38.7166666667,Los Angeles Lakers,Philadelphia 76ers,4,94-90,3,free throw,False,15,True,False
