date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-01-05,3.56666666667,Oklahoma City Thunder,Boston Celtics,1,9-8,-2,free throw,True,15,True,False
2014-01-05,3.56666666667,Oklahoma City Thunder,Boston Celtics,1,9-9,-1,free throw,True,15,True,False
2014-01-05,5.63333333333,Oklahoma City Thunder,Boston Celtics,1,11-17,4,two point shot,True,1,False,False
2014-01-05,5.91666666667,Oklahoma City Thunder,Boston Celtics,1,11-18,6,free throw,True,15,True,False
2014-01-05,5.91666666667,Oklahoma City Thunder,Boston Celtics,1,11-18,6,free throw,True,15,False,False
2014-01-05,7.41666666667,Oklahoma City Thunder,Boston Celtics,1,13-18,3,two point jumper,True,5,False,False
2014-01-05,8.21666666667,Oklahoma City Thunder,Boston Celtics,1,16-21,4,free throw,True,15,True,False
2014-01-05,8.21666666667,Oklahoma City Thunder,Boston Celtics,1,16-22,5,free throw,True,15,True,False
2014-01-05,17.1,Oklahoma City Thunder,Boston Celtics,2,41-44,1,two point shot,True,25,False,False
2014-01-05,17.5,Oklahoma City Thunder,Boston Celtics,2,41-46,3,layup,True,0,True,False
2014-01-05,19.8166666667,Oklahoma City Thunder,Boston Celtics,2,44-49,3,two point jumper,True,14,False,False
2014-01-05,20.0833333333,Oklahoma City Thunder,Boston Celtics,2,44-49,3,two point jumper,True,1,False,False
2014-01-05,20.9666666667,Oklahoma City Thunder,Boston Celtics,2,49-53,2,two point shot,True,5,True,False
2014-01-05,22.0,Oklahoma City Thunder,Boston Celtics,2,51-56,4,free throw,True,15,True,False
2014-01-05,22.0,Oklahoma City Thunder,Boston Celtics,2,51-57,5,free throw,True,15,True,False
2014-01-05,22.3,Oklahoma City Thunder,Boston Celtics,2,51-59,6,layup,True,0,True,False
2014-01-05,22.4833333333,Oklahoma City Thunder,Boston Celtics,2,51-61,8,dunk,True,0,True,False
2014-01-05,23.1333333333,Oklahoma City Thunder,Boston Celtics,2,54-62,7,free throw,True,15,True,False
2014-01-05,23.1333333333,Oklahoma City Thunder,Boston Celtics,2,54-63,8,free throw,True,15,True,False
2014-01-05,25.4666666667,Oklahoma City Thunder,Boston Celtics,3,56-72,14,two point shot,True,8,True,False
2014-01-05,27.6333333333,Oklahoma City Thunder,Boston Celtics,3,62-73,9,two point shot,True,1,False,False
2014-01-05,29.2333333333,Oklahoma City Thunder,Boston Celtics,3,62-79,15,two point jumper,True,18,True,False
2014-01-02,3.76666666667,Oklahoma City Thunder,Brooklyn Nets,1,6-7,-2,three point jumper,True,24,False,False
2014-01-02,5.25,Oklahoma City Thunder,Brooklyn Nets,1,8-9,-1,layup,True,0,True,False
2014-01-02,7.81666666667,Oklahoma City Thunder,Brooklyn Nets,1,16-15,-3,two point shot,True,6,True,False
2014-01-02,7.81666666667,Oklahoma City Thunder,Brooklyn Nets,1,16-16,-1,free throw,True,15,True,False
2014-01-02,8.23333333333,Oklahoma City Thunder,Brooklyn Nets,1,19-18,-3,two point jumper,True,17,True,False
2014-01-02,9.68333333333,Oklahoma City Thunder,Brooklyn Nets,1,23-21,-3,free throw,True,15,True,False
2014-01-02,9.68333333333,Oklahoma City Thunder,Brooklyn Nets,1,23-22,-2,free throw,True,15,True,False
2014-01-02,18.8833333333,Oklahoma City Thunder,Brooklyn Nets,2,37-48,8,three point jumper,True,24,True,False
2014-01-02,22.7166666667,Oklahoma City Thunder,Brooklyn Nets,2,43-58,12,three point jumper,True,23,True,False
2014-01-02,24.95,Oklahoma City Thunder,Brooklyn Nets,3,46-59,10,three point jumper,True,26,False,False
2014-01-02,26.1166666667,Oklahoma City Thunder,Brooklyn Nets,3,46-62,13,unknown,True,25,True,False
2014-01-02,27.2666666667,Oklahoma City Thunder,Brooklyn Nets,3,52-62,7,three point jumper,True,25,False,False
2014-01-02,27.8166666667,Oklahoma City Thunder,Brooklyn Nets,3,52-62,8,two point jumper,True,7,False,False
2014-01-02,28.3833333333,Oklahoma City Thunder,Brooklyn Nets,3,55-63,7,free throw,True,15,True,False
2014-01-02,28.3833333333,Oklahoma City Thunder,Brooklyn Nets,3,55-64,8,free throw,True,15,True,False
