date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-10-30,15.2,Boston Celtics,Toronto Raptors,2,28-28,-2,two point jumper,False,17,False,False
2014-10-30,31.7333333333,Boston Celtics,Toronto Raptors,3,55-65,-12,two point shot,False,1,True,False
2014-10-30,32.8,Boston Celtics,Toronto Raptors,3,58-65,-8,free throw,False,15,True,False
2014-10-30,32.8,Boston Celtics,Toronto Raptors,3,58-65,-8,free throw,False,15,False,False
2014-10-30,34.5833333333,Boston Celtics,Toronto Raptors,3,63-69,-8,dunk,False,0,True,False
2014-10-30,45.7166666667,Boston Celtics,Toronto Raptors,4,83-90,-8,free throw,False,15,True,False
2014-10-30,47.0,Boston Celtics,Toronto Raptors,4,85-90,-7,two point shot,False,2,True,False
2014-11-06,14.6166666667,Boston Celtics,Utah Jazz,2,26-31,3,two point jumper,True,14,True,True
2014-11-06,15.9666666667,Boston Celtics,Utah Jazz,2,30-34,2,two point jumper,True,15,False,True
2014-11-06,19.1666666667,Boston Celtics,Utah Jazz,2,32-36,2,two point jumper,True,17,False,True
2014-11-09,9.2,Boston Celtics,Miami Heat,1,19-27,-10,two point jumper,False,19,True,True
2014-11-09,10.1,Boston Celtics,Miami Heat,1,19-27,-10,two point jumper,False,17,False,True
2014-11-09,13.6833333333,Boston Celtics,Miami Heat,2,32-33,-3,layup,False,0,True,True
2014-11-09,13.6833333333,Boston Celtics,Miami Heat,2,33-33,-1,free throw,False,15,True,True
2014-11-09,14.7,Boston Celtics,Miami Heat,2,36-35,0,free throw,False,15,True,True
2014-11-09,14.7,Boston Celtics,Miami Heat,2,37-35,1,free throw,False,15,True,True
2014-11-09,34.1166666667,Boston Celtics,Miami Heat,3,78-78,-2,two point jumper,False,12,True,True
2014-11-09,35.5666666667,Boston Celtics,Miami Heat,3,80-82,-4,layup,False,0,False,True
2014-11-13,9.23333333333,Boston Celtics,Charlotte Bobcats,1,22-12,-12,two point jumper,True,19,False,False
2014-11-13,10.8333333333,Boston Celtics,Charlotte Bobcats,1,22-18,-5,free throw,True,15,True,False
2014-11-13,10.8333333333,Boston Celtics,Charlotte Bobcats,1,22-18,-5,free throw,True,15,False,False
2014-11-16,32.1666666667,Boston Celtics,Minnesota Timberwolves,3,62-77,-17,two point jumper,False,15,True,True
2014-11-16,39.75,Boston Celtics,Minnesota Timberwolves,4,78-96,-20,two point jumper,False,18,False,True
2014-11-16,40.1666666667,Boston Celtics,Minnesota Timberwolves,4,79-96,-18,free throw,False,15,True,True
2014-11-16,40.1666666667,Boston Celtics,Minnesota Timberwolves,4,80-96,-17,free throw,False,15,True,True
2014-11-19,39.0666666667,Boston Celtics,Houston Rockets,4,66-95,-31,two point jumper,False,1,True,True
2014-11-19,41.0333333333,Boston Celtics,Houston Rockets,4,70-97,-29,two point shot,False,12,False,True
2014-11-19,44.75,Boston Celtics,Houston Rockets,4,75-101,-27,free throw,False,15,True,True
2014-11-19,44.75,Boston Celtics,Houston Rockets,4,76-101,-26,free throw,False,15,True,True
2014-11-19,46.6166666667,Boston Celtics,Houston Rockets,4,80-107,-29,two point jumper,False,21,True,True
2014-11-19,47.3666666667,Boston Celtics,Houston Rockets,4,82-109,-30,three point jumper,False,24,False,True
2014-11-20,38.8166666667,Boston Celtics,San Antonio Spurs,4,76-85,-11,dunk,False,0,True,True
2014-11-20,39.7,Boston Celtics,San Antonio Spurs,4,78-90,-14,two point jumper,False,16,True,True
2014-11-22,23.25,Boston Celtics,Indiana Pacers,2,39-47,6,two point jumper,True,11,False,False
2014-11-22,44.35,Boston Celtics,Indiana Pacers,4,90-72,-20,layup,True,0,True,False
2014-11-22,47.6333333333,Boston Celtics,Indiana Pacers,4,97-81,-17,free throw,True,15,True,False
2014-11-22,47.6333333333,Boston Celtics,Indiana Pacers,4,97-82,-16,free throw,True,15,True,False
