date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-01-17,13.05,Los Angeles Lakers,Boston Celtics,2,25-27,-4,two point jumper,False,16,False,True
2014-01-17,13.7666666667,Los Angeles Lakers,Boston Celtics,2,28-27,-1,layup,False,0,True,True
2014-01-17,14.7166666667,Los Angeles Lakers,Boston Celtics,2,29-31,-3,free throw,False,15,True,True
2014-01-17,14.7166666667,Los Angeles Lakers,Boston Celtics,2,30-31,-2,free throw,False,15,True,True
2014-01-17,15.5833333333,Los Angeles Lakers,Boston Celtics,2,30-33,-6,three point jumper,False,24,False,True
2014-01-17,30.7833333333,Los Angeles Lakers,Boston Celtics,3,63-66,-5,two point jumper,False,22,False,True
2014-01-17,36.75,Los Angeles Lakers,Boston Celtics,4,79-82,-6,three point jumper,False,26,True,True
2014-01-17,39.3833333333,Los Angeles Lakers,Boston Celtics,4,85-88,-5,two point jumper,False,7,False,True
2014-01-26,8.6,Los Angeles Lakers,New York Knicks,1,16-19,-5,layup,False,0,True,False
2014-01-26,10.4333333333,Los Angeles Lakers,New York Knicks,1,20-22,-4,layup,False,0,True,False
2014-01-26,10.4333333333,Los Angeles Lakers,New York Knicks,1,21-22,-2,free throw,False,15,True,False
2014-01-26,13.4,Los Angeles Lakers,New York Knicks,2,26-25,0,free throw,False,15,True,False
2014-01-26,13.4,Los Angeles Lakers,New York Knicks,2,27-25,1,free throw,False,15,True,False
2014-01-26,15.45,Los Angeles Lakers,New York Knicks,2,32-26,3,three point jumper,False,25,False,False
2014-01-26,36.5,Los Angeles Lakers,New York Knicks,4,83-83,-2,dunk,False,0,True,False
2014-01-26,37.1166666667,Los Angeles Lakers,New York Knicks,4,83-86,-5,two point shot,False,18,False,False
2014-01-26,38.3833333333,Los Angeles Lakers,New York Knicks,4,88-90,-5,three point jumper,False,25,True,False
2014-01-26,38.8833333333,Los Angeles Lakers,New York Knicks,4,90-92,-4,layup,False,0,True,False
2014-01-26,38.8833333333,Los Angeles Lakers,New York Knicks,4,91-92,-2,free throw,False,15,True,False
2014-01-26,40.45,Los Angeles Lakers,New York Knicks,4,94-95,-4,three point jumper,False,25,True,False
2014-01-26,40.9833333333,Los Angeles Lakers,New York Knicks,4,94-95,-3,two point shot,False,7,False,False
2014-01-19,7.16666666667,Los Angeles Lakers,Toronto Raptors,1,18-15,1,two point shot,False,1,True,True
2014-01-19,8.33333333333,Los Angeles Lakers,Toronto Raptors,1,22-20,0,two point shot,False,17,True,True
2014-01-19,9.81666666667,Los Angeles Lakers,Toronto Raptors,1,24-23,-1,two point jumper,False,9,False,True
2014-01-19,12.0,Los Angeles Lakers,Toronto Raptors,1,29-36,-9,two point jumper,False,20,False,True
2014-01-19,13.95,Los Angeles Lakers,Toronto Raptors,2,31-42,-14,three point jumper,False,24,False,True
2014-01-19,33.0833333333,Los Angeles Lakers,Toronto Raptors,3,79-79,-3,three point jumper,False,25,True,True
2014-01-19,35.2333333333,Los Angeles Lakers,Toronto Raptors,3,79-79,-2,two point jumper,False,18,False,True
2014-01-19,40.0,Los Angeles Lakers,Toronto Raptors,4,89-90,-3,two point shot,False,1,False,True
2014-01-20,9.23333333333,Los Angeles Lakers,Chicago Bulls,1,20-22,-5,three point jumper,False,26,True,False
2014-01-20,10.4666666667,Los Angeles Lakers,Chicago Bulls,1,22-24,-4,two point jumper,False,21,False,False
2014-01-20,11.3333333333,Los Angeles Lakers,Chicago Bulls,1,23-28,-7,two point jumper,False,16,False,False
2014-01-20,13.7,Los Angeles Lakers,Chicago Bulls,2,36-33,1,two point jumper,False,6,True,False
