date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-11-23,9.55,Atlanta Hawks,Boston Celtics,1,21-15,-8,hook shot,True,5,False,False
2014-11-23,9.78333333333,Atlanta Hawks,Boston Celtics,1,21-18,-6,three point jumper,True,25,True,False
2014-11-23,10.3833333333,Atlanta Hawks,Boston Celtics,1,23-20,-5,two point shot,True,1,True,False
2014-11-23,33.15,Atlanta Hawks,Boston Celtics,3,62-70,6,two point shot,True,19,True,False
2014-11-23,38.5,Atlanta Hawks,Boston Celtics,4,70-81,8,three point jumper,True,26,True,False
2014-11-23,40.0333333333,Atlanta Hawks,Boston Celtics,4,75-81,3,three point jumper,True,25,False,False
2014-12-31,1.2,Atlanta Hawks,Boston Celtics,1,2-2,-2,two point jumper,False,13,False,True
2014-12-31,2.2,Atlanta Hawks,Boston Celtics,1,2-2,-3,three point jumper,False,24,False,True
2014-12-31,8.16666666667,Atlanta Hawks,Boston Celtics,1,12-10,0,layup,False,0,False,True
2014-12-31,14.05,Atlanta Hawks,Boston Celtics,2,20-32,-15,three point jumper,False,23,False,True
2014-12-31,16.5666666667,Atlanta Hawks,Boston Celtics,2,22-36,-16,two point jumper,False,1,True,True
2014-12-31,19.2,Atlanta Hawks,Boston Celtics,2,24-42,-20,two point jumper,False,1,False,True
2014-12-31,36.5,Atlanta Hawks,Boston Celtics,4,62-67,-7,two point jumper,False,16,False,True
2014-12-31,37.1333333333,Atlanta Hawks,Boston Celtics,4,67-70,-5,two point shot,False,5,True,True
2014-12-31,39.6333333333,Atlanta Hawks,Boston Celtics,4,70-76,-9,three point jumper,False,23,False,True
2014-12-31,40.8833333333,Atlanta Hawks,Boston Celtics,4,72-78,-8,layup,False,0,True,True
2014-12-31,44.9666666667,Atlanta Hawks,Boston Celtics,4,86-85,-1,layup,False,0,True,True
2014-02-26,7.21666666667,Atlanta Hawks,Boston Celtics,1,23-8,13,two point shot,False,5,False,False
2014-02-26,7.5,Atlanta Hawks,Boston Celtics,1,23-10,11,two point jumper,False,14,False,False
2014-02-26,9.86666666667,Atlanta Hawks,Boston Celtics,1,27-18,6,three point jumper,False,24,False,False
2014-02-26,31.4166666667,Atlanta Hawks,Boston Celtics,3,70-72,-4,two point jumper,False,8,False,False
2014-02-26,32.75,Atlanta Hawks,Boston Celtics,3,74-78,-6,layup,False,0,False,False
2014-02-26,35.65,Atlanta Hawks,Boston Celtics,3,79-81,-5,three point jumper,False,27,False,False
2014-01-06,12.65,Atlanta Hawks,Brooklyn Nets,2,23-29,-8,two point shot,False,8,True,False
2014-01-06,18.3166666667,Atlanta Hawks,Brooklyn Nets,2,37-40,-5,two point jumper,False,19,True,False
2014-01-06,18.8833333333,Atlanta Hawks,Brooklyn Nets,2,37-42,-7,layup,False,0,False,False
2014-01-06,18.9166666667,Atlanta Hawks,Brooklyn Nets,2,37-42,-7,tip shot,False,0,False,False
2014-01-06,36.3333333333,Atlanta Hawks,Brooklyn Nets,4,69-72,-5,two point shot,False,2,True,False
2014-01-06,39.75,Atlanta Hawks,Brooklyn Nets,4,71-77,-9,three point jumper,False,25,False,False
2014-01-06,41.1,Atlanta Hawks,Brooklyn Nets,4,75-77,-4,layup,False,0,True,False
2014-01-06,41.1,Atlanta Hawks,Brooklyn Nets,4,76-77,-2,free throw,False,15,True,False
2014-01-16,13.45,Atlanta Hawks,Brooklyn Nets,2,35-30,-8,three point jumper,True,26,False,False
2014-01-16,15.5666666667,Atlanta Hawks,Brooklyn Nets,2,39-33,-7,free throw,True,15,True,False
2014-01-16,15.5666666667,Atlanta Hawks,Brooklyn Nets,2,39-34,-6,free throw,True,15,True,False
2014-01-16,16.1,Atlanta Hawks,Brooklyn Nets,2,39-36,-5,layup,True,0,True,False
2014-01-16,17.5333333333,Atlanta Hawks,Brooklyn Nets,2,44-40,-6,two point shot,True,1,True,False
2014-01-16,18.4833333333,Atlanta Hawks,Brooklyn Nets,2,49-40,-12,three point jumper,True,26,False,False
