date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-01-26,11.9833333333,Brooklyn Nets,Boston Celtics,1,11-17,-9,three point jumper,False,24,False,True
2014-01-26,13.45,Brooklyn Nets,Boston Celtics,2,16-19,-5,two point shot,False,3,True,True
2014-01-26,16.8166666667,Brooklyn Nets,Boston Celtics,2,20-21,-4,three point jumper,False,25,False,True
2014-01-26,16.95,Brooklyn Nets,Boston Celtics,2,23-21,-1,three point jumper,False,25,True,True
2014-01-26,18.4166666667,Brooklyn Nets,Boston Celtics,2,27-21,3,three point jumper,False,22,False,True
2014-01-26,19.0666666667,Brooklyn Nets,Boston Celtics,2,27-23,1,three point jumper,False,25,False,True
2014-01-26,34.3666666667,Brooklyn Nets,Boston Celtics,3,59-49,8,two point shot,False,20,False,True
2014-01-26,36.2666666667,Brooklyn Nets,Boston Celtics,4,61-53,6,two point jumper,False,13,True,True
2014-01-26,37.65,Brooklyn Nets,Boston Celtics,4,65-53,10,layup,False,0,True,True
2014-01-26,39.95,Brooklyn Nets,Boston Celtics,4,68-58,8,two point jumper,False,16,False,True
2014-01-26,41.8166666667,Brooklyn Nets,Boston Celtics,4,71-65,3,three point jumper,False,24,False,True
2014-11-03,41.9166666667,Brooklyn Nets,Orlando Magic,4,70-90,-23,three point jumper,False,26,False,True
2014-11-03,42.6666666667,Brooklyn Nets,Orlando Magic,4,72-93,-23,two point shot,False,8,True,True
2014-11-03,44.5666666667,Brooklyn Nets,Orlando Magic,4,80-99,-21,two point jumper,False,8,False,True
2014-11-03,44.8333333333,Brooklyn Nets,Orlando Magic,4,80-101,-23,two point shot,False,21,False,True
2014-11-03,46.1666666667,Brooklyn Nets,Orlando Magic,4,84-103,-22,three point jumper,False,26,False,True
2014-11-03,47.1666666667,Brooklyn Nets,Orlando Magic,4,84-107,-25,tip shot,False,0,False,True
2014-11-05,36.8333333333,Brooklyn Nets,Utah Jazz,4,64-87,20,three point jumper,True,25,False,False
2014-11-05,39.5,Brooklyn Nets,Utah Jazz,4,67-93,24,two point jumper,True,19,False,False
2014-11-05,40.8833333333,Brooklyn Nets,Utah Jazz,4,69-93,21,three point jumper,True,25,False,False
2014-11-05,46.35,Brooklyn Nets,Utah Jazz,4,83-103,19,free throw,True,15,True,False
2014-11-05,46.35,Brooklyn Nets,Utah Jazz,4,83-103,19,free throw,True,15,False,False
2014-11-05,47.05,Brooklyn Nets,Utah Jazz,4,85-103,15,three point jumper,True,25,False,False
2014-11-05,47.8,Brooklyn Nets,Utah Jazz,4,87-104,15,two point jumper,True,20,False,False
2014-11-13,47.9333333333,Brooklyn Nets,Sacramento Kings,4,86-107,-24,three point jumper,False,27,False,True
2014-11-15,21.8666666667,Brooklyn Nets,Phoenix Suns,2,38-46,-10,layup,False,0,True,False
2014-11-16,10.1666666667,Brooklyn Nets,Los Angeles Clippers,1,21-23,-5,three point jumper,False,25,False,False
2014-11-16,11.7833333333,Brooklyn Nets,Los Angeles Clippers,1,26-29,-5,layup,False,0,False,False
2014-11-16,11.85,Brooklyn Nets,Los Angeles Clippers,1,26-29,-5,two point jumper,False,1,False,False
2014-11-16,12.95,Brooklyn Nets,Los Angeles Clippers,2,28-29,-4,three point jumper,False,25,False,False
2014-11-16,13.5833333333,Brooklyn Nets,Los Angeles Clippers,2,32-29,1,layup,False,0,True,False
2014-11-16,32.0166666667,Brooklyn Nets,Los Angeles Clippers,3,67-64,0,three point jumper,False,26,False,False
2014-11-22,38.5666666667,Brooklyn Nets,Minnesota Timberwolves,4,62-97,-38,three point jumper,False,25,False,True
2014-11-22,39.75,Brooklyn Nets,Minnesota Timberwolves,4,66-99,-35,two point shot,False,5,True,True
2014-11-22,42.5333333333,Brooklyn Nets,Minnesota Timberwolves,4,72-103,-33,two point shot,False,1,True,True
2014-11-22,45.4833333333,Brooklyn Nets,Minnesota Timberwolves,4,76-105,-32,three point jumper,False,25,True,True
2014-11-22,47.8,Brooklyn Nets,Minnesota Timberwolves,4,81-111,-33,three point jumper,False,25,False,True
2014-11-24,37.8333333333,Brooklyn Nets,Detroit Pistons,4,83-72,-14,three point jumper,True,25,True,True
2014-11-24,39.9,Brooklyn Nets,Detroit Pistons,4,88-77,-14,three point jumper,True,25,True,True
2014-11-24,41.2833333333,Brooklyn Nets,Detroit Pistons,4,92-83,-12,three point jumper,True,25,True,True
2014-11-24,41.7,Brooklyn Nets,Detroit Pistons,4,93-83,-12,two point jumper,True,1,False,True
2014-11-24,42.95,Brooklyn Nets,Detroit Pistons,4,96-85,-14,three point jumper,True,26,False,True
2014-11-26,43.3833333333,Brooklyn Nets,Toronto Raptors,4,101-86,13,two point jumper,False,15,False,True
2014-11-27,8.95,Brooklyn Nets,Los Angeles Lakers,1,25-15,-13,three point jumper,True,25,False,False
2014-11-27,9.25,Brooklyn Nets,Los Angeles Lakers,1,25-18,-10,three point jumper,True,27,True,False
2014-11-27,12.6833333333,Brooklyn Nets,Los Angeles Lakers,2,37-18,-21,two point jumper,True,1,False,False
2014-11-27,36.3166666667,Brooklyn Nets,Los Angeles Lakers,4,77-71,-9,three point jumper,True,25,True,False
2014-11-27,36.75,Brooklyn Nets,Los Angeles Lakers,4,77-71,-9,three point jumper,True,24,False,False
2014-11-27,38.45,Brooklyn Nets,Los Angeles Lakers,4,83-77,-9,three point jumper,True,26,True,False
2014-11-27,39.6166666667,Brooklyn Nets,Los Angeles Lakers,4,85-79,-9,three point jumper,True,26,False,False
2014-11-27,40.7833333333,Brooklyn Nets,Los Angeles Lakers,4,88-83,-6,free throw,True,15,True,False
2014-11-27,40.7833333333,Brooklyn Nets,Los Angeles Lakers,4,88-84,-5,free throw,True,15,True,False
2014-11-27,42.7333333333,Brooklyn Nets,Los Angeles Lakers,4,90-87,-4,free throw,True,15,True,False
2014-11-27,42.7333333333,Brooklyn Nets,Los Angeles Lakers,4,90-88,-3,free throw,True,15,True,False
2014-11-27,43.6,Brooklyn Nets,Los Angeles Lakers,4,92-91,-4,three point jumper,True,26,True,False
2014-11-27,44.05,Brooklyn Nets,Los Angeles Lakers,4,92-92,-1,free throw,True,15,True,False
