date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-11-19,45.7833333333,Houston Rockets,Boston Celtics,4,76-105,27,layup,True,0,True,False
2014-11-19,47.1166666667,Houston Rockets,Boston Celtics,4,82-108,25,free throw,True,15,True,False
2014-11-19,47.1166666667,Houston Rockets,Boston Celtics,4,82-109,26,free throw,True,15,True,False
2014-11-19,47.7,Houston Rockets,Boston Celtics,4,82-109,25,layup,True,0,False,False
2014-11-29,14.4333333333,Houston Rockets,Brooklyn Nets,2,22-41,17,two point shot,True,1,True,False
2014-11-29,18.45,Houston Rockets,Brooklyn Nets,2,32-49,16,free throw,True,15,True,False
2014-11-29,18.45,Houston Rockets,Brooklyn Nets,2,32-50,17,free throw,True,15,True,False
2014-11-29,19.4833333333,Houston Rockets,Brooklyn Nets,2,34-50,14,layup,True,0,False,False
2014-11-29,28.95,Houston Rockets,Brooklyn Nets,3,48-77,27,two point jumper,True,1,False,False
2014-11-29,37.95,Houston Rockets,Brooklyn Nets,4,67-94,25,two point shot,True,1,True,False
2014-11-11,12.25,Houston Rockets,Toronto Raptors,2,20-26,4,layup,True,0,True,True
2014-11-11,13.7166666667,Houston Rockets,Toronto Raptors,2,20-29,7,layup,True,0,True,True
2014-11-11,35.4,Houston Rockets,Toronto Raptors,3,60-67,6,free throw,True,15,False,True
2014-11-11,35.4,Houston Rockets,Toronto Raptors,3,60-67,6,free throw,True,15,False,True
2014-02-20,6.38333333333,Houston Rockets,Golden State Warriors,1,7-8,-3,two point jumper,False,4,False,True
2014-02-20,12.95,Houston Rockets,Golden State Warriors,2,29-21,6,two point shot,False,1,True,True
2014-02-20,14.2166666667,Houston Rockets,Golden State Warriors,2,31-27,2,dunk,False,0,True,True
2014-02-20,35.15,Houston Rockets,Golden State Warriors,3,65-69,-6,layup,False,0,True,True
2014-11-04,1.45,Houston Rockets,Los Angeles Clippers,1,2-5,-5,dunk,False,0,True,False
2014-11-04,19.9833333333,Houston Rockets,Los Angeles Clippers,2,52-65,-14,free throw,False,15,True,False
2014-11-04,19.9833333333,Houston Rockets,Los Angeles Clippers,2,53-65,-13,free throw,False,15,True,False
2014-11-04,27.0,Houston Rockets,Los Angeles Clippers,3,71-85,-15,free throw,False,15,True,False
2014-11-04,27.0,Houston Rockets,Los Angeles Clippers,3,72-85,-14,free throw,False,15,True,False
2014-11-09,4.66666666667,Houston Rockets,Los Angeles Clippers,1,10-8,-4,two point shot,True,4,True,True
2014-11-09,10.1833333333,Houston Rockets,Los Angeles Clippers,1,22-23,-1,layup,True,0,True,True
2014-11-09,11.9333333333,Houston Rockets,Los Angeles Clippers,1,22-26,3,free throw,True,15,True,True
2014-11-09,11.9333333333,Houston Rockets,Los Angeles Clippers,1,22-26,3,free throw,True,15,False,True
2014-11-09,13.1333333333,Houston Rockets,Los Angeles Clippers,2,23-30,5,two point shot,True,1,True,True
2014-11-09,31.45,Houston Rockets,Los Angeles Clippers,3,60-71,10,free throw,True,15,False,True
2014-11-09,31.45,Houston Rockets,Los Angeles Clippers,3,60-71,10,free throw,True,15,False,True
2014-02-26,9.45,Houston Rockets,Los Angeles Clippers,1,19-24,-7,two point jumper,False,1,True,True
2014-02-26,13.8333333333,Houston Rockets,Los Angeles Clippers,2,26-26,-2,layup,False,0,False,True
2014-02-26,15.2166666667,Houston Rockets,Los Angeles Clippers,2,31-31,-2,two point jumper,False,4,True,True
2014-02-26,43.0666666667,Houston Rockets,Los Angeles Clippers,4,83-86,-5,dunk,False,0,True,True
2014-11-07,2.3,Houston Rockets,Los Angeles Lakers,1,5-4,-3,layup,True,0,False,False
