date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-11-20,11.35,San Antonio Spurs,Boston Celtics,1,23-22,-3,two point jumper,True,20,False,False
2014-11-20,12.6166666667,San Antonio Spurs,Boston Celtics,2,27-22,-7,two point jumper,True,17,False,False
2014-11-20,14.6166666667,San Antonio Spurs,Boston Celtics,2,29-29,-3,three point jumper,True,24,True,False
2014-11-20,14.8666666667,San Antonio Spurs,Boston Celtics,2,29-29,-3,three point jumper,True,23,False,False
2014-11-20,38.0,San Antonio Spurs,Boston Celtics,4,72-83,9,layup,True,0,False,False
2014-11-20,46.7333333333,San Antonio Spurs,Boston Celtics,4,89-102,10,three point jumper,True,24,False,False
2014-02-12,11.7333333333,San Antonio Spurs,Boston Celtics,1,25-17,6,two point jumper,False,17,False,False
2014-02-12,12.25,San Antonio Spurs,Boston Celtics,2,25-19,3,three point jumper,False,25,False,False
2014-02-12,12.8666666667,San Antonio Spurs,Boston Celtics,2,25-21,2,layup,False,0,False,False
2014-02-12,13.3166666667,San Antonio Spurs,Boston Celtics,2,25-21,1,three point jumper,False,25,False,False
2014-02-12,15.1833333333,San Antonio Spurs,Boston Celtics,2,27-26,-1,two point shot,False,19,True,False
2014-02-12,16.2,San Antonio Spurs,Boston Celtics,2,32-28,1,three point jumper,False,24,True,False
2014-02-12,16.75,San Antonio Spurs,Boston Celtics,2,34-30,2,two point jumper,False,16,True,False
2014-02-12,18.3166666667,San Antonio Spurs,Boston Celtics,2,37-36,-2,three point jumper,False,25,True,False
2014-02-12,31.8166666667,San Antonio Spurs,Boston Celtics,3,62-58,1,three point jumper,False,23,False,False
2014-02-12,33.5166666667,San Antonio Spurs,Boston Celtics,3,67-62,2,three point jumper,False,25,True,False
2014-02-12,35.1,San Antonio Spurs,Boston Celtics,3,69-65,1,three point jumper,False,23,False,False
2014-02-12,36.5,San Antonio Spurs,Boston Celtics,4,71-66,2,three point jumper,False,23,False,False
2014-02-12,37.55,San Antonio Spurs,Boston Celtics,4,75-68,5,layup,False,0,True,False
2014-02-12,37.55,San Antonio Spurs,Boston Celtics,4,76-68,7,free throw,False,15,True,False
2014-12-31,10.75,San Antonio Spurs,Brooklyn Nets,1,20-28,6,two point jumper,True,11,False,False
2014-12-31,12.2666666667,San Antonio Spurs,Brooklyn Nets,2,20-32,10,layup,True,0,True,False
2014-12-31,13.45,San Antonio Spurs,Brooklyn Nets,2,22-34,9,three point jumper,True,23,False,False
2014-12-31,14.6333333333,San Antonio Spurs,Brooklyn Nets,2,24-36,9,three point jumper,True,25,False,False
2014-12-31,16.6333333333,San Antonio Spurs,Brooklyn Nets,2,28-38,8,layup,True,0,False,False
2014-12-31,34.2333333333,San Antonio Spurs,Brooklyn Nets,3,62-88,24,layup,True,0,True,False
2014-12-31,35.8333333333,San Antonio Spurs,Brooklyn Nets,3,66-98,29,three point jumper,True,25,True,False
2014-12-31,38.6333333333,San Antonio Spurs,Brooklyn Nets,4,72-101,26,three point jumper,True,25,True,False
2014-12-31,39.8166666667,San Antonio Spurs,Brooklyn Nets,4,74-101,24,three point jumper,True,25,False,False
2014-12-31,40.95,San Antonio Spurs,Brooklyn Nets,4,80-103,21,two point jumper,True,20,False,False
2014-12-31,41.95,San Antonio Spurs,Brooklyn Nets,4,83-103,17,three point jumper,True,25,False,False
2014-12-31,42.5666666667,San Antonio Spurs,Brooklyn Nets,4,86-105,16,three point jumper,True,25,False,False
2014-12-31,43.6,San Antonio Spurs,Brooklyn Nets,4,86-107,19,layup,True,0,True,False
2014-12-31,45.1666666667,San Antonio Spurs,Brooklyn Nets,4,86-109,21,two point jumper,True,16,False,False
2014-12-31,47.0,San Antonio Spurs,Brooklyn Nets,4,90-113,21,two point jumper,True,21,False,False
2014-02-06,10.4333333333,San Antonio Spurs,Brooklyn Nets,1,22-13,6,three point jumper,False,26,False,True
2014-02-06,12.3166666667,San Antonio Spurs,Brooklyn Nets,2,24-17,5,two point jumper,False,1,False,True
2014-02-06,13.5166666667,San Antonio Spurs,Brooklyn Nets,2,24-20,2,unknown,False,8,False,True
2014-02-06,13.9666666667,San Antonio Spurs,Brooklyn Nets,2,27-20,4,three point jumper,False,26,True,True
2014-02-06,24.25,San Antonio Spurs,Brooklyn Nets,3,39-40,-4,three point jumper,False,25,False,True
2014-02-06,26.3833333333,San Antonio Spurs,Brooklyn Nets,3,44-47,-6,three point jumper,False,26,True,True
2014-02-06,27.0666666667,San Antonio Spurs,Brooklyn Nets,3,46-47,-3,layup,False,0,True,True
2014-02-06,29.7833333333,San Antonio Spurs,Brooklyn Nets,3,49-57,-11,three point jumper,False,25,False,True
2014-02-06,33.2166666667,San Antonio Spurs,Brooklyn Nets,3,62-66,-6,two point jumper,False,19,True,True
2014-02-06,34.1166666667,San Antonio Spurs,Brooklyn Nets,3,65-68,-4,free throw,False,15,True,True
2014-02-06,34.1166666667,San Antonio Spurs,Brooklyn Nets,3,66-68,-3,free throw,False,15,True,True
2014-02-06,34.5,San Antonio Spurs,Brooklyn Nets,3,68-71,-5,two point jumper,False,20,True,True
2014-02-06,35.3166666667,San Antonio Spurs,Brooklyn Nets,3,68-75,-10,three point jumper,False,25,False,True
2014-02-06,43.2166666667,San Antonio Spurs,Brooklyn Nets,4,81-90,-11,layup,False,0,True,True
2014-02-06,44.15,San Antonio Spurs,Brooklyn Nets,4,83-95,-15,three point jumper,False,23,False,True
2014-11-10,11.9833333333,San Antonio Spurs,New York Knicks,1,35-17,16,layup,False,0,False,False
2014-11-10,13.3833333333,San Antonio Spurs,New York Knicks,2,37-19,15,three point jumper,False,25,False,False
2014-11-10,15.2166666667,San Antonio Spurs,New York Knicks,2,42-21,18,three point jumper,False,26,False,False
2014-11-10,33.4,San Antonio Spurs,New York Knicks,3,85-55,29,free throw,False,15,True,False
2014-11-10,33.4,San Antonio Spurs,New York Knicks,3,86-55,30,free throw,False,15,True,False
2014-11-10,33.95,San Antonio Spurs,New York Knicks,3,89-55,33,free throw,False,15,True,False
2014-11-10,33.95,San Antonio Spurs,New York Knicks,3,90-55,34,free throw,False,15,True,False
2014-11-10,39.8,San Antonio Spurs,New York Knicks,4,100-67,30,three point jumper,False,26,False,False
2014-11-10,40.0666666667,San Antonio Spurs,New York Knicks,4,100-67,31,layup,False,0,False,False
2014-11-10,40.3166666667,San Antonio Spurs,New York Knicks,4,103-67,33,three point jumper,False,25,True,False
2014-11-10,40.9833333333,San Antonio Spurs,New York Knicks,4,106-69,34,three point jumper,False,25,True,False
2014-11-10,41.8833333333,San Antonio Spurs,New York Knicks,4,108-72,34,two point shot,False,3,True,False
2014-11-10,41.8833333333,San Antonio Spurs,New York Knicks,4,109-72,36,free throw,False,15,True,False
2014-11-10,43.4833333333,San Antonio Spurs,New York Knicks,4,111-77,31,three point jumper,False,26,False,False
2014-11-10,44.6166666667,San Antonio Spurs,New York Knicks,4,111-82,26,three point jumper,False,24,False,False
2014-11-10,47.25,San Antonio Spurs,New York Knicks,4,118-85,31,two point jumper,False,23,True,False
2014-01-02,12.25,San Antonio Spurs,New York Knicks,2,26-28,-1,three point jumper,True,25,True,False
2014-01-02,34.4833333333,San Antonio Spurs,New York Knicks,3,79-73,-8,layup,True,0,True,False
2014-01-02,36.55,San Antonio Spurs,New York Knicks,4,81-78,-6,three point jumper,True,25,True,False
2014-01-02,41.1,San Antonio Spurs,New York Knicks,4,89-82,-9,two point jumper,True,21,False,False
2014-11-11,11.1666666667,San Antonio Spurs,Philadelphia 76ers,1,29-13,14,layup,False,0,True,False
2014-11-11,13.6333333333,San Antonio Spurs,Philadelphia 76ers,2,31-18,10,three point jumper,False,25,False,False
2014-11-11,30.35,San Antonio Spurs,Philadelphia 76ers,3,73-46,25,two point jumper,False,16,False,False
2014-11-11,31.4833333333,San Antonio Spurs,Philadelphia 76ers,3,75-49,23,three point jumper,False,26,False,False
2014-11-11,34.1,San Antonio Spurs,Philadelphia 76ers,3,83-59,21,three point jumper,False,23,True,False
2014-11-11,36.3166666667,San Antonio Spurs,Philadelphia 76ers,4,86-64,19,three point jumper,False,23,True,False
2014-11-11,36.5833333333,San Antonio Spurs,Philadelphia 76ers,4,88-64,22,layup,False,0,True,False
2014-11-11,47.9666666667,San Antonio Spurs,Philadelphia 76ers,4,109-85,21,three point jumper,False,27,False,False
2014-12-10,12.5666666667,San Antonio Spurs,Toronto Raptors,2,25-36,-12,free throw,False,15,True,True
2014-12-10,12.5666666667,San Antonio Spurs,Toronto Raptors,2,26-36,-11,free throw,False,15,True,True
2014-12-10,14.8333333333,San Antonio Spurs,Toronto Raptors,2,31-38,-10,three point jumper,False,26,False,True
2014-12-10,36.4666666667,San Antonio Spurs,Toronto Raptors,4,92-74,15,three point jumper,False,27,True,True
2014-12-10,37.0666666667,San Antonio Spurs,Toronto Raptors,4,95-76,16,three point jumper,False,23,True,True
2014-12-10,37.65,San Antonio Spurs,Toronto Raptors,4,98-76,19,three point jumper,False,26,True,True
2014-12-10,39.25,San Antonio Spurs,Toronto Raptors,4,102-82,18,two point jumper,False,18,False,True
2014-12-10,47.2333333333,San Antonio Spurs,Toronto Raptors,4,116-98,16,two point jumper,False,22,False,True
2014-12-23,12.75,San Antonio Spurs,Toronto Raptors,2,26-27,-2,three point jumper,True,25,False,False
2014-12-23,14.0666666667,San Antonio Spurs,Toronto Raptors,2,28-29,-1,two point jumper,True,15,False,False
2014-12-23,14.2,San Antonio Spurs,Toronto Raptors,2,28-31,1,two point shot,True,1,True,False
2014-12-23,15.8833333333,San Antonio Spurs,Toronto Raptors,2,31-37,4,two point shot,True,21,True,False
