date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-11-22,3.45,Indiana Pacers,Boston Celtics,1,7-4,0,three point jumper,False,27,False,True
2014-11-22,5.16666666667,Indiana Pacers,Boston Celtics,1,9-10,-3,two point jumper,False,21,True,True
2014-11-22,7.48333333333,Indiana Pacers,Boston Celtics,1,14-17,-4,free throw,False,15,True,True
2014-11-22,8.21666666667,Indiana Pacers,Boston Celtics,1,16-17,-3,two point shot,False,18,True,True
2014-11-22,8.73333333333,Indiana Pacers,Boston Celtics,1,16-17,-3,two point jumper,False,19,False,True
2014-11-22,11.9833333333,Indiana Pacers,Boston Celtics,1,20-25,-7,unknown,False,4,False,True
2014-11-22,22.2833333333,Indiana Pacers,Boston Celtics,2,39-47,-10,two point jumper,False,12,False,True
2014-11-22,23.9333333333,Indiana Pacers,Boston Celtics,2,42-47,-7,two point shot,False,22,False,True
2014-11-22,24.3333333333,Indiana Pacers,Boston Celtics,3,42-50,-10,two point jumper,False,18,False,True
2014-11-22,25.45,Indiana Pacers,Boston Celtics,3,45-50,-8,three point jumper,False,25,True,True
2014-11-22,31.9166666667,Indiana Pacers,Boston Celtics,3,58-56,-1,three point jumper,False,25,True,True
2014-11-22,33.2833333333,Indiana Pacers,Boston Celtics,3,60-56,1,three point jumper,False,25,False,True
2014-11-22,33.8166666667,Indiana Pacers,Boston Celtics,3,62-56,4,two point jumper,False,20,True,True
2014-11-22,35.0333333333,Indiana Pacers,Boston Celtics,3,64-56,5,three point jumper,False,25,False,True
2014-11-22,39.6166666667,Indiana Pacers,Boston Celtics,4,73-64,7,two point shot,False,10,True,True
2014-11-22,42.2,Indiana Pacers,Boston Celtics,4,81-66,13,layup,False,0,True,True
2014-11-22,42.2,Indiana Pacers,Boston Celtics,4,82-66,15,free throw,False,15,True,True
2014-11-22,42.7833333333,Indiana Pacers,Boston Celtics,4,82-68,11,three point jumper,False,24,False,True
2014-11-22,43.0333333333,Indiana Pacers,Boston Celtics,4,86-68,16,dunk,False,0,True,True
2014-11-22,45.1833333333,Indiana Pacers,Boston Celtics,4,91-75,15,free throw,False,15,True,True
2014-11-22,45.1833333333,Indiana Pacers,Boston Celtics,4,92-75,16,free throw,False,15,True,True
2014-11-22,45.95,Indiana Pacers,Boston Celtics,4,92-77,12,three point jumper,False,25,False,True
2014-11-22,46.5166666667,Indiana Pacers,Boston Celtics,4,93-80,12,free throw,False,15,True,True
2014-11-22,46.5166666667,Indiana Pacers,Boston Celtics,4,94-80,13,free throw,False,15,True,True
2014-11-22,47.0833333333,Indiana Pacers,Boston Celtics,4,94-80,12,two point jumper,False,18,False,True
2014-11-22,47.4666666667,Indiana Pacers,Boston Celtics,4,97-80,14,three point jumper,False,25,True,True
2014-12-22,4.78333333333,Indiana Pacers,Boston Celtics,1,6-8,-1,three point jumper,True,27,False,False
2014-12-22,5.31666666667,Indiana Pacers,Boston Celtics,1,8-8,-2,two point jumper,True,6,False,False
2014-12-22,10.75,Indiana Pacers,Boston Celtics,1,15-18,1,two point shot,True,13,True,False
2014-12-22,11.35,Indiana Pacers,Boston Celtics,1,17-18,-1,two point jumper,True,17,False,False
2014-12-22,20.5166666667,Indiana Pacers,Boston Celtics,2,28-44,14,layup,True,0,True,False
2014-12-22,21.55,Indiana Pacers,Boston Celtics,2,28-47,17,two point jumper,True,10,False,False
2014-12-22,23.7833333333,Indiana Pacers,Boston Celtics,2,37-52,13,two point shot,True,1,True,False
2014-12-22,26.75,Indiana Pacers,Boston Celtics,3,41-58,15,layup,True,0,True,False
2014-12-22,27.6166666667,Indiana Pacers,Boston Celtics,3,41-62,19,two point jumper,True,2,True,False
2014-12-22,29.1333333333,Indiana Pacers,Boston Celtics,3,41-65,23,free throw,True,15,True,False
2014-12-22,29.1333333333,Indiana Pacers,Boston Celtics,3,41-65,23,free throw,True,15,False,False
2014-12-22,30.6,Indiana Pacers,Boston Celtics,3,44-68,21,three point jumper,True,27,True,False
2014-12-22,30.6,Indiana Pacers,Boston Celtics,3,44-69,24,free throw,True,15,True,False
2014-12-22,31.4166666667,Indiana Pacers,Boston Celtics,3,44-71,25,layup,True,0,True,False
2014-12-22,33.8666666667,Indiana Pacers,Boston Celtics,3,52-75,21,two point shot,True,18,True,False
2014-12-22,34.4666666667,Indiana Pacers,Boston Celtics,3,52-78,23,three point jumper,True,27,True,False
