date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-10-30,33.5666666667,Brooklyn Nets,Cleveland Cavaliers,3,68-75,-9,layup,False,0,False,False
2014-10-30,36.4333333333,Brooklyn Nets,Cleveland Cavaliers,4,71-79,-9,free throw,False,15,True,False
2014-10-30,36.4333333333,Brooklyn Nets,Cleveland Cavaliers,4,72-79,-8,free throw,False,15,True,False
2014-10-30,42.7333333333,Brooklyn Nets,Cleveland Cavaliers,4,86-86,-2,layup,False,0,True,False
2014-10-30,42.7333333333,Brooklyn Nets,Cleveland Cavaliers,4,86-86,-1,free throw,False,15,False,False
2014-10-30,42.8166666667,Brooklyn Nets,Cleveland Cavaliers,4,86-86,-2,two point jumper,False,11,False,False
2014-10-30,44.0333333333,Brooklyn Nets,Cleveland Cavaliers,4,86-86,-2,layup,False,0,False,False
2014-11-01,31.0333333333,Brooklyn Nets,Miami Heat,3,55-67,11,free throw,True,15,True,True
2014-11-01,31.0333333333,Brooklyn Nets,Miami Heat,3,55-67,11,free throw,True,15,False,True
2014-11-03,46.3,Brooklyn Nets,Orlando Magic,4,84-103,-21,layup,False,0,False,True
2014-11-05,11.1833333333,Brooklyn Nets,Utah Jazz,1,17-24,6,free throw,True,15,False,False
2014-11-05,11.1833333333,Brooklyn Nets,Utah Jazz,1,17-24,6,free throw,True,15,False,False
2014-11-05,41.95,Brooklyn Nets,Utah Jazz,4,71-96,23,layup,True,0,True,False
2014-11-05,43.85,Brooklyn Nets,Utah Jazz,4,75-100,23,two point shot,True,4,True,False
2014-11-05,45.65,Brooklyn Nets,Utah Jazz,4,79-102,21,two point shot,True,9,False,False
2014-11-05,47.3666666667,Brooklyn Nets,Utah Jazz,4,87-103,15,free throw,True,15,False,False
2014-11-05,47.3666666667,Brooklyn Nets,Utah Jazz,4,87-104,16,free throw,True,15,True,False
2014-11-08,38.25,Brooklyn Nets,Washington Wizards,4,78-76,1,free throw,False,15,True,False
2014-11-08,38.25,Brooklyn Nets,Washington Wizards,4,79-76,2,free throw,False,15,True,False
2014-11-13,35.5833333333,Brooklyn Nets,Sacramento Kings,3,59-80,-23,dunk,False,0,True,True
2014-11-13,36.3333333333,Brooklyn Nets,Sacramento Kings,4,60-80,-21,free throw,False,15,True,True
2014-11-13,36.3333333333,Brooklyn Nets,Sacramento Kings,4,61-80,-20,free throw,False,15,True,True
2014-11-13,37.75,Brooklyn Nets,Sacramento Kings,4,66-80,-16,two point jumper,False,6,False,True
2014-11-15,39.2,Brooklyn Nets,Phoenix Suns,4,76-78,-4,layup,False,0,False,False
2014-11-16,43.3166666667,Brooklyn Nets,Los Angeles Clippers,4,90-92,-4,dunk,False,0,True,False
2014-11-18,6.45,Brooklyn Nets,Portland Trail Blazers,1,18-23,3,layup,True,0,True,True
2014-11-18,6.45,Brooklyn Nets,Portland Trail Blazers,1,18-24,5,free throw,True,15,True,True
2014-11-18,18.3833333333,Brooklyn Nets,Portland Trail Blazers,2,44-49,3,layup,True,0,False,True
2014-11-18,21.4166666667,Brooklyn Nets,Portland Trail Blazers,2,49-56,6,free throw,True,15,True,True
2014-11-18,21.4166666667,Brooklyn Nets,Portland Trail Blazers,2,49-57,7,free throw,True,15,True,True
2014-11-18,23.5,Brooklyn Nets,Portland Trail Blazers,2,56-61,3,hook shot,True,4,False,True
2014-11-18,41.6,Brooklyn Nets,Portland Trail Blazers,4,101-89,-14,tip shot,True,0,False,True
2014-11-20,26.05,Brooklyn Nets,Charlotte Bobcats,3,54-57,-5,layup,False,0,False,False
2014-11-24,32.4833333333,Brooklyn Nets,Detroit Pistons,3,66-60,-7,free throw,True,15,False,True
2014-11-24,32.4833333333,Brooklyn Nets,Detroit Pistons,3,66-61,-6,free throw,True,15,True,True
2014-11-29,30.7833333333,Brooklyn Nets,Houston Rockets,3,50-80,-32,layup,False,0,True,True
2014-11-29,39.5,Brooklyn Nets,Houston Rockets,4,71-98,-29,two point shot,False,1,True,True
2014-11-29,40.4833333333,Brooklyn Nets,Houston Rockets,4,73-101,-30,two point shot,False,1,False,True
2014-12-03,17.5666666667,Brooklyn Nets,Denver Nuggets,2,42-38,-5,free throw,True,15,False,True
2014-12-03,17.5666666667,Brooklyn Nets,Denver Nuggets,2,42-38,-5,free throw,True,15,False,True
2014-12-03,40.7833333333,Brooklyn Nets,Denver Nuggets,4,101-76,-26,free throw,True,15,True,True
2014-12-03,40.7833333333,Brooklyn Nets,Denver Nuggets,4,101-77,-25,free throw,True,15,True,True
2014-12-03,43.7833333333,Brooklyn Nets,Denver Nuggets,4,107-82,-26,free throw,True,15,True,True
2014-12-03,43.7833333333,Brooklyn Nets,Denver Nuggets,4,107-82,-26,free throw,True,15,False,True
2014-12-07,12.3166666667,Brooklyn Nets,Milwaukee Bucks,2,20-18,1,free throw,False,15,False,True
2014-12-07,12.3166666667,Brooklyn Nets,Milwaukee Bucks,2,20-18,1,free throw,False,15,False,True
2014-12-07,36.9666666667,Brooklyn Nets,Milwaukee Bucks,4,70-60,8,layup,False,0,True,True
2014-12-07,40.6,Brooklyn Nets,Milwaukee Bucks,4,78-67,9,layup,False,0,True,True
2014-12-13,1.38333333333,Brooklyn Nets,Detroit Pistons,1,2-2,-1,free throw,False,15,False,True
2014-12-13,1.38333333333,Brooklyn Nets,Detroit Pistons,1,3-2,0,free throw,False,15,True,True
2014-12-13,4.98333333333,Brooklyn Nets,Detroit Pistons,1,11-6,3,layup,False,0,False,True
2014-12-13,8.35,Brooklyn Nets,Detroit Pistons,1,18-15,1,dunk,False,0,True,True
2014-12-25,35.2833333333,Brooklyn Nets,Chicago Bulls,3,75-56,-20,free throw,True,15,False,False
2014-12-25,35.2833333333,Brooklyn Nets,Chicago Bulls,3,75-56,-20,free throw,True,15,False,False
2014-12-25,36.0,Brooklyn Nets,Chicago Bulls,3,77-58,-21,dunk,True,0,True,False
2014-12-25,46.3,Brooklyn Nets,Chicago Bulls,4,95-76,-20,free throw,True,15,True,False
2014-12-25,46.3,Brooklyn Nets,Chicago Bulls,4,95-77,-19,free throw,True,15,True,False
2014-12-25,47.0666666667,Brooklyn Nets,Chicago Bulls,4,95-77,-19,free throw,True,15,False,False
2014-12-25,47.0666666667,Brooklyn Nets,Chicago Bulls,4,95-78,-18,free throw,True,15,True,False
2014-12-27,34.2166666667,Brooklyn Nets,Milwaukee Bucks,3,56-71,13,dunk,True,0,True,False
