date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-11-15,16.1333333333,Portland Trail Blazers,Boston Celtics,2,32-36,-6,two point shot,False,10,True,False
2014-11-15,19.35,Portland Trail Blazers,Boston Celtics,2,44-43,0,free throw,False,15,True,False
2014-11-15,19.35,Portland Trail Blazers,Boston Celtics,2,44-43,0,free throw,False,15,False,False
2014-11-15,26.8166666667,Portland Trail Blazers,Boston Celtics,3,63-59,2,hook shot,False,10,False,False
2014-11-15,44.1666666667,Portland Trail Blazers,Boston Celtics,4,105-93,10,layup,False,0,False,False
2014-01-11,1.7,Portland Trail Blazers,Boston Celtics,1,4-2,-4,tip shot,True,0,False,True
2014-01-11,3.5,Portland Trail Blazers,Boston Celtics,1,8-6,-4,layup,True,0,True,True
2014-01-11,3.95,Portland Trail Blazers,Boston Celtics,1,10-6,-6,two point jumper,True,1,False,True
2014-01-11,5.1,Portland Trail Blazers,Boston Celtics,1,12-10,-4,two point shot,True,1,True,True
2014-01-11,8.15,Portland Trail Blazers,Boston Celtics,1,22-15,-9,hook shot,True,8,False,True
2014-01-11,21.05,Portland Trail Blazers,Boston Celtics,2,51-47,-6,two point shot,True,1,True,True
2014-01-11,21.05,Portland Trail Blazers,Boston Celtics,2,51-48,-4,free throw,True,15,True,True
2014-01-11,23.15,Portland Trail Blazers,Boston Celtics,2,56-54,-4,hook shot,True,1,False,True
2014-01-11,24.9333333333,Portland Trail Blazers,Boston Celtics,3,62-60,-4,layup,True,0,True,True
2014-01-11,25.55,Portland Trail Blazers,Boston Celtics,3,64-62,-4,two point shot,True,1,True,True
2014-01-11,30.4166666667,Portland Trail Blazers,Boston Celtics,3,68-74,5,free throw,True,15,True,True
2014-01-11,30.4166666667,Portland Trail Blazers,Boston Celtics,3,68-75,6,free throw,True,15,True,True
2014-01-11,31.4833333333,Portland Trail Blazers,Boston Celtics,3,70-77,5,two point jumper,True,11,False,True
2014-01-11,40.3833333333,Portland Trail Blazers,Boston Celtics,4,91-99,6,tip shot,True,0,False,True
2014-01-11,46.8333333333,Portland Trail Blazers,Boston Celtics,4,102-109,6,free throw,True,15,True,True
2014-01-11,46.8333333333,Portland Trail Blazers,Boston Celtics,4,102-110,7,free throw,True,15,True,True
2014-11-18,2.63333333333,Portland Trail Blazers,Brooklyn Nets,1,7-8,-3,two point jumper,False,15,True,False
2014-11-18,5.35,Portland Trail Blazers,Brooklyn Nets,1,13-17,-6,hook shot,False,10,False,False
2014-11-18,15.4,Portland Trail Blazers,Brooklyn Nets,2,41-47,-8,two point shot,False,1,True,False
2014-11-18,17.1333333333,Portland Trail Blazers,Brooklyn Nets,2,43-47,-6,two point shot,False,5,True,False
2014-02-26,5.1,Portland Trail Blazers,Brooklyn Nets,1,6-13,5,two point shot,True,1,True,False
2014-02-26,17.7833333333,Portland Trail Blazers,Brooklyn Nets,2,26-36,9,free throw,True,15,True,False
2014-02-26,17.7833333333,Portland Trail Blazers,Brooklyn Nets,2,26-36,9,free throw,True,15,False,False
2014-02-26,22.4833333333,Portland Trail Blazers,Brooklyn Nets,2,34-53,17,dunk,True,0,True,False
2014-02-26,24.6833333333,Portland Trail Blazers,Brooklyn Nets,3,34-60,24,layup,True,0,True,False
2014-02-26,26.3166666667,Portland Trail Blazers,Brooklyn Nets,3,36-62,24,two point jumper,True,18,False,False
2014-02-26,27.3833333333,Portland Trail Blazers,Brooklyn Nets,3,38-62,22,tip shot,True,0,False,False
2014-02-26,28.95,Portland Trail Blazers,Brooklyn Nets,3,40-64,23,free throw,True,15,True,False
2014-02-26,28.95,Portland Trail Blazers,Brooklyn Nets,3,40-65,24,free throw,True,15,True,False
2014-02-26,29.3833333333,Portland Trail Blazers,Brooklyn Nets,3,40-67,25,layup,True,0,True,False
2014-11-25,1.08333333333,Portland Trail Blazers,New York Knicks,1,2-4,0,layup,True,0,True,False
2014-11-25,2.71666666667,Portland Trail Blazers,New York Knicks,1,6-9,1,two point shot,True,1,True,False
2014-11-25,7.78333333333,Portland Trail Blazers,New York Knicks,1,12-22,8,hook shot,True,5,False,False
2014-11-25,18.7333333333,Portland Trail Blazers,New York Knicks,2,26-46,18,layup,True,0,True,False
2014-11-25,27.8166666667,Portland Trail Blazers,New York Knicks,3,47-62,14,free throw,True,15,True,False
2014-11-25,27.8166666667,Portland Trail Blazers,New York Knicks,3,47-63,15,free throw,True,15,True,False
2014-11-25,33.6166666667,Portland Trail Blazers,New York Knicks,3,63-74,10,free throw,True,15,True,False
2014-11-25,33.6166666667,Portland Trail Blazers,New York Knicks,3,63-74,10,free throw,True,15,False,False
2014-11-25,34.6,Portland Trail Blazers,New York Knicks,3,63-77,12,layup,True,0,False,False
2014-11-25,40.85,Portland Trail Blazers,New York Knicks,4,76-90,12,two point jumper,True,1,False,False
2014-02-05,25.0666666667,Portland Trail Blazers,New York Knicks,3,47-48,-3,two point jumper,False,6,False,True
2014-02-05,25.6333333333,Portland Trail Blazers,New York Knicks,3,48-48,-1,free throw,False,15,True,True
2014-02-05,25.6333333333,Portland Trail Blazers,New York Knicks,3,49-48,0,free throw,False,15,True,True
2014-02-05,26.25,Portland Trail Blazers,New York Knicks,3,51-49,0,two point shot,False,1,True,True
2014-02-05,29.6333333333,Portland Trail Blazers,New York Knicks,3,57-55,1,free throw,False,15,True,True
2014-02-05,29.6333333333,Portland Trail Blazers,New York Knicks,3,58-55,2,free throw,False,15,True,True
2014-02-05,37.5666666667,Portland Trail Blazers,New York Knicks,4,77-72,3,two point jumper,False,11,False,True
2014-02-05,41.95,Portland Trail Blazers,New York Knicks,4,81-76,4,free throw,False,15,True,True
2014-02-05,41.95,Portland Trail Blazers,New York Knicks,4,82-76,5,free throw,False,15,True,True
2014-02-05,44.8166666667,Portland Trail Blazers,New York Knicks,4,86-80,5,free throw,False,15,True,True
2014-02-05,44.8166666667,Portland Trail Blazers,New York Knicks,4,86-80,5,free throw,False,15,False,True
2014-12-14,1.33333333333,Portland Trail Blazers,Philadelphia 76ers,1,2-4,-4,layup,False,0,False,True
2014-12-14,3.68333333333,Portland Trail Blazers,Philadelphia 76ers,1,9-10,-3,two point jumper,False,1,False,True
2014-12-14,5.03333333333,Portland Trail Blazers,Philadelphia 76ers,1,17-14,1,layup,False,0,True,True
2014-12-14,7.41666666667,Portland Trail Blazers,Philadelphia 76ers,1,22-17,3,two point jumper,False,1,False,True
2014-12-14,18.6333333333,Portland Trail Blazers,Philadelphia 76ers,2,53-50,1,two point jumper,False,1,True,True
2014-12-14,20.1,Portland Trail Blazers,Philadelphia 76ers,2,56-55,0,free throw,False,15,True,True
2014-12-14,20.1,Portland Trail Blazers,Philadelphia 76ers,2,57-55,1,free throw,False,15,True,True
2014-12-14,22.4666666667,Portland Trail Blazers,Philadelphia 76ers,2,64-60,2,two point jumper,False,18,True,True
2014-12-14,28.3833333333,Portland Trail Blazers,Philadelphia 76ers,3,84-69,13,dunk,False,0,True,True
2014-12-14,29.9166666667,Portland Trail Blazers,Philadelphia 76ers,3,92-70,20,layup,False,0,True,True
2014-12-14,34.4833333333,Portland Trail Blazers,Philadelphia 76ers,3,103-76,26,free throw,False,15,False,True
2014-12-14,34.4833333333,Portland Trail Blazers,Philadelphia 76ers,3,103-76,26,free throw,False,15,False,True
2014-01-04,2.06666666667,Portland Trail Blazers,Philadelphia 76ers,1,9-2,-9,two point jumper,True,1,True,True
2014-01-04,6.1,Portland Trail Blazers,Philadelphia 76ers,1,20-6,-15,free throw,True,15,False,True
2014-01-04,6.1,Portland Trail Blazers,Philadelphia 76ers,1,20-7,-14,free throw,True,15,True,True
2014-01-04,12.7666666667,Portland Trail Blazers,Philadelphia 76ers,2,32-21,-13,two point jumper,True,18,True,True
2014-01-04,17.7333333333,Portland Trail Blazers,Philadelphia 76ers,2,41-34,-9,two point jumper,True,20,True,True
2014-01-04,23.0166666667,Portland Trail Blazers,Philadelphia 76ers,2,50-49,-2,free throw,True,15,False,True
2014-01-04,23.0166666667,Portland Trail Blazers,Philadelphia 76ers,2,50-50,-1,free throw,True,15,True,True
2014-01-04,25.9,Portland Trail Blazers,Philadelphia 76ers,3,54-54,-2,tip shot,True,0,False,True
2014-01-04,26.8833333333,Portland Trail Blazers,Philadelphia 76ers,3,56-58,0,two point shot,True,1,True,True
2014-01-04,36.8833333333,Portland Trail Blazers,Philadelphia 76ers,4,73-78,3,hook shot,True,4,False,True
2014-01-04,37.3,Portland Trail Blazers,Philadelphia 76ers,4,75-78,2,free throw,True,15,False,True
2014-01-04,37.3,Portland Trail Blazers,Philadelphia 76ers,4,75-78,2,free throw,True,15,False,True
2014-01-04,42.45,Portland Trail Blazers,Philadelphia 76ers,4,84-84,-2,hook shot,True,5,False,True
2014-01-04,45.4666666667,Portland Trail Blazers,Philadelphia 76ers,4,90-88,-4,tip shot,True,0,False,True
2014-01-04,45.4833333333,Portland Trail Blazers,Philadelphia 76ers,4,90-89,-2,free throw,True,15,True,True
2014-01-04,45.4833333333,Portland Trail Blazers,Philadelphia 76ers,4,90-90,-1,free throw,True,15,True,True
2014-01-04,47.1,Portland Trail Blazers,Philadelphia 76ers,4,94-93,-2,free throw,True,15,True,True
2014-01-04,47.1,Portland Trail Blazers,Philadelphia 76ers,4,94-94,-1,free throw,True,15,True,True
2014-11-17,27.1333333333,Portland Trail Blazers,Toronto Raptors,3,64-58,4,two point shot,False,1,True,True
2014-11-17,28.8166666667,Portland Trail Blazers,Toronto Raptors,3,64-60,2,hook shot,False,1,False,True
2014-11-17,37.3,Portland Trail Blazers,Toronto Raptors,4,80-71,8,free throw,False,15,True,True
2014-11-17,37.3,Portland Trail Blazers,Toronto Raptors,4,81-71,9,free throw,False,15,True,True
2014-11-17,43.35,Portland Trail Blazers,Toronto Raptors,4,95-83,11,free throw,False,15,True,True
2014-11-17,43.35,Portland Trail Blazers,Toronto Raptors,4,96-83,12,free throw,False,15,True,True
2014-02-01,4.0,Portland Trail Blazers,Toronto Raptors,1,6-11,3,two point jumper,True,6,False,True
2014-02-01,5.81666666667,Portland Trail Blazers,Toronto Raptors,1,6-13,5,two point jumper,True,21,False,True
2014-02-01,12.45,Portland Trail Blazers,Toronto Raptors,2,19-31,10,layup,True,0,False,True
2014-02-01,13.7666666667,Portland Trail Blazers,Toronto Raptors,2,19-35,14,two point shot,True,1,True,True
2014-02-01,26.5,Portland Trail Blazers,Toronto Raptors,3,46-61,13,layup,True,0,False,True
2014-02-01,36.8,Portland Trail Blazers,Toronto Raptors,4,74-88,12,two point shot,True,5,True,True
2014-02-01,37.8666666667,Portland Trail Blazers,Toronto Raptors,4,77-90,11,two point shot,True,1,True,True
2014-02-01,39.6333333333,Portland Trail Blazers,Toronto Raptors,4,79-95,14,two point shot,True,1,True,True
2014-11-23,2.0,Portland Trail Blazers,Golden State Warriors,1,6-5,-1,two point shot,False,10,True,True
