date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-01-10,14.8833333333,Miami Heat,Brooklyn Nets,2,32-33,-3,two point jumper,False,1,False,True
2014-01-10,23.9,Miami Heat,Brooklyn Nets,2,45-53,-11,three point jumper,False,23,False,True
2014-01-10,37.9666666667,Miami Heat,Brooklyn Nets,4,69-78,-10,free throw,False,15,True,True
2014-01-10,37.9666666667,Miami Heat,Brooklyn Nets,4,70-78,-9,free throw,False,15,True,True
2014-01-10,37.9666666667,Miami Heat,Brooklyn Nets,4,71-78,-8,free throw,False,15,True,True
2014-01-10,41.8166666667,Miami Heat,Brooklyn Nets,4,79-81,-5,three point jumper,False,23,False,True
2014-01-09,10.1833333333,Miami Heat,New York Knicks,1,20-19,-2,three point jumper,False,25,False,True
2014-01-09,14.8166666667,Miami Heat,New York Knicks,2,29-29,-3,three point jumper,False,23,False,True
2014-10-30,2.25,Miami Heat,Philadelphia 76ers,1,0-9,-12,three point jumper,False,25,False,False
2014-10-30,22.2666666667,Miami Heat,Philadelphia 76ers,2,45-46,-4,three point jumper,False,23,True,False
2014-10-30,24.6333333333,Miami Heat,Philadelphia 76ers,3,49-53,-6,two point jumper,False,19,False,False
2014-01-17,46.9666666667,Miami Heat,Philadelphia 76ers,4,101-84,14,three point jumper,False,25,True,False
2014-01-05,36.7666666667,Miami Heat,Toronto Raptors,4,84-82,-5,three point jumper,True,24,True,False
2014-01-05,39.95,Miami Heat,Toronto Raptors,4,84-86,-1,three point jumper,True,26,False,False
2014-01-23,34.6,Miami Heat,Los Angeles Lakers,3,71-81,7,three point jumper,True,25,False,True
2014-11-25,12.95,Miami Heat,Phoenix Suns,2,21-26,3,layup,True,0,False,False
2014-11-25,15.25,Miami Heat,Phoenix Suns,2,25-28,0,three point jumper,True,26,False,False
2014-11-25,38.6833333333,Miami Heat,Phoenix Suns,4,73-87,12,two point jumper,True,21,False,False
2014-12-20,46.4833333333,Miami Heat,Sacramento Kings,4,98-121,20,three point jumper,True,26,False,True
2014-12-27,5.6,Miami Heat,Sacramento Kings,1,17-6,10,free throw,False,15,True,False
2014-12-27,13.6333333333,Miami Heat,Sacramento Kings,2,32-23,6,three point jumper,False,23,False,False
2014-12-27,18.2,Miami Heat,Sacramento Kings,2,40-33,5,layup,False,0,False,False
2014-12-27,23.3166666667,Miami Heat,Sacramento Kings,2,55-43,9,three point jumper,False,26,False,False
2014-12-27,26.6833333333,Miami Heat,Sacramento Kings,3,62-51,8,three point jumper,False,25,True,False
2014-12-27,27.2,Miami Heat,Sacramento Kings,3,62-51,8,three point jumper,False,26,False,False
2014-12-05,13.9333333333,Miami Heat,Chicago Bulls,2,24-31,-9,two point jumper,False,18,True,True
2014-12-05,14.4333333333,Miami Heat,Chicago Bulls,2,24-33,-12,three point jumper,False,24,False,True
2014-12-05,38.8666666667,Miami Heat,Chicago Bulls,4,67-89,-25,three point jumper,False,23,False,True
2014-12-05,39.0,Miami Heat,Chicago Bulls,4,69-89,-22,two point jumper,False,22,True,True
2014-12-05,39.9,Miami Heat,Chicago Bulls,4,71-91,-23,three point jumper,False,25,False,True
2014-12-05,41.8166666667,Miami Heat,Chicago Bulls,4,79-93,-17,three point jumper,False,25,True,True
2014-12-05,44.2833333333,Miami Heat,Chicago Bulls,4,81-98,-19,layup,False,0,False,True
2014-12-05,46.8833333333,Miami Heat,Chicago Bulls,4,85-105,-23,three point jumper,False,26,False,True
2014-12-08,33.0,Miami Heat,Detroit Pistons,3,84-64,17,three point jumper,False,24,True,False
2014-12-08,34.4666666667,Miami Heat,Detroit Pistons,3,86-70,13,three point jumper,False,27,False,False
2014-12-08,34.9833333333,Miami Heat,Detroit Pistons,3,91-70,18,three point jumper,False,24,True,False
2014-12-08,38.3833333333,Miami Heat,Detroit Pistons,4,96-74,19,three point jumper,False,26,True,False
2014-12-08,40.0,Miami Heat,Detroit Pistons,4,98-78,17,three point jumper,False,28,False,False
2014-12-08,43.2833333333,Miami Heat,Detroit Pistons,4,104-86,15,three point jumper,False,24,True,False
2014-11-12,19.4166666667,Miami Heat,Milwaukee Bucks,2,31-48,15,two point jumper,True,17,False,False
2014-01-07,12.6833333333,Miami Heat,New Orleans Pelicans,2,24-25,-2,three point jumper,True,23,False,False
2014-01-07,40.0,Miami Heat,New Orleans Pelicans,4,72-85,10,three point jumper,True,25,False,False
2014-01-26,46.0166666667,Miami Heat,San Antonio Spurs,4,93-109,13,three point jumper,True,24,True,True
2014-01-26,47.0833333333,Miami Heat,San Antonio Spurs,4,97-111,11,three point jumper,True,23,False,True
2014-11-19,47.2,Miami Heat,Atlanta Hawks,4,86-99,11,two point jumper,True,18,False,False
2014-11-19,47.2666666667,Miami Heat,Atlanta Hawks,4,86-102,13,three point jumper,True,25,True,False
2014-12-23,12.95,Miami Heat,Atlanta Hawks,2,23-33,7,three point jumper,True,23,False,True
2014-12-23,14.1333333333,Miami Heat,Atlanta Hawks,2,25-39,11,three point jumper,True,25,True,True
2014-12-23,18.0666666667,Miami Heat,Atlanta Hawks,2,40-41,-2,three point jumper,True,23,False,True
2014-12-23,37.8166666667,Miami Heat,Atlanta Hawks,4,86-82,-6,two point jumper,True,19,True,True
2014-12-23,39.8,Miami Heat,Atlanta Hawks,4,91-89,-5,three point jumper,True,23,True,True
2014-12-23,41.9166666667,Miami Heat,Atlanta Hawks,4,94-94,-3,three point jumper,True,25,False,True
2014-12-23,42.2,Miami Heat,Atlanta Hawks,4,94-94,-3,three point jumper,True,25,False,True
2014-01-20,15.4333333333,Miami Heat,Atlanta Hawks,2,38-48,-12,two point jumper,False,21,False,False
2014-01-20,16.9833333333,Miami Heat,Atlanta Hawks,2,40-52,-14,layup,False,0,False,False
2014-11-16,12.9333333333,Miami Heat,Charlotte Bobcats,2,30-16,13,free throw,False,15,True,True
2014-11-16,13.7,Miami Heat,Charlotte Bobcats,2,32-18,11,three point jumper,False,26,False,True
2014-11-16,36.8166666667,Miami Heat,Charlotte Bobcats,4,71-62,6,three point jumper,False,25,True,True
2014-11-16,41.95,Miami Heat,Charlotte Bobcats,4,82-72,9,free throw,False,15,True,True
2014-11-16,41.95,Miami Heat,Charlotte Bobcats,4,83-72,10,free throw,False,15,True,True
2014-11-16,43.1666666667,Miami Heat,Charlotte Bobcats,4,85-72,10,three point jumper,False,25,False,True
2014-11-16,46.3666666667,Miami Heat,Charlotte Bobcats,4,95-79,13,three point jumper,False,26,True,True
2014-11-16,47.2333333333,Miami Heat,Charlotte Bobcats,4,97-81,13,three point jumper,False,25,False,True
2014-01-18,16.5,Miami Heat,Charlotte Bobcats,2,40-45,-7,two point jumper,False,18,True,False
2014-11-20,44.4833333333,Miami Heat,Orlando Magic,4,114-78,33,three point jumper,False,23,True,False
2014-11-20,44.9333333333,Miami Heat,Orlando Magic,4,114-80,31,three point jumper,False,26,False,False
