date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-11-29,41.5666666667,Houston Rockets,Brooklyn Nets,4,77-103,23,three point jumper,True,24,False,False
2014-11-29,44.05,Houston Rockets,Brooklyn Nets,4,82-109,24,three point jumper,True,23,False,False
2014-11-04,46.1,Houston Rockets,Los Angeles Clippers,4,116-134,-19,free throw,False,15,False,False
2014-11-04,46.1,Houston Rockets,Los Angeles Clippers,4,116-134,-19,free throw,False,15,False,False
2014-01-08,21.0833333333,Houston Rockets,Los Angeles Lakers,2,47-41,-8,two point jumper,True,5,False,False
2014-01-08,26.7666666667,Houston Rockets,Los Angeles Lakers,3,60-57,-6,three point jumper,True,24,False,False
2014-12-18,46.3333333333,Houston Rockets,Chicago Bulls,4,88-106,16,two point shot,True,1,True,False
2014-12-18,47.4666666667,Houston Rockets,Chicago Bulls,4,91-109,16,two point jumper,True,19,False,False
2014-12-21,23.9333333333,Houston Rockets,Detroit Pistons,2,61-53,5,three point jumper,False,24,False,False
2014-12-21,46.9166666667,Houston Rockets,Detroit Pistons,4,111-95,13,three point jumper,False,23,False,False
2014-12-20,43.7833333333,Houston Rockets,Indiana Pacers,4,73-103,-32,two point jumper,False,20,False,True
2014-11-27,45.5833333333,Houston Rockets,Atlanta Hawks,4,84-110,23,three point jumper,True,23,True,False
2014-01-10,7.98333333333,Houston Rockets,Atlanta Hawks,1,11-4,5,layup,False,0,False,False
2014-01-10,31.8833333333,Houston Rockets,Atlanta Hawks,3,57-54,1,two point shot,False,18,False,False
2014-01-11,3.71666666667,Houston Rockets,Washington Wizards,1,5-6,-3,layup,False,0,True,True
2014-01-11,30.7,Houston Rockets,Washington Wizards,3,83-61,19,three point jumper,False,24,False,True
2014-01-20,39.1333333333,Houston Rockets,Portland Trail Blazers,4,95-110,12,three point jumper,True,24,False,True
