date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-10-30,0.433333333333,Toronto Raptors,Boston Celtics,1,0-0,-3,three point jumper,True,25,False,True
2014-10-30,3.21666666667,Toronto Raptors,Boston Celtics,1,8-2,-8,two point jumper,True,16,False,True
2014-10-30,4.38333333333,Toronto Raptors,Boston Celtics,1,9-4,-7,two point jumper,True,19,False,True
2014-10-30,7.35,Toronto Raptors,Boston Celtics,1,13-10,-5,two point shot,True,19,True,True
2014-10-30,8.56666666667,Toronto Raptors,Boston Celtics,1,15-14,-3,two point shot,True,1,True,True
2014-10-30,12.05,Toronto Raptors,Boston Celtics,2,26-23,-5,two point shot,True,1,True,True
2014-10-30,13.7166666667,Toronto Raptors,Boston Celtics,2,28-28,-2,two point jumper,True,17,True,True
2014-10-30,24.8833333333,Toronto Raptors,Boston Celtics,3,40-52,9,three point jumper,True,27,True,True
2014-10-30,26.95,Toronto Raptors,Boston Celtics,3,42-56,12,two point jumper,True,1,False,True
2014-10-30,32.65,Toronto Raptors,Boston Celtics,3,57-65,6,two point jumper,True,18,False,True
2014-10-30,34.2833333333,Toronto Raptors,Boston Celtics,3,61-67,4,layup,True,0,False,True
2014-10-30,35.4666666667,Toronto Raptors,Boston Celtics,3,66-71,4,free throw,True,15,True,True
2014-10-30,35.4666666667,Toronto Raptors,Boston Celtics,3,66-71,4,free throw,True,15,False,True
2014-10-30,40.1,Toronto Raptors,Boston Celtics,4,76-78,0,two point shot,True,6,True,True
2014-10-30,40.3166666667,Toronto Raptors,Boston Celtics,4,78-79,0,free throw,True,15,True,True
2014-10-30,40.6,Toronto Raptors,Boston Celtics,4,78-79,-1,two point jumper,True,20,False,True
2014-10-30,43.5666666667,Toronto Raptors,Boston Celtics,4,78-84,4,two point jumper,True,17,True,True
2014-10-30,45.0,Toronto Raptors,Boston Celtics,4,80-88,6,two point shot,True,15,True,True
2014-10-30,46.1,Toronto Raptors,Boston Celtics,4,83-90,5,two point jumper,True,1,False,True
2014-10-30,46.85,Toronto Raptors,Boston Celtics,4,83-90,5,two point jumper,True,17,False,True
2014-02-22,1.11666666667,Sacramento Kings,Boston Celtics,1,0-0,-2,two point jumper,True,17,False,False
2014-02-22,6.6,Sacramento Kings,Boston Celtics,1,8-14,4,two point jumper,True,16,False,False
2014-02-22,7.23333333333,Sacramento Kings,Boston Celtics,1,8-14,4,two point jumper,True,20,False,False
2014-02-22,12.6333333333,Sacramento Kings,Boston Celtics,2,16-23,5,two point jumper,True,15,False,False
2014-02-22,13.5,Sacramento Kings,Boston Celtics,2,19-28,7,two point jumper,True,16,True,False
2014-02-22,13.8833333333,Sacramento Kings,Boston Celtics,2,19-29,9,free throw,True,15,True,False
2014-02-22,13.8833333333,Sacramento Kings,Boston Celtics,2,19-30,10,free throw,True,15,True,False
2014-02-22,16.8166666667,Sacramento Kings,Boston Celtics,2,27-34,5,two point jumper,True,6,False,False
2014-02-22,17.3166666667,Sacramento Kings,Boston Celtics,2,27-37,7,three point jumper,True,24,True,False
2014-02-22,19.0666666667,Sacramento Kings,Boston Celtics,2,31-39,6,two point jumper,True,8,True,False
2014-02-22,25.2666666667,Sacramento Kings,Boston Celtics,3,45-53,6,two point jumper,True,10,False,False
2014-02-22,27.65,Sacramento Kings,Boston Celtics,3,52-58,3,three point jumper,True,25,True,False
2014-02-22,30.9166666667,Sacramento Kings,Boston Celtics,3,58-68,8,two point jumper,True,23,True,False
2014-02-22,41.5,Sacramento Kings,Boston Celtics,4,84-85,-1,two point jumper,True,19,False,False
2014-02-22,42.2833333333,Sacramento Kings,Boston Celtics,4,85-88,1,two point jumper,True,21,True,False
2014-02-22,42.7,Sacramento Kings,Boston Celtics,4,85-90,3,layup,True,0,True,False
2014-02-22,43.25,Sacramento Kings,Boston Celtics,4,85-90,2,three point jumper,True,25,False,False
2014-02-22,43.6333333333,Sacramento Kings,Boston Celtics,4,87-91,3,free throw,True,15,True,False
2014-02-22,43.6333333333,Sacramento Kings,Boston Celtics,4,87-92,4,free throw,True,15,True,False
2014-02-22,45.75,Sacramento Kings,Boston Celtics,4,91-99,6,layup,True,0,True,False
2014-02-22,47.3333333333,Sacramento Kings,Boston Celtics,4,93-101,6,two point jumper,True,1,False,False
2014-02-22,47.85,Sacramento Kings,Boston Celtics,4,96-105,7,two point jumper,True,20,False,False
2014-11-26,1.63333333333,Toronto Raptors,Brooklyn Nets,1,4-3,-3,two point jumper,True,21,False,False
2014-11-26,3.05,Toronto Raptors,Brooklyn Nets,1,6-6,-2,two point jumper,True,17,False,False
2014-11-26,8.71666666667,Toronto Raptors,Brooklyn Nets,1,22-15,-9,two point jumper,True,9,False,False
2014-11-26,13.1333333333,Toronto Raptors,Brooklyn Nets,2,28-31,1,layup,True,0,False,False
2014-11-26,14.4,Toronto Raptors,Brooklyn Nets,2,32-34,1,free throw,True,15,True,False
2014-11-26,14.4,Toronto Raptors,Brooklyn Nets,2,32-35,2,free throw,True,15,True,False
2014-11-26,15.3833333333,Toronto Raptors,Brooklyn Nets,2,36-36,-3,three point jumper,True,27,False,False
2014-11-26,15.5833333333,Toronto Raptors,Brooklyn Nets,2,36-38,0,two point shot,True,16,True,False
2014-11-26,26.7166666667,Toronto Raptors,Brooklyn Nets,3,62-55,-9,two point jumper,True,21,False,False
2014-11-26,31.2166666667,Toronto Raptors,Brooklyn Nets,3,72-64,-10,dunk,True,0,False,False
2014-11-26,39.9666666667,Toronto Raptors,Brooklyn Nets,4,93-84,-11,two point shot,True,1,True,False
2014-11-26,42.2,Toronto Raptors,Brooklyn Nets,4,99-86,-15,two point jumper,True,1,False,False
2014-11-26,47.6166666667,Toronto Raptors,Brooklyn Nets,4,101-100,-4,three point jumper,True,26,True,False
2014-11-20,2.95,Toronto Raptors,Philadelphia 76ers,1,4-2,0,two point jumper,False,1,True,False
2014-11-20,11.1666666667,Toronto Raptors,Philadelphia 76ers,1,25-21,2,two point jumper,False,11,False,False
2014-11-20,16.9166666667,Toronto Raptors,Philadelphia 76ers,2,39-33,3,three point jumper,False,28,False,False
2014-11-20,19.25,Toronto Raptors,Philadelphia 76ers,2,44-41,1,two point jumper,False,7,False,False
2014-11-20,19.4166666667,Toronto Raptors,Philadelphia 76ers,2,44-41,1,two point jumper,False,6,False,False
2014-11-20,21.0666666667,Toronto Raptors,Philadelphia 76ers,2,49-44,3,two point jumper,False,7,False,False
2014-11-20,22.4,Toronto Raptors,Philadelphia 76ers,2,55-44,9,two point shot,False,4,False,False
2014-11-20,24.25,Toronto Raptors,Philadelphia 76ers,3,58-48,7,three point jumper,False,27,True,False
2014-11-20,25.5166666667,Toronto Raptors,Philadelphia 76ers,3,60-51,7,two point shot,False,1,True,False
2014-11-20,29.7333333333,Toronto Raptors,Philadelphia 76ers,3,72-61,9,two point shot,False,1,True,False
2014-11-20,31.2833333333,Toronto Raptors,Philadelphia 76ers,3,76-66,8,layup,False,0,True,False
2014-11-20,31.6333333333,Toronto Raptors,Philadelphia 76ers,3,76-66,7,three point jumper,False,26,False,False
2014-11-20,32.0333333333,Toronto Raptors,Philadelphia 76ers,3,76-66,8,two point shot,False,2,False,False
2014-11-20,33.3166666667,Toronto Raptors,Philadelphia 76ers,3,77-70,6,free throw,False,15,True,False
2014-11-20,33.3166666667,Toronto Raptors,Philadelphia 76ers,3,78-70,7,free throw,False,15,True,False
2014-11-20,34.2166666667,Toronto Raptors,Philadelphia 76ers,3,84-72,9,three point jumper,False,25,True,False
2014-11-20,34.55,Toronto Raptors,Philadelphia 76ers,3,85-72,12,free throw,False,15,False,False
2014-11-20,34.55,Toronto Raptors,Philadelphia 76ers,3,85-72,12,free throw,False,15,True,False
2014-11-20,42.45,Toronto Raptors,Philadelphia 76ers,4,103-92,9,two point jumper,False,3,False,False
2014-11-20,44.9666666667,Toronto Raptors,Philadelphia 76ers,4,104-92,9,three point jumper,False,23,False,False
2014-11-20,46.2666666667,Toronto Raptors,Philadelphia 76ers,4,108-92,15,free throw,False,15,True,False
2014-01-02,5.35,Sacramento Kings,Philadelphia 76ers,1,8-11,1,two point shot,True,1,True,False
