date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-12-25,3.5,Oklahoma City Thunder,New York Knicks,1,8-8,-2,two point jumper,False,16,False,False
2014-12-25,4.28333333333,Oklahoma City Thunder,New York Knicks,1,11-10,0,free throw,False,15,True,False
2014-12-25,4.28333333333,Oklahoma City Thunder,New York Knicks,1,12-10,1,free throw,False,15,True,False
2014-12-25,5.5,Oklahoma City Thunder,New York Knicks,1,14-12,0,two point shot,False,1,False,False
2014-12-25,8.05,Oklahoma City Thunder,New York Knicks,1,23-20,1,layup,False,0,False,False
2014-12-25,8.56666666667,Oklahoma City Thunder,New York Knicks,1,25-20,3,two point shot,False,14,True,False
2014-12-25,10.1333333333,Oklahoma City Thunder,New York Knicks,1,30-22,6,two point jumper,False,15,False,False
2014-12-25,22.3333333333,Oklahoma City Thunder,New York Knicks,2,56-42,11,three point jumper,False,23,False,False
2014-12-25,24.7,Oklahoma City Thunder,New York Knicks,3,60-48,9,three point jumper,False,25,False,False
2014-12-25,25.8166666667,Oklahoma City Thunder,New York Knicks,3,62-50,10,two point shot,False,2,True,False
2014-12-25,27.1166666667,Oklahoma City Thunder,New York Knicks,3,64-52,10,two point jumper,False,18,False,False
2014-12-25,27.8833333333,Oklahoma City Thunder,New York Knicks,3,64-53,9,two point jumper,False,4,False,False
2014-12-25,29.2,Oklahoma City Thunder,New York Knicks,3,71-53,16,layup,False,0,True,False
2014-12-25,29.75,Oklahoma City Thunder,New York Knicks,3,74-55,16,three point jumper,False,25,True,False
2014-12-25,31.3833333333,Oklahoma City Thunder,New York Knicks,3,77-58,17,two point jumper,False,9,False,False
2014-12-25,33.1833333333,Oklahoma City Thunder,New York Knicks,3,82-60,20,two point shot,False,13,True,False
2014-12-25,34.2833333333,Oklahoma City Thunder,New York Knicks,3,83-62,20,free throw,False,15,True,False
2014-12-25,34.2833333333,Oklahoma City Thunder,New York Knicks,3,83-62,20,free throw,False,15,False,False
2014-12-22,0.833333333333,Oklahoma City Thunder,Toronto Raptors,1,0-4,2,layup,True,0,True,True
2014-12-22,2.3,Oklahoma City Thunder,Toronto Raptors,1,3-4,-1,two point jumper,True,15,False,True
2014-12-22,4.16666666667,Oklahoma City Thunder,Toronto Raptors,1,11-9,-4,layup,True,0,True,True
2014-12-22,7.75,Oklahoma City Thunder,Toronto Raptors,1,15-17,0,two point jumper,True,16,False,True
2014-12-22,19.1,Oklahoma City Thunder,Toronto Raptors,2,40-45,3,two point shot,True,17,True,True
2014-12-22,21.5,Oklahoma City Thunder,Toronto Raptors,2,49-48,-2,free throw,True,15,True,True
2014-12-22,21.5,Oklahoma City Thunder,Toronto Raptors,2,49-49,-1,free throw,True,15,True,True
2014-12-22,22.8833333333,Oklahoma City Thunder,Toronto Raptors,2,54-53,-3,layup,True,0,True,True
2014-12-22,23.4333333333,Oklahoma City Thunder,Toronto Raptors,2,57-53,-6,two point shot,True,10,False,True
2014-12-22,23.9,Oklahoma City Thunder,Toronto Raptors,2,59-54,-6,free throw,True,15,True,True
2014-12-22,23.9,Oklahoma City Thunder,Toronto Raptors,2,59-55,-5,free throw,True,15,True,True
2014-12-22,23.9,Oklahoma City Thunder,Toronto Raptors,2,59-56,-4,free throw,True,15,True,True
2014-12-22,27.45,Oklahoma City Thunder,Toronto Raptors,3,67-61,-7,free throw,True,15,True,True
2014-12-22,27.45,Oklahoma City Thunder,Toronto Raptors,3,67-62,-6,free throw,True,15,True,True
2014-12-22,28.1666666667,Oklahoma City Thunder,Toronto Raptors,3,67-65,-3,free throw,True,15,False,True
2014-12-22,28.1666666667,Oklahoma City Thunder,Toronto Raptors,3,67-66,-2,free throw,True,15,True,True
2014-12-22,29.6666666667,Oklahoma City Thunder,Toronto Raptors,3,69-68,-4,three point jumper,True,24,False,True
2014-12-22,31.3166666667,Oklahoma City Thunder,Toronto Raptors,3,71-74,1,two point shot,True,17,True,True
2014-12-22,32.45,Oklahoma City Thunder,Toronto Raptors,3,71-80,6,three point jumper,True,23,True,True
2014-12-22,32.7666666667,Oklahoma City Thunder,Toronto Raptors,3,71-81,9,free throw,True,15,True,True
2014-12-22,32.7666666667,Oklahoma City Thunder,Toronto Raptors,3,71-82,10,free throw,True,15,True,True
2014-12-22,34.65,Oklahoma City Thunder,Toronto Raptors,3,73-82,7,two point jumper,True,16,False,True
2014-12-22,41.0666666667,Oklahoma City Thunder,Toronto Raptors,4,87-91,2,layup,True,0,True,True
2014-12-22,42.0,Oklahoma City Thunder,Toronto Raptors,4,88-93,3,two point shot,True,21,True,True
2014-12-22,45.5666666667,Oklahoma City Thunder,Toronto Raptors,4,98-93,-7,two point jumper,True,19,False,True
2014-11-14,1.8,Oklahoma City Thunder,Golden State Warriors,1,5-5,-2,two point shot,False,15,True,False
2014-11-14,4.45,Oklahoma City Thunder,Golden State Warriors,1,13-14,-3,layup,False,0,True,False
2014-11-14,4.73333333333,Oklahoma City Thunder,Golden State Warriors,1,15-14,-1,two point shot,False,22,True,False
2014-11-14,6.2,Oklahoma City Thunder,Golden State Warriors,1,21-16,3,two point shot,False,1,True,False
2014-11-14,8.96666666667,Oklahoma City Thunder,Golden State Warriors,1,28-27,-2,three point jumper,False,27,True,False
2014-11-14,16.7,Oklahoma City Thunder,Golden State Warriors,2,47-43,3,free throw,False,15,True,False
2014-11-14,16.7,Oklahoma City Thunder,Golden State Warriors,2,47-43,3,free throw,False,15,False,False
2014-11-14,17.95,Oklahoma City Thunder,Golden State Warriors,2,49-45,2,two point jumper,False,14,False,False
2014-11-14,19.45,Oklahoma City Thunder,Golden State Warriors,2,53-51,0,two point shot,False,26,False,False
2014-11-14,20.4833333333,Oklahoma City Thunder,Golden State Warriors,2,53-51,0,two point jumper,False,21,False,False
2014-11-14,22.9,Oklahoma City Thunder,Golden State Warriors,2,59-57,0,two point shot,False,1,True,False
2014-11-14,23.3833333333,Oklahoma City Thunder,Golden State Warriors,2,59-59,-3,three point jumper,False,25,False,False
2014-11-14,23.9,Oklahoma City Thunder,Golden State Warriors,2,62-62,-2,two point shot,False,10,True,False
2014-11-14,24.4333333333,Oklahoma City Thunder,Golden State Warriors,3,64-62,0,two point shot,False,21,True,False
