date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-01-05,10.6666666667,Dallas Mavericks,New York Knicks,1,24-15,-11,two point jumper,True,4,False,False
2014-01-05,14.25,Dallas Mavericks,New York Knicks,2,33-24,-11,two point shot,True,5,True,False
2014-01-05,14.8166666667,Dallas Mavericks,New York Knicks,2,33-24,-11,two point shot,True,19,False,False
2014-01-05,15.2166666667,Dallas Mavericks,New York Knicks,2,33-24,-11,two point jumper,True,16,False,False
2014-01-05,47.5666666667,Dallas Mavericks,New York Knicks,4,90-80,-12,two point shot,True,8,True,False
2014-11-18,11.4333333333,Dallas Mavericks,Philadelphia 76ers,1,21-18,-4,free throw,True,15,True,True
2014-11-18,11.4333333333,Dallas Mavericks,Philadelphia 76ers,1,21-18,-4,free throw,True,15,False,True
2014-11-18,12.0,Dallas Mavericks,Philadelphia 76ers,1,21-18,-5,two point jumper,True,19,False,True
2014-11-18,13.25,Dallas Mavericks,Philadelphia 76ers,2,23-21,-5,three point jumper,True,25,False,True
2014-11-18,38.75,Dallas Mavericks,Philadelphia 76ers,4,75-81,4,layup,True,0,True,True
2014-12-20,10.8833333333,Dallas Mavericks,Toronto Raptors,1,21-31,8,two point shot,True,1,True,False
2014-12-20,13.0833333333,Dallas Mavericks,Toronto Raptors,2,22-35,10,three point jumper,True,24,False,False
2014-12-20,13.75,Dallas Mavericks,Toronto Raptors,2,22-37,13,layup,True,0,True,False
2014-01-22,13.6333333333,Dallas Mavericks,Toronto Raptors,2,36-20,14,layup,False,0,True,False
2014-01-22,14.5166666667,Dallas Mavericks,Toronto Raptors,2,36-21,13,two point jumper,False,1,False,False
2014-01-22,36.9,Dallas Mavericks,Toronto Raptors,4,76-68,5,three point jumper,False,26,False,False
2014-11-27,15.95,Dallas Mavericks,Golden State Warriors,2,30-38,6,two point jumper,True,20,False,False
2014-11-27,17.5333333333,Dallas Mavericks,Golden State Warriors,2,31-44,12,free throw,True,15,False,False
2014-11-27,17.5333333333,Dallas Mavericks,Golden State Warriors,2,31-45,13,free throw,True,15,True,False
2014-11-27,19.5333333333,Dallas Mavericks,Golden State Warriors,2,36-49,11,two point jumper,True,22,False,False
2014-11-27,35.4833333333,Dallas Mavericks,Golden State Warriors,3,71-78,5,two point shot,True,20,False,False
2014-11-27,36.0,Dallas Mavericks,Golden State Warriors,3,71-82,9,two point shot,True,20,True,False
2014-11-27,38.25,Dallas Mavericks,Golden State Warriors,4,76-89,11,two point shot,True,16,True,False
2014-11-27,38.9,Dallas Mavericks,Golden State Warriors,4,76-89,10,three point jumper,True,25,False,False
2014-11-27,40.1666666667,Dallas Mavericks,Golden State Warriors,4,77-94,15,layup,True,0,True,False
2014-12-11,14.6333333333,Dallas Mavericks,Golden State Warriors,2,29-18,9,two point jumper,False,18,False,False
2014-12-11,36.8333333333,Dallas Mavericks,Golden State Warriors,4,74-66,6,two point shot,False,9,True,False
2014-01-03,10.0166666667,Dallas Mavericks,Los Angeles Clippers,1,23-31,6,two point shot,True,6,True,False
2014-01-03,36.7166666667,Dallas Mavericks,Los Angeles Clippers,4,91-90,-4,three point jumper,True,25,True,False
2014-01-03,37.5666666667,Dallas Mavericks,Los Angeles Clippers,4,93-94,0,free throw,True,15,False,False
2014-01-03,38.0833333333,Dallas Mavericks,Los Angeles Clippers,4,93-94,-1,unknown,True,9,False,False
2014-01-03,38.0833333333,Dallas Mavericks,Los Angeles Clippers,4,93-96,1,two point shot,True,1,True,False
2014-01-03,38.0833333333,Dallas Mavericks,Los Angeles Clippers,4,93-97,3,free throw,True,15,True,False
2014-01-15,14.05,Dallas Mavericks,Los Angeles Clippers,2,36-33,1,layup,False,0,True,False
2014-01-15,14.6166666667,Dallas Mavericks,Los Angeles Clippers,2,36-36,-2,two point jumper,False,11,False,False
2014-01-15,16.4833333333,Dallas Mavericks,Los Angeles Clippers,2,42-42,-3,three point jumper,False,27,False,False
2014-12-21,17.5,Dallas Mavericks,Phoenix Suns,2,38-45,-9,two point jumper,False,7,False,False
2014-12-21,39.2,Dallas Mavericks,Phoenix Suns,4,91-100,-11,two point jumper,False,1,False,False
2014-01-17,15.1333333333,Dallas Mavericks,Phoenix Suns,2,43-34,6,three point jumper,False,26,True,True
2014-01-17,25.4,Dallas Mavericks,Phoenix Suns,3,62-58,2,layup,False,0,True,True
2014-01-17,27.0,Dallas Mavericks,Phoenix Suns,3,66-60,4,layup,False,0,True,True
2014-01-17,28.4166666667,Dallas Mavericks,Phoenix Suns,3,71-62,6,three point jumper,False,25,False,True
2014-01-17,32.1833333333,Dallas Mavericks,Phoenix Suns,3,80-70,8,two point shot,False,10,True,True
2014-01-17,34.65,Dallas Mavericks,Phoenix Suns,3,84-72,10,two point jumper,False,6,False,True
2014-01-17,38.6166666667,Dallas Mavericks,Phoenix Suns,4,89-84,2,three point jumper,False,25,True,True
2014-01-17,45.3,Dallas Mavericks,Phoenix Suns,4,104-94,8,two point shot,False,5,True,True
2014-01-17,45.3,Dallas Mavericks,Phoenix Suns,4,104-94,9,free throw,False,15,False,True
2014-01-17,46.6833333333,Dallas Mavericks,Phoenix Suns,4,107-101,5,free throw,False,15,True,True
2014-01-17,46.6833333333,Dallas Mavericks,Phoenix Suns,4,108-101,6,free throw,False,15,True,True
2014-01-17,47.8166666667,Dallas Mavericks,Phoenix Suns,4,109-105,3,free throw,False,15,True,True
2014-01-17,47.8166666667,Dallas Mavericks,Phoenix Suns,4,110-105,4,free throw,False,15,True,True
2014-12-09,17.4833333333,Dallas Mavericks,Sacramento Kings,2,43-40,1,layup,False,0,True,True
2014-12-09,18.1,Dallas Mavericks,Sacramento Kings,2,43-42,-2,three point jumper,False,25,False,True
2014-12-09,43.45,Dallas Mavericks,Sacramento Kings,4,82-103,-24,three point jumper,False,25,False,True
2014-12-09,43.95,Dallas Mavericks,Sacramento Kings,4,82-106,-26,two point jumper,False,19,False,True
2014-12-09,44.5833333333,Dallas Mavericks,Sacramento Kings,4,84-106,-24,layup,False,0,True,True
2014-12-09,44.5833333333,Dallas Mavericks,Sacramento Kings,4,85-106,-22,free throw,False,15,True,True
2014-12-09,45.0166666667,Dallas Mavericks,Sacramento Kings,4,88-106,-21,three point jumper,False,25,True,True
2014-12-09,45.3333333333,Dallas Mavericks,Sacramento Kings,4,90-106,-18,layup,False,0,True,True
2014-01-31,9.9,Dallas Mavericks,Sacramento Kings,1,16-22,3,three point jumper,True,24,False,True
2014-12-28,14.2666666667,Dallas Mavericks,Chicago Bulls,2,36-21,12,three point jumper,False,25,False,False
2014-12-28,14.9,Dallas Mavericks,Chicago Bulls,2,39-21,15,three point jumper,False,26,True,False
2014-12-28,39.2,Dallas Mavericks,Chicago Bulls,4,86-65,18,three point jumper,False,25,False,False
2014-01-20,10.1833333333,Dallas Mavericks,Cleveland Cavaliers,1,22-21,-2,three point jumper,False,26,False,False
2014-01-20,23.1666666667,Dallas Mavericks,Cleveland Cavaliers,2,59-35,21,three point jumper,False,26,True,False
2014-01-20,35.1666666667,Dallas Mavericks,Cleveland Cavaliers,3,79-66,11,layup,False,0,False,False
2014-02-12,12.3833333333,Dallas Mavericks,Indiana Pacers,2,19-19,-2,two point jumper,False,3,False,True
2014-02-12,30.0666666667,Dallas Mavericks,Indiana Pacers,3,52-53,-4,three point jumper,False,26,False,True
2014-02-12,30.7,Dallas Mavericks,Indiana Pacers,3,53-53,-1,free throw,False,15,True,True
2014-02-12,30.7,Dallas Mavericks,Indiana Pacers,3,53-53,-1,free throw,False,15,False,True
2014-02-12,32.15,Dallas Mavericks,Indiana Pacers,3,55-56,-3,two point jumper,False,7,False,True
2014-02-12,38.5,Dallas Mavericks,Indiana Pacers,4,63-62,-1,two point jumper,False,21,False,True
2014-12-14,9.9,Dallas Mavericks,Milwaukee Bucks,1,21-29,6,two point jumper,True,22,True,False
2014-12-14,14.9,Dallas Mavericks,Milwaukee Bucks,2,32-45,11,two point jumper,True,19,False,False
2014-12-14,32.0333333333,Dallas Mavericks,Milwaukee Bucks,3,51-77,24,unknown,True,8,False,False
2014-12-14,37.3166666667,Dallas Mavericks,Milwaukee Bucks,4,65-93,26,two point jumper,True,12,False,False
2014-12-14,38.3166666667,Dallas Mavericks,Milwaukee Bucks,4,65-93,27,free throw,True,15,False,False
2014-12-14,38.3166666667,Dallas Mavericks,Milwaukee Bucks,4,65-94,28,free throw,True,15,True,False
2014-12-14,42.9166666667,Dallas Mavericks,Milwaukee Bucks,4,80-99,17,two point shot,True,1,True,False
2014-11-20,11.4,Dallas Mavericks,Houston Rockets,1,35-29,-9,three point jumper,True,24,True,True
2014-11-20,14.0833333333,Dallas Mavericks,Houston Rockets,2,42-31,-13,two point jumper,True,18,True,True
2014-11-20,15.8,Dallas Mavericks,Houston Rockets,2,45-39,-9,three point jumper,True,25,True,True
2014-11-20,16.1333333333,Dallas Mavericks,Houston Rockets,2,45-39,-9,three point jumper,True,25,False,True
2014-11-20,37.65,Dallas Mavericks,Houston Rockets,4,101-89,-14,two point shot,True,1,False,True
2014-11-22,24.0,Dallas Mavericks,Utah Jazz,2,34-58,22,two point jumper,True,15,False,False
2014-11-22,38.7,Dallas Mavericks,Utah Jazz,4,72-82,8,two point shot,True,8,True,False
2014-11-22,38.7,Dallas Mavericks,Utah Jazz,4,72-82,9,free throw,True,15,False,False
2014-11-23,9.45,Dallas Mavericks,Denver Nuggets,1,19-23,-5,free throw,False,15,True,False
2014-11-23,9.45,Dallas Mavericks,Denver Nuggets,1,20-23,-4,free throw,False,15,True,False
2014-11-23,11.2666666667,Dallas Mavericks,Denver Nuggets,1,22-29,-10,three point jumper,False,27,False,False
2014-11-23,34.1666666667,Dallas Mavericks,Denver Nuggets,3,75-80,-7,two point jumper,False,11,False,False
2014-11-23,38.3166666667,Dallas Mavericks,Denver Nuggets,4,85-86,-3,two point shot,False,6,False,False
2014-11-25,12.95,Dallas Mavericks,Denver Nuggets,2,32-27,-7,two point jumper,True,19,False,True
2014-11-29,11.9833333333,Dallas Mavericks,Atlanta Hawks,1,28-23,2,three point jumper,False,24,False,False
2014-11-29,13.7,Dallas Mavericks,Atlanta Hawks,2,32-23,7,two point jumper,False,17,False,False
2014-11-29,14.95,Dallas Mavericks,Atlanta Hawks,2,34-25,7,two point jumper,False,19,False,False
2014-11-30,12.0,Dallas Mavericks,Minnesota Timberwolves,1,29-24,-7,two point jumper,True,10,False,False
2014-11-30,13.8666666667,Dallas Mavericks,Minnesota Timberwolves,2,32-29,-5,two point jumper,True,20,True,False
2014-11-30,15.0833333333,Dallas Mavericks,Minnesota Timberwolves,2,37-33,-6,two point jumper,True,15,True,False
2014-11-30,33.4833333333,Dallas Mavericks,Minnesota Timberwolves,3,73-73,-3,three point jumper,True,26,False,False
2014-11-30,39.8,Dallas Mavericks,Minnesota Timberwolves,4,88-83,-8,three point jumper,True,25,False,False
2014-12-03,10.6166666667,Dallas Mavericks,Charlotte Bobcats,1,18-20,-1,three point jumper,True,23,False,True
2014-12-03,12.9666666667,Dallas Mavericks,Charlotte Bobcats,2,20-24,2,unknown,True,9,False,True
2014-12-03,15.25,Dallas Mavericks,Charlotte Bobcats,2,20-27,5,two point jumper,True,20,False,True
2014-12-03,35.0,Dallas Mavericks,Charlotte Bobcats,3,67-57,-12,unknown,True,8,False,True
2014-12-18,14.1833333333,Dallas Mavericks,Memphis Grizzlies,2,23-30,4,three point jumper,True,26,False,False
2014-12-18,34.3333333333,Dallas Mavericks,Memphis Grizzlies,3,64-74,8,two point jumper,True,16,True,False
2014-12-18,47.6333333333,Dallas Mavericks,Memphis Grizzlies,4,88-105,14,three point jumper,True,23,True,False
2014-12-26,36.7666666667,Dallas Mavericks,San Antonio Spurs,4,86-77,-12,three point jumper,True,25,False,False
2014-12-30,15.0,Dallas Mavericks,Minnesota Timberwolves,2,33-30,0,three point jumper,False,25,False,False
2014-12-30,35.25,Dallas Mavericks,Minnesota Timberwolves,3,81-77,2,two point jumper,False,11,False,False
2014-01-01,14.1333333333,Dallas Mavericks,Washington Wizards,2,27-23,2,two point shot,False,1,True,True
2014-01-01,37.25,Dallas Mavericks,Washington Wizards,4,60-61,-3,two point jumper,False,4,False,True
2014-01-08,15.3166666667,Dallas Mavericks,San Antonio Spurs,2,22-27,-7,two point shot,False,6,True,True
2014-01-08,16.4166666667,Dallas Mavericks,San Antonio Spurs,2,24-29,-7,two point jumper,False,20,False,True
2014-01-08,35.4166666667,Dallas Mavericks,San Antonio Spurs,3,59-76,-19,two point jumper,False,15,False,True
2014-01-08,41.9833333333,Dallas Mavericks,San Antonio Spurs,4,70-96,-29,three point jumper,False,23,False,True
2014-01-08,43.9833333333,Dallas Mavericks,San Antonio Spurs,4,76-101,-28,three point jumper,False,25,True,True
2014-01-08,44.5166666667,Dallas Mavericks,San Antonio Spurs,4,78-103,-27,two point shot,False,10,True,True
2014-01-08,45.25,Dallas Mavericks,San Antonio Spurs,4,78-106,-30,two point jumper,False,20,False,True
2014-01-10,10.5166666667,Dallas Mavericks,New Orleans Pelicans,1,27-22,3,two point jumper,False,13,False,False
2014-01-10,34.1166666667,Dallas Mavericks,New Orleans Pelicans,3,79-61,15,three point jumper,False,25,True,False
2014-01-10,47.5333333333,Dallas Mavericks,New Orleans Pelicans,4,107-90,15,layup,False,0,True,False
2014-01-11,12.0,Dallas Mavericks,New Orleans Pelicans,1,22-17,-7,two point jumper,True,22,False,True
2014-01-11,13.45,Dallas Mavericks,New Orleans Pelicans,2,24-19,-7,two point jumper,True,13,False,True
2014-01-18,14.3166666667,Dallas Mavericks,Portland Trail Blazers,2,42-28,-16,two point jumper,True,20,True,False
2014-01-18,28.4166666667,Dallas Mavericks,Portland Trail Blazers,3,83-58,-27,two point jumper,True,12,False,False
2014-01-18,31.1333333333,Dallas Mavericks,Portland Trail Blazers,3,91-62,-31,layup,True,0,False,False
2014-01-18,32.4833333333,Dallas Mavericks,Portland Trail Blazers,3,96-65,-32,free throw,True,15,True,False
2014-01-18,32.4833333333,Dallas Mavericks,Portland Trail Blazers,3,96-66,-31,free throw,True,15,True,False
2014-01-18,35.9833333333,Dallas Mavericks,Portland Trail Blazers,3,104-70,-36,two point jumper,True,16,True,False
2014-01-18,36.2166666667,Dallas Mavericks,Portland Trail Blazers,4,104-70,-35,free throw,True,15,False,False
2014-01-18,36.2166666667,Dallas Mavericks,Portland Trail Blazers,4,104-71,-34,free throw,True,15,True,False
2014-01-18,44.2333333333,Dallas Mavericks,Portland Trail Blazers,4,113-98,-18,three point jumper,True,27,False,False
2014-01-18,44.9,Dallas Mavericks,Portland Trail Blazers,4,116-102,-16,two point jumper,True,18,True,False
2014-02-07,45.8666666667,Dallas Mavericks,Utah Jazz,4,77-100,21,two point jumper,True,14,False,False
2014-02-11,43.8166666667,Dallas Mavericks,Charlotte Bobcats,4,84-107,-25,two point jumper,False,16,True,True
2014-02-11,47.3833333333,Dallas Mavericks,Charlotte Bobcats,4,89-112,-25,two point jumper,False,18,False,True
