date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-01-05,13.25,Oklahoma City Thunder,Boston Celtics,2,29-36,5,two point jumper,True,12,False,False
2014-01-05,16.0,Oklahoma City Thunder,Boston Celtics,2,39-43,2,tip shot,True,0,False,False
2014-01-24,12.6833333333,Oklahoma City Thunder,Boston Celtics,2,27-30,-5,hook shot,False,10,False,False
2014-01-24,15.5666666667,Oklahoma City Thunder,Boston Celtics,2,35-34,-1,hook shot,False,8,False,False
2014-01-24,45.95,Oklahoma City Thunder,Boston Celtics,4,96-77,17,layup,False,0,False,False
2014-01-24,46.9833333333,Oklahoma City Thunder,Boston Celtics,4,100-79,19,layup,False,0,True,False
2014-01-24,47.6833333333,Oklahoma City Thunder,Boston Celtics,4,100-81,18,free throw,False,15,False,False
2014-01-24,47.6833333333,Oklahoma City Thunder,Boston Celtics,4,101-81,19,free throw,False,15,True,False
2014-01-02,9.35,Oklahoma City Thunder,Brooklyn Nets,1,23-20,-5,two point shot,True,1,True,False
2014-01-02,10.6666666667,Oklahoma City Thunder,Brooklyn Nets,1,26-26,-2,two point jumper,True,15,True,False
2014-01-02,11.2,Oklahoma City Thunder,Brooklyn Nets,1,27-26,-3,two point shot,True,7,False,False
2014-01-02,12.6333333333,Oklahoma City Thunder,Brooklyn Nets,2,29-27,-3,free throw,True,15,True,False
2014-01-02,12.6333333333,Oklahoma City Thunder,Brooklyn Nets,2,29-28,-2,free throw,True,15,True,False
2014-01-02,15.75,Oklahoma City Thunder,Brooklyn Nets,2,37-38,0,free throw,True,15,False,False
2014-01-02,15.75,Oklahoma City Thunder,Brooklyn Nets,2,37-39,1,free throw,True,15,True,False
2014-01-31,44.15,Oklahoma City Thunder,Brooklyn Nets,4,109-85,22,two point jumper,False,19,False,False
2014-01-31,44.4833333333,Oklahoma City Thunder,Brooklyn Nets,4,111-85,24,dunk,False,0,True,False
2014-01-31,45.1166666667,Oklahoma City Thunder,Brooklyn Nets,4,113-88,23,two point jumper,False,5,True,False
2014-12-25,39.5666666667,Oklahoma City Thunder,New York Knicks,4,96-74,20,dunk,False,0,True,False
2014-12-25,42.6666666667,Oklahoma City Thunder,New York Knicks,4,107-78,28,free throw,False,15,True,False
2014-12-25,42.6666666667,Oklahoma City Thunder,New York Knicks,4,107-78,28,free throw,False,15,False,False
2014-12-25,43.7,Oklahoma City Thunder,New York Knicks,4,110-82,27,free throw,False,15,True,False
2014-12-25,43.7,Oklahoma City Thunder,New York Knicks,4,111-82,28,free throw,False,15,True,False
2014-01-25,16.5333333333,Oklahoma City Thunder,Philadelphia 76ers,2,33-32,0,free throw,False,15,False,False
2014-01-25,16.5333333333,Oklahoma City Thunder,Philadelphia 76ers,2,34-32,1,free throw,False,15,True,False
2014-12-22,36.95,Oklahoma City Thunder,Toronto Raptors,4,75-84,7,two point jumper,True,3,False,True
2014-12-22,36.95,Oklahoma City Thunder,Toronto Raptors,4,75-84,7,tip shot,True,0,False,True
2014-12-22,37.0,Oklahoma City Thunder,Toronto Raptors,4,75-84,7,tip shot,True,0,False,True
2014-11-14,22.4166666667,Oklahoma City Thunder,Golden State Warriors,2,57-55,0,two point shot,False,1,True,False
2014-11-14,23.3833333333,Oklahoma City Thunder,Golden State Warriors,2,60-59,0,free throw,False,15,True,False
2014-11-14,23.3833333333,Oklahoma City Thunder,Golden State Warriors,2,60-59,0,free throw,False,15,False,False
2014-11-29,13.45,Oklahoma City Thunder,Golden State Warriors,2,30-32,0,layup,True,0,False,True
2014-11-29,17.0666666667,Oklahoma City Thunder,Golden State Warriors,2,39-40,-1,two point shot,True,1,True,True
2014-11-29,26.5833333333,Oklahoma City Thunder,Golden State Warriors,3,55-54,-2,free throw,True,15,False,True
2014-11-29,26.5833333333,Oklahoma City Thunder,Golden State Warriors,3,55-55,-1,free throw,True,15,True,True
2014-11-29,28.2,Oklahoma City Thunder,Golden State Warriors,3,61-57,-6,layup,True,0,True,True
2014-01-17,10.7333333333,Oklahoma City Thunder,Golden State Warriors,1,25-32,5,layup,True,0,True,True
2014-01-17,12.0,Oklahoma City Thunder,Golden State Warriors,1,32-39,5,two point shot,True,2,True,True
