date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-11-20,0.25,San Antonio Spurs,Boston Celtics,1,0-2,0,dunk,True,0,True,False
2014-11-20,0.816666666667,San Antonio Spurs,Boston Celtics,1,0-4,2,two point shot,True,1,True,False
2014-11-20,1.31666666667,San Antonio Spurs,Boston Celtics,1,2-4,0,two point jumper,True,18,False,False
2014-11-20,2.06666666667,San Antonio Spurs,Boston Celtics,1,2-4,0,two point jumper,True,8,False,False
2014-11-20,3.63333333333,San Antonio Spurs,Boston Celtics,1,6-8,0,two point jumper,True,18,False,False
2014-11-20,7.85,San Antonio Spurs,Boston Celtics,1,16-14,-4,two point jumper,True,18,False,False
2014-11-20,8.68333333333,San Antonio Spurs,Boston Celtics,1,16-18,0,layup,True,0,True,False
2014-11-20,18.1333333333,San Antonio Spurs,Boston Celtics,2,33-35,0,two point shot,True,8,False,False
2014-11-20,18.9833333333,San Antonio Spurs,Boston Celtics,2,37-36,-3,layup,True,0,False,False
2014-11-20,19.3166666667,San Antonio Spurs,Boston Celtics,2,37-36,-3,layup,True,0,False,False
2014-11-20,25.4,San Antonio Spurs,Boston Celtics,3,50-48,-3,free throw,True,15,False,False
2014-11-20,25.4,San Antonio Spurs,Boston Celtics,3,50-49,-2,free throw,True,15,True,False
2014-11-20,26.8,San Antonio Spurs,Boston Celtics,3,50-54,3,free throw,True,15,True,False
2014-11-20,26.8,San Antonio Spurs,Boston Celtics,3,50-55,4,free throw,True,15,True,False
2014-11-20,29.0666666667,San Antonio Spurs,Boston Celtics,3,54-62,7,free throw,True,15,True,False
2014-11-20,29.0666666667,San Antonio Spurs,Boston Celtics,3,54-63,8,free throw,True,15,True,False
2014-11-20,29.7,San Antonio Spurs,Boston Celtics,3,57-63,4,layup,True,0,False,False
2014-11-20,30.2166666667,San Antonio Spurs,Boston Celtics,3,60-64,3,free throw,True,15,True,False
2014-11-20,30.2166666667,San Antonio Spurs,Boston Celtics,3,60-65,4,free throw,True,15,True,False
2014-11-20,44.5333333333,San Antonio Spurs,Boston Celtics,4,86-100,12,two point jumper,True,1,False,False
2014-02-12,2.45,San Antonio Spurs,Boston Celtics,1,7-2,3,two point shot,False,7,False,False
2014-02-12,4.1,San Antonio Spurs,Boston Celtics,1,7-2,3,two point jumper,False,18,False,False
2014-02-12,19.4166666667,San Antonio Spurs,Boston Celtics,2,37-38,-3,two point shot,False,1,False,False
2014-02-12,20.9333333333,San Antonio Spurs,Boston Celtics,2,42-38,2,two point shot,False,9,True,False
2014-02-12,24.7166666667,San Antonio Spurs,Boston Celtics,3,48-46,0,two point shot,False,4,False,False
2014-02-12,25.8833333333,San Antonio Spurs,Boston Celtics,3,48-48,-2,layup,False,0,False,False
2014-02-12,25.95,San Antonio Spurs,Boston Celtics,3,50-48,0,two point jumper,False,15,True,False
2014-02-12,27.45,San Antonio Spurs,Boston Celtics,3,51-52,-2,free throw,False,15,True,False
2014-02-12,27.45,San Antonio Spurs,Boston Celtics,3,52-52,-1,free throw,False,15,True,False
2014-02-12,29.2833333333,San Antonio Spurs,Boston Celtics,3,57-56,-1,two point shot,False,13,True,False
2014-02-12,30.8166666667,San Antonio Spurs,Boston Celtics,3,59-58,0,free throw,False,15,False,False
2014-02-12,30.8166666667,San Antonio Spurs,Boston Celtics,3,60-58,1,free throw,False,15,True,False
2014-02-12,31.45,San Antonio Spurs,Boston Celtics,3,62-58,2,two point shot,False,6,True,False
2014-02-12,32.3666666667,San Antonio Spurs,Boston Celtics,3,63-60,2,free throw,False,15,True,False
2014-02-12,32.3666666667,San Antonio Spurs,Boston Celtics,3,64-60,3,free throw,False,15,True,False
2014-02-12,37.2,San Antonio Spurs,Boston Celtics,4,71-68,1,hook shot,False,5,False,False
2014-02-12,38.7166666667,San Antonio Spurs,Boston Celtics,4,81-72,7,two point jumper,False,7,True,False
2014-02-12,39.2,San Antonio Spurs,Boston Celtics,4,83-72,9,layup,False,0,True,False
2014-02-12,39.9,San Antonio Spurs,Boston Celtics,4,85-74,9,two point jumper,False,19,True,False
2014-02-12,41.85,San Antonio Spurs,Boston Celtics,4,87-79,6,two point shot,False,7,True,False
2014-02-12,43.0666666667,San Antonio Spurs,Boston Celtics,4,90-79,10,free throw,False,15,True,False
2014-02-12,43.0666666667,San Antonio Spurs,Boston Celtics,4,91-79,11,free throw,False,15,True,False
2014-02-12,46.0166666667,San Antonio Spurs,Boston Celtics,4,102-85,15,two point shot,False,1,True,False
2014-12-31,1.58333333333,San Antonio Spurs,Brooklyn Nets,1,4-3,-3,two point shot,True,14,False,False
2014-12-31,3.88333333333,San Antonio Spurs,Brooklyn Nets,1,4-11,5,two point shot,True,10,True,False
2014-12-31,5.56666666667,San Antonio Spurs,Brooklyn Nets,1,6-16,8,two point jumper,True,18,True,False
2014-12-31,6.41666666667,San Antonio Spurs,Brooklyn Nets,1,6-20,12,two point jumper,True,19,True,False
2014-12-31,22.75,San Antonio Spurs,Brooklyn Nets,2,36-57,19,two point jumper,True,17,False,False
2014-12-31,25.45,San Antonio Spurs,Brooklyn Nets,3,38-61,22,free throw,True,15,False,False
2014-12-31,25.45,San Antonio Spurs,Brooklyn Nets,3,38-62,23,free throw,True,15,True,False
2014-12-31,26.0,San Antonio Spurs,Brooklyn Nets,3,38-62,22,two point jumper,True,1,False,False
2014-12-31,29.9833333333,San Antonio Spurs,Brooklyn Nets,3,48-73,23,layup,True,0,False,False
2014-12-31,29.9833333333,San Antonio Spurs,Brooklyn Nets,3,48-73,23,two point shot,True,1,True,False
2014-12-31,30.6333333333,San Antonio Spurs,Brooklyn Nets,3,50-75,23,two point shot,True,6,True,False
2014-12-31,32.2833333333,San Antonio Spurs,Brooklyn Nets,3,54-80,24,dunk,True,0,True,False
2014-12-31,32.8166666667,San Antonio Spurs,Brooklyn Nets,3,56-82,24,two point jumper,True,15,True,False
2014-11-10,3.81666666667,San Antonio Spurs,New York Knicks,1,11-2,8,free throw,False,15,True,False
2014-11-10,3.81666666667,San Antonio Spurs,New York Knicks,1,12-2,9,free throw,False,15,True,False
2014-11-10,5.85,San Antonio Spurs,New York Knicks,1,18-4,12,two point jumper,False,7,False,False
