date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-12-06,11.7166666667,Denver Nuggets,Boston Celtics,1,15-36,-23,hook shot,False,8,False,True
2014-12-06,14.2166666667,Denver Nuggets,Boston Celtics,2,15-42,-28,free throw,False,15,False,True
2014-12-06,14.2166666667,Denver Nuggets,Boston Celtics,2,16-42,-27,free throw,False,15,True,True
2014-12-06,32.4833333333,Denver Nuggets,Boston Celtics,3,73-74,-3,dunk,False,0,True,True
2014-12-06,34.4833333333,Denver Nuggets,Boston Celtics,3,75-83,-10,layup,False,0,True,True
2014-12-06,35.1333333333,Denver Nuggets,Boston Celtics,3,77-85,-10,two point shot,False,10,True,True
2014-12-06,35.75,Denver Nuggets,Boston Celtics,3,77-87,-12,tip shot,False,0,False,True
2014-12-06,36.9,Denver Nuggets,Boston Celtics,4,78-87,-10,free throw,False,15,True,True
2014-12-06,36.9,Denver Nuggets,Boston Celtics,4,79-87,-9,free throw,False,15,True,True
2014-12-06,40.6,Denver Nuggets,Boston Celtics,4,82-93,-12,free throw,False,15,True,True
2014-12-06,40.6,Denver Nuggets,Boston Celtics,4,82-93,-12,free throw,False,15,False,True
2014-01-07,11.5333333333,Denver Nuggets,Boston Celtics,1,19-31,11,free throw,True,15,True,False
2014-01-07,11.5333333333,Denver Nuggets,Boston Celtics,1,19-31,11,free throw,True,15,False,False
2014-01-07,13.8166666667,Denver Nuggets,Boston Celtics,2,25-39,12,two point jumper,True,1,False,False
2014-01-07,18.0666666667,Denver Nuggets,Boston Celtics,2,35-52,15,two point shot,True,3,True,False
2014-01-07,31.0666666667,Denver Nuggets,Boston Celtics,3,62-91,27,two point shot,True,1,True,False
2014-01-07,35.2833333333,Denver Nuggets,Boston Celtics,3,75-100,24,free throw,True,15,True,False
2014-01-07,35.2833333333,Denver Nuggets,Boston Celtics,3,75-101,25,free throw,True,15,True,False
2014-01-07,35.6,Denver Nuggets,Boston Celtics,3,75-103,26,dunk,True,0,True,False
2014-12-03,6.03333333333,Denver Nuggets,Brooklyn Nets,1,13-17,-6,two point shot,False,7,True,False
2014-12-03,8.0,Denver Nuggets,Brooklyn Nets,1,17-24,-8,free throw,False,15,True,False
2014-12-03,8.0,Denver Nuggets,Brooklyn Nets,1,18-24,-7,free throw,False,15,True,False
2014-12-03,11.2333333333,Denver Nuggets,Brooklyn Nets,1,24-29,-7,tip shot,False,0,False,False
2014-12-03,13.55,Denver Nuggets,Brooklyn Nets,2,32-30,0,dunk,False,0,False,False
2014-12-03,17.3166666667,Denver Nuggets,Brooklyn Nets,2,42-37,3,layup,False,0,True,False
2014-12-03,32.2833333333,Denver Nuggets,Brooklyn Nets,3,75-60,14,free throw,False,15,True,False
2014-12-03,32.2833333333,Denver Nuggets,Brooklyn Nets,3,76-60,15,free throw,False,15,True,False
2014-12-03,35.45,Denver Nuggets,Brooklyn Nets,3,86-65,19,layup,False,0,True,False
2014-12-03,39.75,Denver Nuggets,Brooklyn Nets,4,99-73,24,two point shot,False,1,True,False
2014-12-03,40.2833333333,Denver Nuggets,Brooklyn Nets,4,101-75,24,two point shot,False,6,True,False
2014-12-03,42.0333333333,Denver Nuggets,Brooklyn Nets,4,104-79,23,two point shot,False,1,True,False
2014-12-03,42.0333333333,Denver Nuggets,Brooklyn Nets,4,105-79,25,free throw,False,15,True,False
2014-12-03,47.7166666667,Denver Nuggets,Brooklyn Nets,4,111-87,21,three point jumper,False,26,False,False
2014-02-27,0.4,Denver Nuggets,Brooklyn Nets,1,0-0,-2,two point jumper,True,16,False,True
2014-02-27,0.833333333333,Denver Nuggets,Brooklyn Nets,1,2-0,-4,two point jumper,True,1,False,True
2014-02-27,1.56666666667,Denver Nuggets,Brooklyn Nets,1,2-0,-4,tip shot,True,0,False,True
2014-02-27,4.85,Denver Nuggets,Brooklyn Nets,1,9-4,-7,hook shot,True,5,False,True
2014-02-27,14.25,Denver Nuggets,Brooklyn Nets,2,33-11,-24,two point shot,True,1,True,True
2014-02-27,18.3833333333,Denver Nuggets,Brooklyn Nets,2,49-23,-28,dunk,True,0,True,True
2014-02-27,18.3833333333,Denver Nuggets,Brooklyn Nets,2,49-24,-26,free throw,True,15,True,True
2014-02-27,20.45,Denver Nuggets,Brooklyn Nets,2,54-29,-27,two point jumper,True,6,False,True
2014-02-27,20.4833333333,Denver Nuggets,Brooklyn Nets,2,54-31,-25,two point shot,True,1,True,True
2014-02-27,24.7166666667,Denver Nuggets,Brooklyn Nets,3,60-37,-24,free throw,True,15,True,True
2014-02-27,24.7166666667,Denver Nuggets,Brooklyn Nets,3,60-38,-23,free throw,True,15,True,True
2014-02-07,8.81666666667,Denver Nuggets,New York Knicks,1,19-14,3,tip shot,False,0,False,True
2014-02-07,10.2166666667,Denver Nuggets,New York Knicks,1,24-14,8,two point shot,False,1,True,True
2014-02-07,14.0166666667,Denver Nuggets,New York Knicks,2,29-22,5,two point shot,False,4,True,True
2014-12-07,11.0,Denver Nuggets,Philadelphia 76ers,1,23-24,-3,dunk,False,0,False,False
2014-12-07,26.8333333333,Denver Nuggets,Philadelphia 76ers,3,52-59,-9,two point shot,False,1,False,False
2014-12-07,29.6,Denver Nuggets,Philadelphia 76ers,3,61-63,-3,free throw,False,15,True,False
2014-12-07,29.6,Denver Nuggets,Philadelphia 76ers,3,62-63,-2,free throw,False,15,True,False
2014-12-07,30.5666666667,Denver Nuggets,Philadelphia 76ers,3,64-65,-3,two point shot,False,1,True,False
2014-12-07,34.2166666667,Denver Nuggets,Philadelphia 76ers,3,71-71,-1,free throw,False,15,True,False
2014-12-07,34.2166666667,Denver Nuggets,Philadelphia 76ers,3,72-71,0,free throw,False,15,True,False
2014-12-07,35.75,Denver Nuggets,Philadelphia 76ers,3,75-75,-2,two point jumper,False,4,False,False
2014-12-07,35.7666666667,Denver Nuggets,Philadelphia 76ers,3,77-75,0,two point shot,False,1,True,False
2014-01-01,10.6166666667,Denver Nuggets,Philadelphia 76ers,1,22-27,4,free throw,True,15,True,False
2014-01-01,10.6166666667,Denver Nuggets,Philadelphia 76ers,1,22-28,5,free throw,True,15,True,False
2014-01-01,13.1166666667,Denver Nuggets,Philadelphia 76ers,2,29-32,1,layup,True,0,True,False
2014-01-01,16.0666666667,Denver Nuggets,Philadelphia 76ers,2,41-40,-3,two point jumper,True,6,False,False
2014-12-01,7.0,Denver Nuggets,Toronto Raptors,1,10-22,-14,layup,False,0,False,False
2014-12-01,11.35,Denver Nuggets,Toronto Raptors,1,23-29,-8,two point shot,False,6,True,False
2014-12-01,11.6166666667,Denver Nuggets,Toronto Raptors,1,25-31,-8,two point shot,False,1,True,False
2014-12-01,17.8166666667,Denver Nuggets,Toronto Raptors,2,39-41,-4,two point shot,False,1,True,False
2014-12-01,32.75,Denver Nuggets,Toronto Raptors,3,62-66,-6,layup,False,0,False,False
2014-12-01,32.8166666667,Denver Nuggets,Toronto Raptors,3,64-66,-4,two point shot,False,1,True,False
2014-12-01,37.4,Denver Nuggets,Toronto Raptors,4,81-76,3,two point shot,False,1,True,False
2014-12-01,40.0333333333,Denver Nuggets,Toronto Raptors,4,88-82,4,layup,False,0,False,False
2014-12-01,44.2,Denver Nuggets,Toronto Raptors,4,100-92,6,two point shot,False,1,True,False
2014-12-01,45.1,Denver Nuggets,Toronto Raptors,4,100-94,5,free throw,False,15,False,False
2014-12-01,45.1,Denver Nuggets,Toronto Raptors,4,101-94,6,free throw,False,15,True,False
2014-12-01,46.5166666667,Denver Nuggets,Toronto Raptors,4,107-96,10,free throw,False,15,False,False
2014-12-01,46.5166666667,Denver Nuggets,Toronto Raptors,4,108-96,11,free throw,False,15,True,False
2014-12-01,47.0333333333,Denver Nuggets,Toronto Raptors,4,109-96,12,free throw,False,15,True,False
2014-12-01,47.0333333333,Denver Nuggets,Toronto Raptors,4,110-96,13,free throw,False,15,True,False
2014-01-31,10.0833333333,Denver Nuggets,Toronto Raptors,1,26-20,-8,layup,True,0,True,True
2014-01-31,10.5833333333,Denver Nuggets,Toronto Raptors,1,26-22,-6,dunk,True,0,True,True
2014-01-31,37.5,Denver Nuggets,Toronto Raptors,4,90-70,-22,tip shot,True,0,False,True
2014-01-31,37.9,Denver Nuggets,Toronto Raptors,4,90-72,-20,two point shot,True,9,True,True
2014-12-23,2.33333333333,Denver Nuggets,Golden State Warriors,1,9-4,-7,two point shot,True,1,True,False
2014-12-23,2.81666666667,Denver Nuggets,Golden State Warriors,1,9-4,-7,tip shot,True,0,False,False
2014-12-23,2.9,Denver Nuggets,Golden State Warriors,1,9-4,-6,free throw,True,15,False,False
2014-12-23,2.9,Denver Nuggets,Golden State Warriors,1,9-4,-6,free throw,True,15,False,False
2014-12-23,4.95,Denver Nuggets,Golden State Warriors,1,15-7,-10,two point shot,True,3,True,False
2014-12-23,10.1,Denver Nuggets,Golden State Warriors,1,28-19,-10,free throw,True,15,True,False
2014-12-23,10.1,Denver Nuggets,Golden State Warriors,1,28-20,-9,free throw,True,15,True,False
2014-12-23,18.0,Denver Nuggets,Golden State Warriors,2,39-33,-8,layup,True,0,True,False
2014-12-23,21.0666666667,Denver Nuggets,Golden State Warriors,2,43-43,-2,two point shot,True,1,True,False
2014-12-23,28.3833333333,Denver Nuggets,Golden State Warriors,3,52-49,-5,two point shot,True,11,False,False
2014-12-23,31.35,Denver Nuggets,Golden State Warriors,3,55-58,1,layup,True,0,True,False
2014-12-23,38.7,Denver Nuggets,Golden State Warriors,4,68-71,1,layup,True,0,False,False
2014-12-23,38.8,Denver Nuggets,Golden State Warriors,4,68-71,1,two point jumper,True,3,False,False
2014-12-23,39.5666666667,Denver Nuggets,Golden State Warriors,4,70-73,1,dunk,True,0,True,False
2014-01-15,8.66666666667,Denver Nuggets,Golden State Warriors,1,24-28,-6,layup,False,0,True,True
2014-01-15,11.3666666667,Denver Nuggets,Golden State Warriors,1,33-32,-1,two point shot,False,1,False,True
2014-01-15,16.1666666667,Denver Nuggets,Golden State Warriors,2,47-40,5,two point shot,False,11,True,True
