date,gameTime,team,opp,quarter,score,scoreDiff,shotType,home,distance,made,gameWon
2014-01-02,13.0666666667,Chicago Bulls,Boston Celtics,2,25-24,-4,three point jumper,True,23,False,True
2014-01-02,14.2,Chicago Bulls,Boston Celtics,2,27-24,-6,three point jumper,True,25,False,True
2014-12-25,15.4333333333,Chicago Bulls,Brooklyn Nets,2,27-27,-3,three point jumper,False,23,False,True
2014-12-25,35.55,Chicago Bulls,Brooklyn Nets,3,75-56,16,three point jumper,False,23,False,True
2014-12-25,35.7166666667,Chicago Bulls,Brooklyn Nets,3,77-56,19,two point jumper,False,10,True,True
2014-12-25,43.8833333333,Chicago Bulls,Brooklyn Nets,4,93-71,20,layup,False,0,True,True
2014-12-25,47.3,Chicago Bulls,Brooklyn Nets,4,95-78,14,three point jumper,False,25,False,True
2014-12-25,47.8166666667,Chicago Bulls,Brooklyn Nets,4,95-78,14,three point jumper,False,26,False,True
2014-02-13,17.5666666667,Chicago Bulls,Brooklyn Nets,2,25-35,7,three point jumper,True,24,False,True
2014-12-11,0.866666666667,Chicago Bulls,New York Knicks,1,0-0,-2,two point jumper,False,19,False,False
2014-12-11,11.6833333333,Chicago Bulls,New York Knicks,1,16-15,0,free throw,False,15,True,False
2014-12-11,11.6833333333,Chicago Bulls,New York Knicks,1,16-15,0,free throw,False,15,False,False
2014-12-11,13.4333333333,Chicago Bulls,New York Knicks,2,17-19,-5,three point jumper,False,25,False,False
2014-12-11,14.1166666667,Chicago Bulls,New York Knicks,2,17-21,-7,three point jumper,False,25,False,False
2014-12-11,30.5666666667,Chicago Bulls,New York Knicks,3,44-64,-23,three point jumper,False,25,True,False
2014-12-11,33.4166666667,Chicago Bulls,New York Knicks,3,46-64,-21,three point jumper,False,23,False,False
2014-12-11,36.0,Chicago Bulls,New York Knicks,3,54-68,-16,unknown,False,9,False,False
2014-03-02,16.8833333333,Chicago Bulls,New York Knicks,2,30-47,15,layup,True,0,True,False
2014-03-02,18.6333333333,Chicago Bulls,New York Knicks,2,34-51,15,layup,True,0,True,False
2014-03-02,19.1333333333,Chicago Bulls,New York Knicks,2,36-51,12,three point jumper,True,24,False,False
2014-03-02,45.05,Chicago Bulls,New York Knicks,4,83-102,16,three point jumper,True,25,False,False
2014-01-18,11.6,Chicago Bulls,Philadelphia 76ers,1,19-24,2,three point jumper,True,24,False,False
2014-01-18,14.7666666667,Chicago Bulls,Philadelphia 76ers,2,21-31,7,three point jumper,True,25,True,False
2014-01-18,18.1333333333,Chicago Bulls,Philadelphia 76ers,2,27-36,6,three point jumper,True,25,False,False
2014-01-18,19.3166666667,Chicago Bulls,Philadelphia 76ers,2,29-38,6,three point jumper,True,25,False,False
2014-01-18,19.7,Chicago Bulls,Philadelphia 76ers,2,29-41,9,three point jumper,True,25,True,False
2014-01-18,22.8,Chicago Bulls,Philadelphia 76ers,2,29-49,18,two point jumper,True,10,False,False
2014-01-18,36.4,Chicago Bulls,Philadelphia 76ers,4,51-78,25,two point jumper,True,21,False,False
