id,date,home_team,home_team_score,overtime,visit_team,visit_team_score
251102002,2006-11-02,Boston Celtics,114,True,New York Knicks,100
251104002,2006-11-04,Boston Celtics,81,False,Detroit Pistons,82
251105030,2006-11-05,Charlotte Bobcats,107,True,Boston Celtics,105
251109002,2006-11-09,Boston Celtics,99,False,Memphis Grizzlies,98
251111002,2006-11-11,Boston Celtics,82,False,San Antonio Spurs,103
251113002,2006-11-13,Boston Celtics,102,False,Houston Rockets,82
251115008,2006-11-15,Detroit Pistons,115,False,Boston Celtics,100
251116002,2006-11-16,Boston Celtics,100,False,Oklahoma City Thunder,113
251118002,2006-11-18,Boston Celtics,100,False,Toronto Raptors,93
251122005,2006-11-22,Cleveland Cavaliers,115,False,Boston Celtics,93
251123001,2006-11-23,Atlanta Hawks,120,False,Boston Celtics,117
251125002,2006-11-25,Boston Celtics,90,False,Charlotte Bobcats,89
251128002,2006-11-28,Boston Celtics,83,False,Orlando Magic,87
251130002,2006-11-30,Boston Celtics,110,False,Philadelphia 76ers,103
251202002,2006-12-02,Boston Celtics,102,False,Chicago Bulls,106
251204018,2006-12-04,New York Knicks,99,False,Boston Celtics,102
251206010,2006-12-06,Houston Rockets,91,False,Boston Celtics,73
251207003,2006-12-07,New Orleans Pelicans,87,False,Boston Celtics,101
251209024,2006-12-09,San Antonio Spurs,101,False,Boston Celtics,89
251210006,2006-12-10,Dallas Mavericks,103,False,Boston Celtics,94
251214002,2006-12-14,Boston Celtics,85,False,Indiana Pacers,71
251216002,2006-12-16,Boston Celtics,96,False,Milwaukee Bucks,100
251217004,2006-12-17,Chicago Bulls,118,False,Boston Celtics,86
251219002,2006-12-19,Boston Celtics,109,False,Golden State Warriors,98
251221002,2006-12-21,Boston Celtics,101,False,Utah Jazz,89
251226025,2006-12-26,Oklahoma City Thunder,118,False,Boston Celtics,111
251228009,2006-12-28,Golden State Warriors,111,False,Boston Celtics,109
251230023,2006-12-30,Sacramento Kings,116,False,Boston Celtics,112
251231012,2006-12-31,Los Angeles Clippers,92,False,Boston Celtics,111
260102007,2006-01-02,Denver Nuggets,120,False,Boston Celtics,110
260104002,2006-01-04,Boston Celtics,109,False,Charlotte Bobcats,106
260106002,2006-01-06,Boston Celtics,98,False,Atlanta Hawks,103
260107027,2006-01-07,Washington Wizards,103,False,Boston Celtics,102
260109002,2006-01-09,Boston Celtics,102,False,Dallas Mavericks,104
260110001,2006-01-10,Atlanta Hawks,94,False,Boston Celtics,98
260113020,2006-01-13,Philadelphia 76ers,125,True,Boston Celtics,124
260116008,2006-01-16,Detroit Pistons,94,False,Boston Celtics,84
260118002,2006-01-18,Boston Celtics,103,False,Minnesota Timberwolves,96
260120002,2006-01-20,Boston Celtics,99,False,Brooklyn Nets,96
260121017,2006-01-21,Brooklyn Nets,103,False,Boston Celtics,83
260123002,2006-01-23,Boston Celtics,91,False,New Orleans Pelicans,78
260125002,2006-01-25,Boston Celtics,87,False,Washington Wizards,89
260127002,2006-01-27,Boston Celtics,84,False,Sacramento Kings,74
260129015,2006-01-29,Milwaukee Bucks,83,False,Boston Celtics,79
260130016,2006-01-30,Minnesota Timberwolves,110,False,Boston Celtics,85
260201002,2006-02-01,Boston Celtics,94,False,Phoenix Suns,102
260203002,2006-02-03,Boston Celtics,81,False,Los Angeles Clippers,98
260204019,2006-02-04,Orlando Magic,100,False,Boston Celtics,91
260206014,2006-02-06,Miami Heat,114,False,Boston Celtics,98
260210002,2006-02-10,Boston Celtics,115,False,Portland Trail Blazers,83
260212002,2006-02-12,Boston Celtics,102,False,Orlando Magic,94
260215002,2006-02-15,Boston Celtics,109,True,Cleveland Cavaliers,113
260221026,2006-02-21,Utah Jazz,83,False,Boston Celtics,103
260222021,2006-02-22,Phoenix Suns,103,False,Boston Celtics,94
260224022,2006-02-24,Portland Trail Blazers,96,False,Boston Celtics,102
260226013,2006-02-26,Los Angeles Lakers,111,False,Boston Celtics,112
260301002,2006-03-01,Boston Celtics,96,False,Miami Heat,103
260303002,2006-03-03,Boston Celtics,99,False,Indiana Pacers,98
260305028,2006-03-05,Toronto Raptors,111,False,Boston Celtics,105
260307027,2006-03-07,Washington Wizards,115,True,Boston Celtics,116
260308002,2006-03-08,Boston Celtics,104,False,Philadelphia 76ers,101
260310002,2006-03-10,Boston Celtics,86,False,Milwaukee Bucks,92
260312002,2006-03-12,Boston Celtics,106,False,Denver Nuggets,101
260314029,2006-03-14,Memphis Grizzlies,93,False,Boston Celtics,76
260316014,2006-03-16,Miami Heat,107,False,Boston Celtics,104
260317019,2006-03-17,Orlando Magic,84,False,Boston Celtics,77
260319011,2006-03-19,Indiana Pacers,88,False,Boston Celtics,103
260320002,2006-03-20,Boston Celtics,97,False,Los Angeles Lakers,105
260322002,2006-03-22,Boston Celtics,110,False,Toronto Raptors,96
260324005,2006-03-24,Cleveland Cavaliers,94,False,Boston Celtics,82
260326002,2006-03-26,Boston Celtics,97,False,Chicago Bulls,101
260329018,2006-03-29,New York Knicks,98,False,Boston Celtics,123
260401004,2006-04-01,Chicago Bulls,100,False,Boston Celtics,94
